------Generation 0------
Rule  1: 14418e7bb7, Class:  0, CF:0.770874, Len: 10, Fitness_tra: 0
Rule  2: 2441214b11, Class:  1, CF:0.279512, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 3918
Rule  4: 72411e4412, Class:  1, CF:0.648112, Len: 10, Fitness_tra: 0
Rule  5: 44b7817b74, Class:  0, CF:0.634017, Len: 10, Fitness_tra: 0
Rule  6: 144b234b17, Class:  1, CF:0.636684, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule  9: 7774c1141b, Class:  0, CF:0.381603, Len: 10, Fitness_tra: 0
Rule 10: 214bc121b7, Class:  0, CF:0.486486, Len: 10, Fitness_tra: 0
Rule 11: 7c74112711, Class:  1, CF:0.782937, Len: 10, Fitness_tra: 0
Rule 12: 24b211b124, Class:  1, CF:0.406255, Len: 10, Fitness_tra: 0
Rule 13: 1bb4137142, Class:  1, CF:0.326604, Len: 10, Fitness_tra: 0
Rule 14: b9218d7b74, Class:  0, CF:0.00641595, Len: 10, Fitness_tra: 0
Rule 15: 1abb7944bc, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 422b1a2b77, Class:  1, CF:0.999521, Len: 10, Fitness_tra: 0
Rule 17: 74b7212742, Class:  1, CF:0.297855, Len: 10, Fitness_tra: 0
Rule 18: 711711717b, Class:  0, CF:0.230247, Len: 10, Fitness_tra: 0
Rule 19: b7775a1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1d4743444b, Class:  1, CF:0.644833, Len: 10, Fitness_tra: 0
Rule 21: 21bb252222, Class:  1, CF:0.86393, Len: 10, Fitness_tra: 0
Rule 22: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 23: 177b332bb4, Class:  1, CF:0.859122, Len: 10, Fitness_tra: 0
Rule 24: 111413171b, Class:  0, CF:0.411883, Len: 10, Fitness_tra: 0
Rule 25: 2a41291744, Class:  1, CF:0.967983, Len: 10, Fitness_tra: 0
Rule 26: 7427da74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 24215fb714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 114145b7b2, Class:  0, CF:0.27411, Len: 10, Fitness_tra: 0
Rule 29: 27bb837b71, Class:  0, CF:0.741953, Len: 10, Fitness_tra: 0
Rule 30: 2c445114b2, Class:  0, CF:0.832932, Len: 10, Fitness_tra: 0
Rule 31: 71111347b7, Class:  1, CF:0.858013, Len: 10, Fitness_tra: 0
Rule 32: b474c17111, Class:  0, CF:0.235427, Len: 10, Fitness_tra: 0
Rule 33: 144b13b2b4, Class:  1, CF:0.853202, Len: 10, Fitness_tra: 0
Rule 34: bb71c52b21, Class:  1, CF:0.237887, Len: 10, Fitness_tra: 0
Rule 35: 7c4416bbb1, Class:  1, CF:0.999258, Len: 10, Fitness_tra: 0
Rule 36: 7221c61b72, Class:  0, CF:0.964904, Len: 10, Fitness_tra: 0
Rule 37: b41451b744, Class:  0, CF:0.177563, Len: 10, Fitness_tra: 0
Rule 38: 42772617b4, Class:  1, CF:0.948508, Len: 10, Fitness_tra: 0
Rule 39: b112ff4b22, Class:  1, CF:0.994192, Len: 10, Fitness_tra: 0
Rule 40: 78124d2147, Class:  0, CF:0.528299, Len: 10, Fitness_tra: 0
Rule 41: 2db71db7b1, Class:  0, CF:0.0975946, Len: 10, Fitness_tra: 0
Rule 42: 2bb7fa1b2b, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 43: 41b18117b7, Class:  1, CF:0.23168, Len: 10, Fitness_tra: 0
Rule 44: 7212814174, Class:  0, CF:0.279175, Len: 10, Fitness_tra: 0
Rule 45: 47b1492b44, Class:  1, CF:0.795351, Len: 10, Fitness_tra: 0
Rule 46: 222b194141, Class:  0, CF:0.446825, Len: 10, Fitness_tra: 0
Rule 47: 1b1b261147, Class:  1, CF:0.222439, Len: 10, Fitness_tra: 0
Rule 48: 1b175e2147, Class:  0, CF:0.710049, Len: 10, Fitness_tra: 0
Rule 49: 172413bb17, Class:  1, CF:0.753448, Len: 10, Fitness_tra: 0
Rule 50: b4411f14b1, Class:  1, CF:0.999677, Len: 10, Fitness_tra: 0
Rule 51: 741113141b, Class:  1, CF:0.70844, Len: 10, Fitness_tra: 0
Rule 52: b714ce1277, Class:  0, CF:0.477257, Len: 10, Fitness_tra: 0
Rule 53: 7b721a217b, Class:  1, CF:0.999746, Len: 10, Fitness_tra: 0
Rule 54: 1122114177, Class:  0, CF:0.189981, Len: 10, Fitness_tra: 0
Rule 55: 114b81bb21, Class:  0, CF:0.409056, Len: 10, Fitness_tra: 0
Rule 56: 11b12a7221, Class:  1, CF:0.999236, Len: 10, Fitness_tra: 0
Rule 57: 4771c1b212, Class:  1, CF:0.551556, Len: 10, Fitness_tra: 0
Rule 58: bb22531741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7bb2234471, Class:  0, CF:0.477812, Len: 10, Fitness_tra: 0
Rule 60: b71b191221, Class:  0, CF:0.30747, Len: 10, Fitness_tra: 0
Rule 61: 4774417b24, Class:  1, CF:0.109774, Len: 10, Fitness_tra: 0
Rule 62: b722d32142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 4124d92124, Class:  1, CF:0.654397, Len: 10, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 65: 15bb1d1271, Class:  0, CF:0.719629, Len: 10, Fitness_tra: 0
Rule 66: 42b72174b4, Class:  1, CF:0.0458393, Len: 10, Fitness_tra: 0
Rule 67: bb41134741, Class:  0, CF:0.00676088, Len: 10, Fitness_tra: 0
Rule 68: b72b114b14, Class:  1, CF:0.393403, Len: 10, Fitness_tra: 0
Rule 69: 111b617447, Class:  1, CF:0.169817, Len: 10, Fitness_tra: 0
Rule 70: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 71: 1222137112, Class:  1, CF:0.676017, Len: 10, Fitness_tra: 0
Rule 72: 7247137b27, Class:  1, CF:0.937686, Len: 10, Fitness_tra: 0
Rule 73: 777b11217b, Class:  1, CF:0.419209, Len: 10, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 76: b4421a1bb4, Class:  1, CF:0.961742, Len: 10, Fitness_tra: 0
Rule 77: b2172944b4, Class:  0, CF:0.297697, Len: 10, Fitness_tra: 0
Rule 78: b11759bb72, Class:  0, CF:0.784521, Len: 10, Fitness_tra: 0
Rule 79: b277514b71, Class:  1, CF:0.36536, Len: 10, Fitness_tra: 0
Rule 80: 41bb834b27, Class:  0, CF:0.719334, Len: 10, Fitness_tra: 0
Rule 81: 411bcd2274, Class:  0, CF:0.147034, Len: 10, Fitness_tra: 0
Rule 82: b41b81b1bb, Class:  0, CF:0.648907, Len: 10, Fitness_tra: 0
Rule 83: 0000500000, Class:  1, CF:0.320989, Len:  1, Fitness_tra: 0
Rule 84: 7242c12727, Class:  1, CF:0.0461734, Len: 10, Fitness_tra: 0
Rule 85: 2f722c1124, Class:  1, CF:0.672852, Len: 10, Fitness_tra: 0
Rule 86: 7b1713b12b, Class:  1, CF:0.321584, Len: 10, Fitness_tra: 0
Rule 87: b142d11121, Class:  1, CF:0.142074, Len: 10, Fitness_tra: 0
Rule 88: 11171e2b22, Class:  0, CF:0.831526, Len: 10, Fitness_tra: 0
Rule 89: 444223427b, Class:  1, CF:0.832488, Len: 10, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 91: 442b167741, Class:  1, CF:0.997818, Len: 10, Fitness_tra: 0
Rule 92: 72742eb471, Class:  1, CF:0.295196, Len: 10, Fitness_tra: 0
Rule 93: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 94: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule 95: bb2b564724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b7212e7441, Class:  1, CF:0.977864, Len: 10, Fitness_tra: 0
Rule 97: b57b28b74b, Class:  1, CF:0.225949, Len: 10, Fitness_tra: 0
Rule 98: 41b721b412, Class:  1, CF:0.289373, Len: 10, Fitness_tra: 0
Rule 99: 42444eb744, Class:  0, CF:0.256416, Len: 10, Fitness_tra: 0
Rule100: 767b751421, Class:  1, CF:0.73283, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.2153
------Result------
Miss_rate(tra)	:10.2153
Miss_rate(tst)	:10.219
ARL				:8.73404

------Generation 0------
Rule  1: 14418e7bb7, Class:  0, CF:0.770874, Len: 10, Fitness_tra: 0
Rule  2: 2441214b11, Class:  1, CF:0.279512, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 3918
Rule  4: 72411e4412, Class:  1, CF:0.648112, Len: 10, Fitness_tra: 0
Rule  5: 44b7817b74, Class:  0, CF:0.634017, Len: 10, Fitness_tra: 0
Rule  6: 144b234b17, Class:  1, CF:0.636684, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:0.795695, Len:  0, Fitness_tra: 0
Rule  9: 7774c1141b, Class:  0, CF:0.381603, Len: 10, Fitness_tra: 0
Rule 10: 214bc121b7, Class:  0, CF:0.486486, Len: 10, Fitness_tra: 0
Rule 11: 7c74112711, Class:  1, CF:0.782937, Len: 10, Fitness_tra: 0
Rule 12: 24b211b124, Class:  1, CF:0.406255, Len: 10, Fitness_tra: 0
Rule 13: 1bb4137142, Class:  1, CF:0.326604, Len: 10, Fitness_tra: 0
Rule 14: b9218d7b74, Class:  0, CF:0.00641595, Len: 10, Fitness_tra: 0
