------Generation 0------
Rule  1: 222b161171, Class:  1, CF:0.964894, Len: 10, Fitness_tra: 0
Rule  2: bb741314bb, Class:  1, CF:0.974112, Len: 10, Fitness_tra: 0
Rule  3: 1277232711, Class:  1, CF:0.779877, Len: 10, Fitness_tra: 0
Rule  4: 11bb3f2742, Class:  1, CF:0.990848, Len: 10, Fitness_tra: 0
Rule  5: 7212d174b7, Class:  1, CF:0.199397, Len: 10, Fitness_tra: 0
Rule  6: 11b4f141b7, Class:  1, CF:0.321249, Len: 10, Fitness_tra: 0
Rule  7: 1b71114772, Class:  1, CF:0.797799, Len: 10, Fitness_tra: 0
Rule  8: 214113b4b4, Class:  1, CF:0.972581, Len: 10, Fitness_tra: 0
Rule  9: 71bbce4727, Class:  1, CF:0.0987837, Len: 10, Fitness_tra: 0
Rule 10: 4112511421, Class:  1, CF:0.107657, Len: 10, Fitness_tra: 0
Rule 11: 74b2534714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 12b24e7b1b, Class:  0, CF:0.64168, Len: 10, Fitness_tra: 0
Rule 13: 1714567b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b24723411b, Class:  1, CF:0.780658, Len: 10, Fitness_tra: 0
Rule 15: 72b4217447, Class:  1, CF:0.469974, Len: 10, Fitness_tra: 0
Rule 16: 4b14167b14, Class:  1, CF:0.991316, Len: 10, Fitness_tra: 0
Rule 17: be71214412, Class:  1, CF:0.962641, Len: 10, Fitness_tra: 0
Rule 18: 4177c31b72, Class:  0, CF:0.997457, Len: 10, Fitness_tra: 0
Rule 19: 187b8ebbb4, Class:  0, CF:0.578699, Len: 10, Fitness_tra: 0
Rule 20: b71113b277, Class:  1, CF:0.945344, Len: 10, Fitness_tra: 0
Rule 21: 1242c11b17, Class:  0, CF:0.830461, Len: 10, Fitness_tra: 0
Rule 22: 712b131474, Class:  1, CF:0.966214, Len: 10, Fitness_tra: 0
Rule 23: 1224831471, Class:  0, CF:0.936619, Len: 10, Fitness_tra: 0
Rule 24: 42b42a21b2, Class:  1, CF:0.994021, Len: 10, Fitness_tra: 0
Rule 25: 447129b127, Class:  1, CF:0.795499, Len: 10, Fitness_tra: 0
Rule 26: bb7b837441, Class:  0, CF:0.972795, Len: 10, Fitness_tra: 0
Rule 27: b42b234172, Class:  1, CF:0.80059, Len: 10, Fitness_tra: 0
Rule 28: 0000080004, Class:  0, CF:0.90754, Len:  2, Fitness_tra: 0
Rule 29: 1242134222, Class:  1, CF:0.991855, Len: 10, Fitness_tra: 0
Rule 30: b14b8912b7, Class:  0, CF:0.642772, Len: 10, Fitness_tra: 0
Rule 31: bf7115714b, Class:  1, CF:0.399367, Len: 10, Fitness_tra: 0
Rule 32: 1bbb59b142, Class:  1, CF:0.0807771, Len: 10, Fitness_tra: 0
Rule 33: 4d1b594747, Class:  0, CF:0.337497, Len: 10, Fitness_tra: 0
Rule 34: 7772117417, Class:  1, CF:0.568888, Len: 10, Fitness_tra: 0
Rule 35: b14bca1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 44115d44b2, Class:  1, CF:0.369222, Len: 10, Fitness_tra: 0
Rule 37: 72b2112b71, Class:  1, CF:0.607021, Len: 10, Fitness_tra: 0
Rule 38: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 3919
Rule 39: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 40: 712283474b, Class:  0, CF:0.998414, Len: 10, Fitness_tra: 0
Rule 41: 2447251144, Class:  0, CF:0.145506, Len: 10, Fitness_tra: 0
Rule 42: 287113bb27, Class:  1, CF:0.946019, Len: 10, Fitness_tra: 0
Rule 43: b242c14747, Class:  0, CF:0.138749, Len: 10, Fitness_tra: 0
Rule 44: 1222514b42, Class:  1, CF:0.268491, Len: 10, Fitness_tra: 0
Rule 45: 211b6372bb, Class:  1, CF:0.950125, Len: 10, Fitness_tra: 0
Rule 46: 222483b42b, Class:  0, CF:0.238724, Len: 10, Fitness_tra: 0
Rule 47: 121415b477, Class:  0, CF:0.551709, Len: 10, Fitness_tra: 0
Rule 48: b24411772b, Class:  1, CF:0.655003, Len: 10, Fitness_tra: 0
Rule 49: 217bdfbb1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b4b1162277, Class:  1, CF:0.99844, Len: 10, Fitness_tra: 0
Rule 51: 47b28142b7, Class:  0, CF:0.130965, Len: 10, Fitness_tra: 0
Rule 52: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 53: 717283414b, Class:  0, CF:0.988864, Len: 10, Fitness_tra: 0
Rule 54: 2bb2164172, Class:  1, CF:0.998835, Len: 10, Fitness_tra: 0
Rule 55: 2111c9b2b4, Class:  0, CF:0.559478, Len: 10, Fitness_tra: 0
Rule 56: 17418114b1, Class:  0, CF:0.275008, Len: 10, Fitness_tra: 0
Rule 57: 137715b172, Class:  0, CF:0.397017, Len: 10, Fitness_tra: 0
Rule 58: 2422c97744, Class:  1, CF:0.0980971, Len: 10, Fitness_tra: 0
Rule 59: 2222deb4b7, Class:  1, CF:0.408431, Len: 10, Fitness_tra: 0
Rule 60: b242c3b212, Class:  1, CF:0.944822, Len: 10, Fitness_tra: 0
Rule 61: 4224837472, Class:  0, CF:0.999701, Len: 10, Fitness_tra: 0
Rule 62: 4c27114121, Class:  1, CF:0.630156, Len: 10, Fitness_tra: 0
Rule 63: 4221832424, Class:  1, CF:0.337356, Len: 10, Fitness_tra: 0
Rule 64: 7b27517b27, Class:  1, CF:0.447216, Len: 10, Fitness_tra: 0
Rule 65: 7b4b2911b1, Class:  0, CF:0.868812, Len: 10, Fitness_tra: 0
Rule 66: 44172eb2b2, Class:  0, CF:0.637478, Len: 10, Fitness_tra: 0
