------Generation 0------
Rule  1: b5122544bb, Class:  0, CF:0.00844691, Len: 10, Fitness_tra: 0
Rule  2: 72b4137224, Class:  1, CF:0.880947, Len: 10, Fitness_tra: 0
Rule  3: 0000500000, Class:  1, CF:0.337123, Len:  1, Fitness_tra: 0
Rule  4: b47b162741, Class:  1, CF:0.997916, Len: 10, Fitness_tra: 0
Rule  5: 4177714b41, Class:  1, CF:0.280318, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 3919
Rule  7: 74b1ca7417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule  9: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 10: 412b1142bb, Class:  1, CF:0.588281, Len: 10, Fitness_tra: 0
Rule 11: 1c71817b77, Class:  0, CF:0.989084, Len: 10, Fitness_tra: 0
Rule 12: 22b1132244, Class:  1, CF:0.940788, Len: 10, Fitness_tra: 0
Rule 13: 274b817b22, Class:  0, CF:0.436916, Len: 10, Fitness_tra: 0
Rule 14: 11178eb212, Class:  0, CF:0.565639, Len: 10, Fitness_tra: 0
Rule 15: 72b221174b, Class:  1, CF:0.0708348, Len: 10, Fitness_tra: 0
Rule 16: 24441171b7, Class:  1, CF:0.461329, Len: 10, Fitness_tra: 0
Rule 17: b1248ab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 24b2192424, Class:  1, CF:0.414258, Len: 10, Fitness_tra: 0
Rule 19: 27748e1b41, Class:  0, CF:0.572681, Len: 10, Fitness_tra: 0
Rule 20: 172b1e7174, Class:  0, CF:0.806599, Len: 10, Fitness_tra: 0
Rule 21: b221d34144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1722d14417, Class:  0, CF:0.250848, Len: 10, Fitness_tra: 0
Rule 23: b2b4161b12, Class:  1, CF:0.954472, Len: 10, Fitness_tra: 0
Rule 24: 147481121b, Class:  0, CF:0.847094, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 26: 2111161744, Class:  1, CF:0.997918, Len: 10, Fitness_tra: 0
Rule 27: bc17c9b72b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
