------Generation 0------
Rule  1: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: b927811471, Class:  0, CF:0.0949669, Len: 10, Fitness_tra: 0
Rule  3: 4117264414, Class:  1, CF:0.956365, Len: 10, Fitness_tra: 0
Rule  4: 747156b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2871197222, Class:  0, CF:0.969908, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 3910
Rule  7: b17b16b141, Class:  1, CF:0.948713, Len: 10, Fitness_tra: 0
Rule  8: 24b28eb122, Class:  1, CF:0.178423, Len: 10, Fitness_tra: 0
Rule  9: 2db4734471, Class:  1, CF:0.815261, Len: 10, Fitness_tra: 0
Rule 10: 117b511721, Class:  0, CF:0.395153, Len: 10, Fitness_tra: 0
Rule 11: 000000000b, Class:  0, CF:0.919403, Len:  1, Fitness_tra: 9
Rule 12: 421bc5742b, Class:  0, CF:0.741774, Len: 10, Fitness_tra: 0
Rule 13: 74423f17b2, Class:  1, CF:0.999892, Len: 10, Fitness_tra: 0
Rule 14: 411bf622b4, Class:  1, CF:0.981693, Len: 10, Fitness_tra: 0
Rule 15: b1b4192712, Class:  0, CF:0.00296643, Len: 10, Fitness_tra: 0
Rule 16: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 17: 2122214114, Class:  0, CF:0.109042, Len: 10, Fitness_tra: 0
Rule 18: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 19: bdb74eb142, Class:  0, CF:0.936089, Len: 10, Fitness_tra: 0
Rule 20: 211b2e2142, Class:  0, CF:0.323332, Len: 10, Fitness_tra: 0
Rule 21: 71bb867174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 0
Rule 23: b24241b271, Class:  1, CF:0.126195, Len: 10, Fitness_tra: 0
Rule 24: b114854271, Class:  1, CF:0.1635, Len: 10, Fitness_tra: 0
Rule 25: 1422611112, Class:  0, CF:0.794182, Len: 10, Fitness_tra: 0
Rule 26: 1741c67742, Class:  0, CF:0.840752, Len: 10, Fitness_tra: 0
Rule 27: 744b1e4421, Class:  1, CF:0.280402, Len: 10, Fitness_tra: 0
Rule 28: 41718e24b7, Class:  1, CF:0.789205, Len: 10, Fitness_tra: 0
Rule 29: 412221172b, Class:  1, CF:0.26933, Len: 10, Fitness_tra: 0
Rule 30: 244b1eb2b1, Class:  0, CF:0.527341, Len: 10, Fitness_tra: 0
Rule 31: 47118a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b2b15317b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b1242524b2, Class:  0, CF:0.137834, Len: 10, Fitness_tra: 0
Rule 34: 774bc124b4, Class:  0, CF:0.0465667, Len: 10, Fitness_tra: 0
Rule 35: 4177217b2b, Class:  1, CF:0.0601392, Len: 10, Fitness_tra: 0
Rule 36: 25241e1224, Class:  0, CF:0.98759, Len: 10, Fitness_tra: 0
Rule 37: 192781221c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 38: 742bc14717, Class:  0, CF:0.480202, Len: 10, Fitness_tra: 0
Rule 39: 7412c672b4, Class:  0, CF:0.791157, Len: 10, Fitness_tra: 0
Rule 40: 1bb1131771, Class:  1, CF:0.504348, Len: 10, Fitness_tra: 0
