------Generation 0------
Rule  1: b7748a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22b11344b1, Class:  1, CF:0.934649, Len: 10, Fitness_tra: 0
Rule  3: 14b211b74b, Class:  1, CF:0.176515, Len: 10, Fitness_tra: 0
Rule  4: 27bb514744, Class:  1, CF:0.774355, Len: 10, Fitness_tra: 0
Rule  5: 71b4412222, Class:  1, CF:0.729416, Len: 10, Fitness_tra: 0
Rule  6: 242bc6442b, Class:  0, CF:0.919273, Len: 10, Fitness_tra: 0
Rule  7: 17222e4111, Class:  1, CF:0.790184, Len: 10, Fitness_tra: 0
Rule  8: 42b7262b12, Class:  1, CF:0.992141, Len: 10, Fitness_tra: 0
Rule  9: 44722a27b7, Class:  1, CF:0.999744, Len: 10, Fitness_tra: 0
Rule 10: 15b1111744, Class:  1, CF:0.171157, Len: 10, Fitness_tra: 0
Rule 11: 217416b222, Class:  1, CF:0.996894, Len: 10, Fitness_tra: 0
Rule 12: 18b82fbbb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b141132241, Class:  1, CF:0.9438, Len: 10, Fitness_tra: 0
Rule 14: 4c7481b2b4, Class:  0, CF:0.734605, Len: 10, Fitness_tra: 0
Rule 15: 7c22c57144, Class:  0, CF:0.295362, Len: 10, Fitness_tra: 0
Rule 16: 7442d31b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 72b1817bb1, Class:  0, CF:0.632068, Len: 10, Fitness_tra: 0
Rule 18: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 3200
Rule 19: 714183b1b2, Class:  0, CF:0.846373, Len: 10, Fitness_tra: 0
Rule 20: 1b11ca7744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 72228f2477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b341191721, Class:  1, CF:0.951353, Len: 10, Fitness_tra: 0
Rule 23: 111115b111, Class:  0, CF:0.724792, Len: 10, Fitness_tra: 0
