------Generation 0------
Rule  1: b217152b41, Class:  1, CF:0.827435, Len: 10, Fitness_tra: 0
Rule  2: 721125b222, Class:  1, CF:0.889167, Len: 10, Fitness_tra: 0
Rule  3: 7172cfb2b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2172c17714, Class:  0, CF:0.312995, Len: 10, Fitness_tra: 0
Rule  5: b77261bbb7, Class:  1, CF:0.892771, Len: 10, Fitness_tra: 0
Rule  6: 4122531bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7bbb562441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7112834411, Class:  0, CF:0.546728, Len: 10, Fitness_tra: 0
Rule  9: 0000000000, Class:  0, CF:0.795736, Len:  0, Fitness_tra: 3919
Rule 10: 24128342b4, Class:  0, CF:0.969239, Len: 10, Fitness_tra: 0
Rule 11: 7711ce7742, Class:  1, CF:0.824047, Len: 10, Fitness_tra: 0
Rule 12: b711217b2b, Class:  1, CF:0.325731, Len: 10, Fitness_tra: 0
Rule 13: 2177234b4b, Class:  1, CF:0.748548, Len: 10, Fitness_tra: 0
Rule 14: b2b4167b12, Class:  1, CF:0.978411, Len: 10, Fitness_tra: 0
Rule 15: 21b1831111, Class:  0, CF:0.347824, Len: 10, Fitness_tra: 0
Rule 16: 247b46b447, Class:  1, CF:0.998634, Len: 10, Fitness_tra: 0
Rule 17: 1447ce2722, Class:  0, CF:0.882844, Len: 10, Fitness_tra: 0
Rule 18: 4c24c92422, Class:  0, CF:0.956339, Len: 10, Fitness_tra: 0
Rule 19: 43711c7721, Class:  1, CF:0.455681, Len: 10, Fitness_tra: 0
Rule 20: 4e72192722, Class:  0, CF:0.554164, Len: 10, Fitness_tra: 0
Rule 21: 1247112711, Class:  1, CF:0.794555, Len: 10, Fitness_tra: 0
Rule 22: b227231b72, Class:  1, CF:0.944648, Len: 10, Fitness_tra: 0
Rule 23: 27441922bb, Class:  0, CF:0.431, Len: 10, Fitness_tra: 0
Rule 24: 4771134bb7, Class:  1, CF:0.951683, Len: 10, Fitness_tra: 0
Rule 25: bb44431271, Class:  1, CF:0.787756, Len: 10, Fitness_tra: 0
Rule 26: 1447ca24b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1b2b514212, Class:  1, CF:0.613021, Len: 10, Fitness_tra: 0
Rule 28: b5111d4147, Class:  1, CF:0.0356578, Len: 10, Fitness_tra: 0
Rule 29: 412b13b722, Class:  1, CF:0.986274, Len: 10, Fitness_tra: 0
Rule 30: 7447232b27, Class:  1, CF:0.768345, Len: 10, Fitness_tra: 0
Rule 31: 2b2b1f4411, Class:  0, CF:0.612728, Len: 10, Fitness_tra: 0
Rule 32: 7442561714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b44bdfb447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b327412b4c, Class:  1, CF:0.692262, Len: 10, Fitness_tra: 0
Rule 35: b241461222, Class:  1, CF:0.996292, Len: 10, Fitness_tra: 0
