------Generation 0------
Rule  1: 1212b2b, Class:  0, CF:0.81631, Len:  7, Fitness_tra: 0
Rule  2: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 28
Rule  3: d111768, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule  5: 1551411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  6: 115476d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: d121211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  8: 21512e2, Class:  0, CF:0.705501, Len:  7, Fitness_tra: 0
Rule  9: 1111112, Class:  0, CF:0.170369, Len:  7, Fitness_tra: 0
Rule 10: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 11: 3131111, Class:  1, CF:0.444242, Len:  7, Fitness_tra: 0
Rule 12: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 13: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 14: 51d4235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000007, Class:  0, CF:0.700006, Len:  1, Fitness_tra: 6
Rule 16: 19d1491, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 18: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 19: 1e11131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 20: 1217b2b, Class:  0, CF:0.711086, Len:  7, Fitness_tra: 0
Rule 21: 5152215, Class:  0, CF:0.99275, Len:  7, Fitness_tra: 0
Rule 22: 1134b31, Class:  1, CF:0.0789287, Len:  7, Fitness_tra: 0
Rule 23: 0604700, Class:  1, CF:0.229645, Len:  3, Fitness_tra: 0
Rule 24: 939b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c600000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 26: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 27: d1d419d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 28: 1114215, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 1957131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1121112, Class:  0, CF:0.668776, Len:  7, Fitness_tra: 0
Rule 31: 112741b, Class:  0, CF:0.674276, Len:  7, Fitness_tra: 0
Rule 32: de12295, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 33: 0004000, Class:  0, CF:0.790766, Len:  1, Fitness_tra: 5
Rule 34: 5191535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 21174e2, Class:  0, CF:0.999617, Len:  7, Fitness_tra: 0
Rule 36: 00b0000, Class:  0, CF:0.365262, Len:  1, Fitness_tra: 0
Rule 37: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 38: 5158131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 40: ded2231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 42: d1d411d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 43: 56814e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1121132, Class:  1, CF:0.155721, Len:  7, Fitness_tra: 0
Rule 45: 1152131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 47: d1dc81d, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 48: 060000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 50: 0000000, Class:  0, CF:0.6, Len:  0, Fitness_tra: 0
Rule 51: 2111114, Class:  0, CF:0.580933, Len:  7, Fitness_tra: 0
Rule 52: 1311511, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 53: 2841224, Class:  0, CF:0.916888, Len:  7, Fitness_tra: 0
