------Generation 0------
Rule  1: cba6581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: c2135c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1166911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1531185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule  6: 0000030, Class:  1, CF:0.0019082, Len:  1, Fitness_tra: -68
Rule  7: 22afd21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 5866518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3533212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 123fd13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 21f1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 5000500, Class:  1, CF:0.782184, Len:  2, Fitness_tra: -10
Rule 13: 8111528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5163911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 33a3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1da15c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 111a551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 15a13e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 111ad55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: c8ff1c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5113125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000600, Class:  0, CF:0.232897, Len:  1, Fitness_tra: 24
Rule 23: 2da6818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 186a821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 71a1588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 253f519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000600, Class:  0, CF:0.232897, Len:  1, Fitness_tra: 0
Rule 28: 583f1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6df1513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1d3f182, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 31: 1d1199e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000900, Class:  1, CF:0.899296, Len:  1, Fitness_tra: 10
Rule 33: 25a3115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 35: e16a552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 113a152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1131111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 38: 2116151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: d5a3563, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 060060d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2536111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 42: e133152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 44: 17f3181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 45: 2163181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 31a1934, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000500, Class:  1, CF:0.644636, Len:  1, Fitness_tra: -153
Rule 48: 6000600, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 49: 52f6511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1561331, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 511a852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 9131211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 53: 51665d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 15ffd18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1133112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 56: 91aab52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
