------Generation 0------
Rule  1: b5fce13111935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000200000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1135191e128c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 020b3f6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0007000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: feb111cc1d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2126811911315, Class:  1, CF:0.0441327, Len: 13, Fitness_tra: -5
Rule  9: 0000dedc40600, Class:  1, CF:  1, Len:  6, Fitness_tra: 2
Rule 10: 000000c020000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: fe75885913521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1215239e28111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a1f21115dd111, Class:  0, CF:0.552978, Len: 13, Fitness_tra: -4
Rule 14: 21b3c21559511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: f3b3113315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 31ad35121d256, Class:  3, CF:  1, Len: 13, Fitness_tra: 1
Rule 17: 0000000d4dc80, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 61f78f1921813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000dc0020200, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 6176125129218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c73c29d151b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2213298d19585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0200200d0d900, Class:  8, CF:0.527463, Len:  5, Fitness_tra: -12
Rule 25: 0c0058e530000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 41f1d88516211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0004065ec0008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b441819d32181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f161929535115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 441318111991d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000d, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000d050d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f1755c891d312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
