------Generation 0------
Rule  1: b162119e11713, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000040080c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2391293c1153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000300dc008d0, Class:  9, CF:0.15893, Len:  5, Fitness_tra: -11
Rule  5: 6311831112136, Class:  3, CF:0.730047, Len: 13, Fitness_tra: 0
Rule  6: 0f000400000cd, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0008049d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000f07d0a3600, Class:  2, CF:  1, Len:  6, Fitness_tra: 1
Rule  9: 1e48e1c8515c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 222185815331d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 0000000000070, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00020060e000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000d0000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 637e152155d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b7b13932c1119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000500080, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1219851111182, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000d0030900d0, Class:  1, CF:0.675882, Len:  4, Fitness_tra: 3
Rule 22: 18f125e911159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 71616525d1145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 713219e12c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000c00000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000e000005000, Class:  0, CF:0.0765526, Len:  2, Fitness_tra: -14
Rule 28: 00050000d0d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000c0e0000e00, Class:  6, CF:0.998733, Len:  3, Fitness_tra: 5
Rule 30: 0000000004002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: a361119115853, Class:  8, CF:0.727233, Len: 13, Fitness_tra: -3
Rule 32: 00020060e000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0700d000c0290, Class:  7, CF:0.172725, Len:  5, Fitness_tra: -10
Rule 34: 224c111131128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000200d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000c0000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: ae355dd125525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0004068ec0002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3375111151d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f3f5951d53186, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1835831581911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1246125851e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f1bce18155695, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0008c00900008, Class:  1, CF:0.916736, Len:  4, Fitness_tra: 11
Rule 46: a341dd931d158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3af491218d182, Class:  8, CF:0.834804, Len: 13, Fitness_tra: -3
Rule 48: 11462415f9925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0008e00d00000, Class:  6, CF:0.524656, Len:  3, Fitness_tra: 0
Rule 50: 22f135d229129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 00003000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000b0d900000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0004000d00c2f, Class:  9, CF:0.57704, Len:  5, Fitness_tra: 6
Rule 54: 0004060e0d000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0009006004000, Class:  3, CF:0.0190256, Len:  3, Fitness_tra: 5
Rule 56: 0f0006000400a, Class:  9, CF:  1, Len:  4, Fitness_tra: 1
Rule 57: 00003000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 19bc31c225351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1113c2851e151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0509000e0000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1971132128e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000cd0ed00, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 63: 000904dc002d0, Class:  0, CF:0.204833, Len:  6, Fitness_tra: -5
Rule 64: 000900005c00c, Class:  1, CF:0.172699, Len:  4, Fitness_tra: -10
Rule 65: f12582111d5c2, Class:  4, CF:0.817206, Len: 13, Fitness_tra: -4
Rule 66: 000e880000000, Class:  3, CF:0.660743, Len:  3, Fitness_tra: 16
Rule 67: 0000030000500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000e80e00c000, Class:  5, CF:  1, Len:  4, Fitness_tra: 0
Rule 69: a63119952d116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 78a5813528113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 4175d1d1d9195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 3972198881611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0005000009000, Class:  0, CF:0.10961, Len:  2, Fitness_tra: -26
Rule 74: 00000000c0008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000c000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 7271d1d1e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0008043d00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0f00060000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0c00bee5e0c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111122111525e, Class:  7, CF:0.220345, Len: 13, Fitness_tra: 1
Rule 81: 29ab612511289, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f978551d59315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000e00d0000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 28f111d5112d1, Class:  1, CF:0.612013, Len: 13, Fitness_tra: 2
Rule 85: 442348851e915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0002000000030, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 4277315195211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: a31585d955528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 217ec2113138d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 00000020d0d59, Class:  8, CF:0.316442, Len:  5, Fitness_tra: 4
Rule 92: 35b2151d19121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000b900e000e, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 94: 311e512381311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 111795d8dd1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: faf1381516d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0900e00000000, Class:  7, CF:0.496044, Len:  2, Fitness_tra: 5
Rule 98: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00002ce900000, Class:  9, CF:0.700261, Len:  4, Fitness_tra: -6
Rule100: 1e18816115d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.9304
------Result------
Miss_rate(tra)	:81.9304
Miss_rate(tst)	:86.8687
ARL				:6.17857

------Generation 0------
Rule  1: 000e880000000, Class:  3, CF:0.660743, Len:  3, Fitness_tra: 18
Rule  2: 0008c00900008, Class:  1, CF:0.916736, Len:  4, Fitness_tra: 18
Rule  3: 0004000d00c2f, Class:  9, CF:0.57704, Len:  5, Fitness_tra: 6
Rule  4: 0900e00000000, Class:  7, CF:0.496044, Len:  2, Fitness_tra: 5
Rule  5: 000c0e0000e00, Class:  6, CF:0.998733, Len:  3, Fitness_tra: 5
Rule  6: 0009006004000, Class:  3, CF:0.0190256, Len:  3, Fitness_tra: -4
Rule  7: 00000020d0d59, Class:  8, CF:0.316442, Len:  5, Fitness_tra: 0
Rule  8: 000d0030900d0, Class:  1, CF:0.675882, Len:  4, Fitness_tra: 6
