------Generation 0------
Rule  1: a9718d1591121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 030b9a6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: f5441311d221a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 030b0000c0050, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 4d61911151c25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0200000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1f128a6d1c1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000e20e5d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 03070a6800599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 72f7315181d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000005c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000cd009000e, Class:  9, CF:  1, Len:  4, Fitness_tra: 0
Rule 16: 0505c0000300c, Class:  3, CF:0.264412, Len:  5, Fitness_tra: -18
Rule 17: 0003000000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3e7e281481818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000a0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3313151119dc2, Class:  7, CF:  1, Len: 13, Fitness_tra: 2
Rule 21: 000c604000008, Class:  0, CF:0.101262, Len:  4, Fitness_tra: -32
Rule 22: 357d91c515188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0200d00000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000008000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000400003000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: fa15d99115c86, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 354d94889d555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1362ed1233511, Class:  7, CF:  1, Len: 13, Fitness_tra: 1
Rule 30: 000e00000000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000390000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000000030000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b56431131114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000500d00000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 121d211315219, Class:  8, CF:  1, Len: 13, Fitness_tra: 1
Rule 36: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00080d0090000, Class:  0, CF:0.632795, Len:  3, Fitness_tra: -3
Rule 38: 000000000d00d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000800000000d, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f57c118188131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 7bb919521d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b56251e51111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 11b51258113d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 0000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1a12116911283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1539dd154d855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11115152c1e15, Class:  6, CF:0.375174, Len: 13, Fitness_tra: -3
Rule 49: 00050000d0d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
