------Generation 0------
Rule  1: b5fce13111935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111131818111c, Class:  0, CF:0.321647, Len: 13, Fitness_tra: 49
Rule  3: 363c19618cccd, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule  4: fe111c8153111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 12a7113112153, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule  6: 0007000090000, Class:  1, CF:0.482273, Len:  2, Fitness_tra: -64
Rule  7: a92539c85d65d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1443112113988, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b811131411115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: fd21111518112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 6941285921152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2811111921811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 3a68911135318, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 77b1851d39dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1543151133118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 61f1d85d2d813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2d31315129819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: aaa21369c1816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 442e188d53d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6161515d55181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a923181c15152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 74461195f191c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1116818d19519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1565d8d183551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 15a51533d1c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1561581851211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000b065ec0008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 44bd859865315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: a6a8e1d11d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 41b1115533515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b113d238d1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 16791511c1198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 413119e578251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a9731c892115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1c11c15351711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 21b91225251d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 127ed51c511d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1128953251311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b7b3311551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: a145111855598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1e713d12151e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 216c5d2151851, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 43: 163513e511253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 4816855513d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 712147383991c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 21331518dd112, Class:  0, CF:0.982002, Len: 13, Fitness_tra: -1
Rule 47: 000505c003000, Class:  0, CF:  1, Len:  4, Fitness_tra: 54
Rule 48: f342192215331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1615511181883, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 50: b2211c9c512d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 63611151d1251, Class:  1, CF:0.718518, Len: 13, Fitness_tra: -20
Rule 52: b1ac231178886, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 41751e11d1191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b1f113157c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 42115125c5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 132125c511135, Class:  0, CF:  1, Len: 13, Fitness_tra: 22
Rule 57: 1115ac11d1281, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 58: 1321555111112, Class:  1, CF:0.711648, Len: 13, Fitness_tra: -4
Rule 59: 4b11129215951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000505c009000, Class:  0, CF:  1, Len:  4, Fitness_tra: 8
Rule 61: f1f112c591558, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 62: 6a6283e31c181, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 63: 48a1115151151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: f1b5c21d61941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 71792258559d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3971815151131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7ca521551d958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4449dd121865e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b564617113381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
