------Generation 0------
Rule  1: b331895518c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: fd43812511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a973115111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 72f19515131b9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b565151153513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7b1c111d18311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b27688315d319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4861952183d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1333d15d128d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 42ad561c1d328, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0c0c0008000a0, Class:  0, CF:  1, Len:  4, Fitness_tra: 35
Rule 12: 13f2321559521, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: a3b5128215155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 221e821581151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 06080000a8d0d, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 16: a331d151c825e, Class:  1, CF:0.997214, Len: 13, Fitness_tra: 0
Rule 17: b8311e9315255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 251b5f3218159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 42264152f1325, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6112153e188ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 412559121d191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: a3ad1d1115d4e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2473185538311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4cf8931123955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fa1d118d13211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 227351211d558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 217dd11113811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 317185951dd12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2b71c8e51d918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
