------Generation 0------
Rule  1: 22a211114c213, Class:  0, CF:0.918855, Len: 13, Fitness_tra: 138
Rule  2: 48f8591553d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 6331d5d111116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1364911118182, Class:  0, CF:0.926394, Len: 13, Fitness_tra: 11
Rule  5: 0007000090000, Class:  1, CF:0.419181, Len:  2, Fitness_tra: -67
Rule  6: b74e112113112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000505e0000, Class:  0, CF:0.685984, Len:  3, Fitness_tra: 0
Rule  8: f945185511181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: f369112111825, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule 10: 714128193e658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 11b1885959911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 222313dc1d331, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 13: 131cd15111213, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 14: 1232453311111, Class:  0, CF:0.9834, Len: 13, Fitness_tra: 4
Rule 15: a171ed3511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: a118311153155, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 12a43125c5925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 13b159d811911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: bc62e51c21531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: bd631d1111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2c3e158115589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31b1381191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6361111111823, Class:  0, CF:0.0586244, Len: 13, Fitness_tra: 19
Rule 24: 111d151d89191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 166d98219e355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11421d3219533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 15f8952551113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 66f81c511181d, Class:  0, CF:  1, Len: 13, Fitness_tra: 20
Rule 29: 7215585113dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 47418118e5e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: f63118cd911c1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 1b2c332129559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 174c33c1191d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f611411918189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b11d5cd511151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: f13521e512c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 126d352521215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 13a1392d8d213, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 39: 15218115e1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: fef1112121e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1331511918181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1111558585111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 42a1115d55358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 41a211541391d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3e781d2215531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3348182d51511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f9b31521111d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 317d951d25211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 7133515511d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1d7351d115192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b161314151125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4cb1d53215353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 63b8151151138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 030bf000ce0ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 61411211615c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 723111225e1dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 7275516138511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f3b512dc3d15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: f91291d555115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 63a55223d1c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 36a511311c811, Class:  0, CF:  1, Len: 13, Fitness_tra: 52
Rule 62: f1351d311821e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 3979151dc58d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3aad911515129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: b2f5c1e5115b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 42a5231911221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 15b1163251511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: f3f1113321113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 191152cd5513d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 66f13d5811511, Class:  1, CF:0.996487, Len: 13, Fitness_tra: 0
Rule 71: 42b5563c12111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: a341561c2c591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 42bc353551163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 117e18d551918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 24151d3868511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 244128981555d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 18311116511ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000d00c000d, Class:  1, CF:0.0331866, Len:  3, Fitness_tra: -120
Rule 79: 2c23211131325, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
