------Generation 0------
Rule  1: fafd9185551ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 6575255815535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 73315585191c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: fef1899321183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b271318c21559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: a1a51d5515519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 72412112f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4419d911c1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 127e112121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b1a8155313d82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: aaa56125d9511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1c15591353111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 786d113122855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 4535231391151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: f1b111113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: a12155112553d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 117e589111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3915552135191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a6a131411111c, Class:  0, CF:0.664977, Len: 13, Fitness_tra: 19
Rule 20: 12a555115151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727929112d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b138158889111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 652b8111d1226, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a121191285312, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
