------Generation 0------
Rule  1: 0000400400d50, Class:  0, CF:0.222224, Len:  4, Fitness_tra: 0
Rule  2: 121c115212513, Class:  1, CF:0.663291, Len: 13, Fitness_tra: 0
Rule  3: 11115391111d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 5111117113218, Class:  0, CF:0.997566, Len: 13, Fitness_tra: 0
Rule  5: 11151c2125722, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 2000000000002, Class:  0, CF:0.382473, Len:  2, Fitness_tra: -58
Rule  7: 5255151111157, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 515188414d422, Class:  0, CF:0.999828, Len: 13, Fitness_tra: 0
Rule  9: 321223d118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 51512c7111112, Class:  0, CF:0.898904, Len: 13, Fitness_tra: 0
Rule 11: 5111211341221, Class:  0, CF:0.919459, Len: 13, Fitness_tra: 0
Rule 12: 2121111181154, Class:  0, CF:0.808298, Len: 13, Fitness_tra: 0
Rule 13: 3115814315222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 14d2511155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d115522142241, Class:  0, CF:0.919844, Len: 13, Fitness_tra: 0
Rule 16: 1115421911512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 9112215215551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 1112111858d19, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 0000400000050, Class:  0, CF:0.588332, Len:  2, Fitness_tra: 1
Rule 20: 1111118152112, Class:  0, CF:0.593962, Len: 13, Fitness_tra: 0
Rule 21: 34511e9c5111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 13518241111c8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 3c51d93251835, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 8125228814512, Class:  0, CF:0.961884, Len: 13, Fitness_tra: 0
Rule 25: 1155815114597, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 8451211154894, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
