------Generation 0------
Rule  1: 1d518c7315811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2111111182151, Class:  0, CF:0.536259, Len: 13, Fitness_tra: 0
Rule  3: 0000000000500, Class:  1, CF:0.390308, Len:  1, Fitness_tra: 15
Rule  4: 115115d558113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0003000007004, Class:  0, CF:0.719443, Len:  3, Fitness_tra: 3
Rule  6: 1151811121588, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 511121b121211, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 5111111211412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11125951d5531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9212115158593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5121112821112, Class:  0, CF:0.820561, Len: 13, Fitness_tra: 0
Rule 12: 1112111111512, Class:  1, CF:0.801972, Len: 13, Fitness_tra: 0
Rule 13: 911851d211511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 91528d5158119, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 9111124111112, Class:  0, CF:0.980439, Len: 13, Fitness_tra: 0
Rule 16: 1111c275c1421, Class:  1, CF:0.387959, Len: 13, Fitness_tra: 0
Rule 17: 000000c000002, Class:  0, CF:0.732145, Len:  2, Fitness_tra: 19
Rule 18: 115c5132d5235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 92e8111858115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e4d1115111211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 9513812111241, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 22: 51911221c1121, Class:  0, CF:0.652151, Len: 13, Fitness_tra: 0
Rule 23: 1118211121552, Class:  1, CF:0.570767, Len: 13, Fitness_tra: 0
Rule 24: 9131121113221, Class:  0, CF:0.607512, Len: 13, Fitness_tra: 0
Rule 25: 11d5112121211, Class:  1, CF:0.817066, Len: 13, Fitness_tra: 0
Rule 26: 0000008084500, Class:  0, CF:0.61579, Len:  4, Fitness_tra: 0
Rule 27: 11511c1111411, Class:  1, CF:0.172748, Len: 13, Fitness_tra: 0
Rule 28: 14181112d5831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1119221112111, Class:  2, CF:0.782987, Len: 13, Fitness_tra: 0
Rule 30: 2159212124551, Class:  1, CF:0.90723, Len: 13, Fitness_tra: 0
Rule 31: 9111824581121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: c000008084dd0, Class:  1, CF:0.343037, Len:  6, Fitness_tra: 0
Rule 33: 3111155815d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 11d5122183111, Class:  1, CF:0.810997, Len: 13, Fitness_tra: 0
Rule 35: 511511122142c, Class:  2, CF:0.293058, Len: 13, Fitness_tra: 0
Rule 36: 121211111113d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 32581191d5511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1159111382512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 9111151821139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 51d1111389b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000080c0b0000, Class:  0, CF:0.910102, Len:  3, Fitness_tra: 1
Rule 42: 9151111252535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c11511c58d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 11551c21c5122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 1112111881519, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 1155121311241, Class:  1, CF:0.884391, Len: 13, Fitness_tra: 0
Rule 47: 11515952155e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 511111131c25c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
