------Generation 0------
Rule  1: c00d000000092, Class:  0, CF:0.646283, Len:  4, Fitness_tra: 0
Rule  2: ec12511811531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1151539255131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c111e5118291, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  5: 0000400000050, Class:  0, CF:0.502841, Len:  2, Fitness_tra: -10
Rule  6: 111514211121c, Class:  1, CF:0.762603, Len: 13, Fitness_tra: 0
Rule  7: 1155411512111, Class:  2, CF:0.968662, Len: 13, Fitness_tra: 0
Rule  8: 11dd111913b22, Class:  2, CF:0.950417, Len: 13, Fitness_tra: 0
Rule  9: 34511191d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 300800d008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3c1113dc52513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8191182111121, Class:  0, CF:0.813948, Len: 13, Fitness_tra: 0
Rule 13: 1155c12113218, Class:  0, CF:0.997963, Len: 13, Fitness_tra: 0
Rule 14: 221d218154152, Class:  0, CF:0.977149, Len: 13, Fitness_tra: 0
Rule 15: 119512734118c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 55352c7923bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5113114111222, Class:  0, CF:0.949982, Len: 13, Fitness_tra: 0
Rule 18: 2113111922511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 1111115111112, Class:  0, CF:0.601755, Len: 13, Fitness_tra: 0
Rule 20: 1111111122111, Class:  2, CF:0.31713, Len: 13, Fitness_tra: 0
Rule 21: 5153155552111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000900000b004, Class:  1, CF:0.590597, Len:  3, Fitness_tra: 0
Rule 23: 2000000000002, Class:  0, CF:0.387867, Len:  2, Fitness_tra: -33
Rule 24: 5c98195215111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 311151d211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1191114311182, Class:  0, CF:0.536603, Len: 13, Fitness_tra: 0
Rule 27: 315111125111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 113188b129b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 5111121111141, Class:  0, CF:0.310713, Len: 13, Fitness_tra: 0
Rule 30: 5551812111111, Class:  2, CF:0.623306, Len: 13, Fitness_tra: 0
Rule 31: 31158111891c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3c98531155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 9c15133212191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: d111524111412, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 315115d158535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 111111111121c, Class:  0, CF:0.0806536, Len: 13, Fitness_tra: 0
Rule 37: 51d1111118c22, Class:  0, CF:0.984426, Len: 13, Fitness_tra: 0
Rule 38: 9c1111111c515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 21d54c1354551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 1121212282512, Class:  0, CF:0.777904, Len: 13, Fitness_tra: 0
Rule 41: 1595111583441, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 1131118312552, Class:  1, CF:0.418092, Len: 13, Fitness_tra: 0
Rule 43: 923115d111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1c31851552511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000080c0b4000, Class:  0, CF:0.977473, Len:  4, Fitness_tra: 1
Rule 46: 2000000007007, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3c3153dc11515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1251211511112, Class:  2, CF:0.960576, Len: 13, Fitness_tra: 0
Rule 49: 000000b0c04b0, Class:  1, CF:0.670172, Len:  4, Fitness_tra: 8
Rule 50: 5d31227312288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 2000000000002, Class:  0, CF:0.387867, Len:  2, Fitness_tra: 0
Rule 52: 1135251118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 5115114111111, Class:  1, CF:0.369667, Len: 13, Fitness_tra: 0
Rule 54: 9c91111111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 153d224115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000c000002, Class:  0, CF:0.734941, Len:  2, Fitness_tra: 27
Rule 57: 111121515c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 51392cb11d212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 91d1114511211, Class:  0, CF:0.0976443, Len: 13, Fitness_tra: 0
Rule 60: 1111cc111111c, Class:  0, CF:0.495823, Len: 13, Fitness_tra: 0
Rule 61: 0000000400d50, Class:  0, CF:0.0199713, Len:  3, Fitness_tra: 0
Rule 62: 0000000000002, Class:  0, CF:0.192682, Len:  1, Fitness_tra: -32
Rule 63: 1411511151111, Class:  1, CF:0.997547, Len: 13, Fitness_tra: 0
Rule 64: 1d51214111121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11d111231112c, Class:  0, CF:0.903752, Len: 13, Fitness_tra: 0
Rule 66: 9535817389421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2111151152591, Class:  0, CF:0.593977, Len: 13, Fitness_tra: 0
Rule 68: 141521d181155, Class:  0, CF:0.191724, Len: 13, Fitness_tra: 0
Rule 69: 11e1111185111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1211111821151, Class:  1, CF:0.950753, Len: 13, Fitness_tra: 0
Rule 71: 2cd5411324811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 1115111151591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 6151d91211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1151115212531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
