------Generation 0------
Rule  1: 040000c007800, Class:  0, CF:0.618777, Len:  4, Fitness_tra: 0
Rule  2: 1111112111112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1115141325122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: 1111215112132, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  5: 1211158111111, Class:  1, CF:0.322619, Len: 13, Fitness_tra: 0
Rule  6: 1485288822111, Class:  1, CF:0.610984, Len: 13, Fitness_tra: 0
Rule  7: 1511122121112, Class:  1, CF:0.508145, Len: 13, Fitness_tra: 0
Rule  8: 115121c152112, Class:  0, CF:0.417334, Len: 13, Fitness_tra: 0
Rule  9: 0000000007004, Class:  0, CF:0.201852, Len:  2, Fitness_tra: -34
Rule 10: 5111111112515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 11d2233815d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11158121181c1, Class:  0, CF:0.849771, Len: 13, Fitness_tra: 0
Rule 13: 1111155115551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 2115218181112, Class:  0, CF:0.877653, Len: 13, Fitness_tra: 0
Rule 15: 1258111221511, Class:  1, CF:0.962959, Len: 13, Fitness_tra: 0
Rule 16: 515111c811412, Class:  0, CF:0.999938, Len: 13, Fitness_tra: 0
Rule 17: 311128111511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000090004000, Class:  0, CF:0.619756, Len:  2, Fitness_tra: -1
Rule 19: 2111c51152112, Class:  0, CF:0.924034, Len: 13, Fitness_tra: 0
Rule 20: 0020000000002, Class:  0, CF:0.234233, Len:  2, Fitness_tra: -4
Rule 21: ec55511118831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3111111211235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5411221814511, Class:  0, CF:0.924815, Len: 13, Fitness_tra: 0
Rule 24: 2000400020050, Class:  0, CF:0.8216, Len:  4, Fitness_tra: 1
Rule 25: 2111221221112, Class:  0, CF:0.297713, Len: 13, Fitness_tra: 0
Rule 26: 12d8139258111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2151c15151111, Class:  0, CF:0.951419, Len: 13, Fitness_tra: 0
Rule 28: 2111111112311, Class:  2, CF:0.912952, Len: 13, Fitness_tra: 0
Rule 29: 1488215821511, Class:  1, CF:0.76721, Len: 13, Fitness_tra: 0
Rule 30: 1c15835152111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 119d11711121c, Class:  2, CF:0.169596, Len: 13, Fitness_tra: 0
Rule 32: 2720000000000, Class:  0, CF:0.0710582, Len:  3, Fitness_tra: 0
Rule 33: 2000000000002, Class:  0, CF:0.395835, Len:  2, Fitness_tra: -29
Rule 34: 1198115118513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 141115d151d13, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 1252139251131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5115211111552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 1215251111891, Class:  1, CF:0.932615, Len: 13, Fitness_tra: 0
Rule 39: 511d224311111, Class:  2, CF:0.267581, Len: 13, Fitness_tra: 0
Rule 40: 000000c004000, Class:  0, CF:0.625793, Len:  2, Fitness_tra: 14
Rule 41: 1155112125121, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 31515331d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 2155115112151, Class:  1, CF:0.982825, Len: 13, Fitness_tra: 0
Rule 44: 38511111511e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 5151114111218, Class:  0, CF:0.999655, Len: 13, Fitness_tra: 0
Rule 46: c000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 9135155181511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1515821115181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1151891151135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11551c711121c, Class:  1, CF:0.0899756, Len: 13, Fitness_tra: 0
Rule 51: 9111111189122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 1115c823154c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3c12119515153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 131582232342c, Class:  0, CF:0.999354, Len: 13, Fitness_tra: 0
Rule 55: 2281158221131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 1111811c11115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 115511131541c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 3151111151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 59: 1131811113111, Class:  1, CF:0.960413, Len: 13, Fitness_tra: 0
Rule 60: 1d511c4311211, Class:  0, CF:0.629544, Len: 13, Fitness_tra: 0
Rule 61: 559527212141c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 62: 321c599118815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 58111112c1411, Class:  2, CF:0.344891, Len: 13, Fitness_tra: 0
Rule 64: 1151112181811, Class:  1, CF:0.285465, Len: 13, Fitness_tra: 0
Rule 65: 21151cc121112, Class:  1, CF:0.134665, Len: 13, Fitness_tra: 0
Rule 66: 0000708050000, Class:  0, CF:0.427572, Len:  3, Fitness_tra: -1
Rule 67: 3c121395d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5511141111225, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 821d155124811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 1281118512117, Class:  1, CF:0.886565, Len: 13, Fitness_tra: 0
Rule 71: 3412835155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1211c55811555, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 913184112142c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: 5119111221411, Class:  2, CF:0.4534, Len: 13, Fitness_tra: 0
Rule 75: 00005070c0000, Class:  0, CF:0.0703198, Len:  3, Fitness_tra: 0
Rule 76: 1151121881122, Class:  0, CF:0.423828, Len: 13, Fitness_tra: 0
Rule 77: 5511122911218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2215211111111, Class:  2, CF:0.896528, Len: 13, Fitness_tra: 0
Rule 79: 121111111111b, Class:  2, CF:0.57163, Len: 13, Fitness_tra: 0
Rule 80: 1221112112111, Class:  2, CF:0.573673, Len: 13, Fitness_tra: 0
Rule 81: 20d0000004004, Class:  0, CF:0.323666, Len:  4, Fitness_tra: -3
Rule 82: 1515821513121, Class:  1, CF:0.844868, Len: 13, Fitness_tra: 0
Rule 83: 1c11555212535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1595814d8922c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 111111c112512, Class:  0, CF:0.468533, Len: 13, Fitness_tra: 0
Rule 86: 1252191851115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: c211112182152, Class:  0, CF:0.877512, Len: 13, Fitness_tra: 0
Rule 88: 3c15215c51199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11552c491144c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 1111111184111, Class:  1, CF:0.340074, Len: 13, Fitness_tra: 0
Rule 91: 1155221d21112, Class:  1, CF:0.11, Len: 13, Fitness_tra: 0
Rule 92: 519121212181c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 1311284325118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: e891211118195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000cc084500, Class:  0, CF:0.291835, Len:  5, Fitness_tra: 0
Rule 96: 32115e9151551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 945885582c113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 1812151152133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 11125111d1131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 1111111155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:55.5556
------Result------
Miss_rate(tra)	:55.5556
Miss_rate(tst)	:66.6667
ARL				:11.3562

------Generation 0------
Rule  1: 000000c004000, Class:  0, CF:0.625793, Len:  2, Fitness_tra: 13
Rule  2: 2000400020050, Class:  0, CF:0.8216, Len:  4, Fitness_tra: -2
Rule  3: 040000c007800, Class:  0, CF:0.618777, Len:  4, Fitness_tra: -1
Rule  4: 1111215112132, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  5: 1211158111111, Class:  1, CF:0.322619, Len: 13, Fitness_tra: 0
Rule  6: 1485288822111, Class:  1, CF:0.610984, Len: 13, Fitness_tra: 0
Rule  7: 1511122121112, Class:  1, CF:0.508145, Len: 13, Fitness_tra: 0
Rule  8: 115121c152112, Class:  0, CF:0.417334, Len: 13, Fitness_tra: 0
Rule  9: 1111111155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 5111111112515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 11d2233815d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11158121181c1, Class:  0, CF:0.849771, Len: 13, Fitness_tra: 0
Rule 13: 1111155115551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 2115218181112, Class:  0, CF:0.877653, Len: 13, Fitness_tra: 0
Rule 15: 1258111221511, Class:  1, CF:0.962959, Len: 13, Fitness_tra: 0
Rule 16: 515111c811412, Class:  0, CF:0.999938, Len: 13, Fitness_tra: 0
Rule 17: 311128111511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11125111d1131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 2111c51152112, Class:  0, CF:0.924034, Len: 13, Fitness_tra: 0
Rule 20: ec55511118831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3111111211235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5411221814511, Class:  0, CF:0.924815, Len: 13, Fitness_tra: 0
Rule 23: 1111112111112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2111221221112, Class:  0, CF:0.297713, Len: 13, Fitness_tra: 0
Rule 25: 12d8139258111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2151c15151111, Class:  0, CF:0.951419, Len: 13, Fitness_tra: 0
Rule 27: 2111111112311, Class:  2, CF:0.912952, Len: 13, Fitness_tra: 6
Rule 28: 1488215821511, Class:  1, CF:0.76721, Len: 13, Fitness_tra: 0
Rule 29: 1c15835152111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 119d11711121c, Class:  2, CF:0.169596, Len: 13, Fitness_tra: 0
Rule 31: 2720000000000, Class:  0, CF:0.0710582, Len:  3, Fitness_tra: -49
Rule 32: 1198115118513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 141115d151d13, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 1252139251131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5115211111552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 1215251111891, Class:  1, CF:0.932615, Len: 13, Fitness_tra: 0
Rule 37: 511d224311111, Class:  2, CF:0.267581, Len: 13, Fitness_tra: 0
Rule 38: 1115141325122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1155112125121, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 31515331d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2155115112151, Class:  1, CF:0.982825, Len: 13, Fitness_tra: 0
Rule 42: 38511111511e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 5151114111218, Class:  0, CF:0.999655, Len: 13, Fitness_tra: 0
Rule 44: c000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 9135155181511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1515821115181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1151891151135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11551c711121c, Class:  1, CF:0.0899756, Len: 13, Fitness_tra: 0
Rule 49: 9111111189122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 1115c823154c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3c12119515153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 131582232342c, Class:  0, CF:0.999354, Len: 13, Fitness_tra: 0
Rule 53: 2281158221131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 1111811c11115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 115511131541c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 3151111151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 1131811113111, Class:  1, CF:0.960413, Len: 13, Fitness_tra: 0
Rule 58: 1d511c4311211, Class:  0, CF:0.629544, Len: 13, Fitness_tra: 0
Rule 59: 559527212141c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 321c599118815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 58111112c1411, Class:  2, CF:0.344891, Len: 13, Fitness_tra: 0
Rule 62: 1151112181811, Class:  1, CF:0.285465, Len: 13, Fitness_tra: 0
Rule 63: 21151cc121112, Class:  1, CF:0.134665, Len: 13, Fitness_tra: 0
Rule 64: 3c121395d1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 5511141111225, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: 821d155124811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 1281118512117, Class:  1, CF:0.886565, Len: 13, Fitness_tra: 0
Rule 68: 3412835155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1211c55811555, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 913184112142c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 71: 5119111221411, Class:  2, CF:0.4534, Len: 13, Fitness_tra: 0
Rule 72: 00005070c0000, Class:  0, CF:0.0703198, Len:  3, Fitness_tra: 0
Rule 73: 1151121881122, Class:  0, CF:0.423828, Len: 13, Fitness_tra: 0
Rule 74: 5511122911218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2215211111111, Class:  2, CF:0.896528, Len: 13, Fitness_tra: 2
Rule 76: 121111111111b, Class:  2, CF:0.57163, Len: 13, Fitness_tra: 9
Rule 77: 1221112112111, Class:  2, CF:0.573673, Len: 13, Fitness_tra: 0
Rule 78: 1515821513121, Class:  1, CF:0.844868, Len: 13, Fitness_tra: 0
Rule 79: 1c11555212535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1595814d8922c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11d111c352212, Class:  0, CF:0.589409, Len: 13, Fitness_tra: 0
Rule 82: 2485151881112, Class:  2, CF:0.084584, Len: 13, Fitness_tra: 0
Rule 83: 38358111112cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 15151c1523228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1515c1b3c5422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2251115154111, Class:  0, CF:0.815993, Len: 13, Fitness_tra: 0
Rule 87: 1111117513141, Class:  1, CF:0.961315, Len: 13, Fitness_tra: 0
Rule 88: 1111121111111, Class:  1, CF:0.472923, Len: 13, Fitness_tra: 0
Rule 89: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1111211112111, Class:  2, CF:0.658315, Len: 13, Fitness_tra: 1
Rule 91: 2c10835152112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c410112182152, Class:  0, CF:0.905045, Len: 12, Fitness_tra: 0
Rule 93: 519111211123a, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: 11551c4915c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 215511531215c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 13e518c121118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2c5d515212b35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5315251111851, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 2155115211411, Class:  1, CF:0.737566, Len: 13, Fitness_tra: 0
Rule100: 2001101112051, Class:  0, CF:0.64945, Len:  9, Fitness_tra: 0
------Current------
Miss_rate(tra)	:53.2164
------Result------
Miss_rate(tra)	:53.2164
Miss_rate(tst)	:55.5556
ARL				:12.2174

------Generation 1------
Rule  1: 000000c004000, Class:  0, CF:0.625793, Len:  2, Fitness_tra: 13
Rule  2: 121111111111b, Class:  2, CF:0.57163, Len: 13, Fitness_tra: 16
Rule  3: 2111111112311, Class:  2, CF:0.912952, Len: 13, Fitness_tra: 23
Rule  4: 2215211111111, Class:  2, CF:0.896528, Len: 13, Fitness_tra: 2
Rule  5: 1111211112111, Class:  2, CF:0.658315, Len: 13, Fitness_tra: 0
Rule  6: 2001101112051, Class:  0, CF:0.64945, Len:  9, Fitness_tra: 0
Rule  7: 1511122121112, Class:  1, CF:0.508145, Len: 13, Fitness_tra: 0
Rule  8: 115121c152112, Class:  0, CF:0.417334, Len: 13, Fitness_tra: 0
Rule  9: 1111111155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 5111111112515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 11d2233815d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11158121181c1, Class:  0, CF:0.849771, Len: 13, Fitness_tra: 0
Rule 13: 1111155115551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 2115218181112, Class:  0, CF:0.877653, Len: 13, Fitness_tra: 0
Rule 15: 1258111221511, Class:  1, CF:0.962959, Len: 13, Fitness_tra: 0
Rule 16: 515111c811412, Class:  0, CF:0.999938, Len: 13, Fitness_tra: 0
Rule 17: 311128111511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11125111d1131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
