------Generation 0------
Rule  1: 2cd5222321112, Class:  2, CF:0.937587, Len: 13, Fitness_tra: 0
Rule  2: 11528d115c111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 241511c521151, Class:  1, CF:0.993588, Len: 13, Fitness_tra: 0
Rule  4: 3c18231111111, Class:  2, CF:0.700052, Len: 13, Fitness_tra: 0
Rule  5: 1c91153515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3211133255211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00007080d0000, Class:  0, CF:0.785632, Len:  3, Fitness_tra: 5
Rule  8: 1211218381551, Class:  0, CF:0.388834, Len: 13, Fitness_tra: 0
Rule  9: 111259111513a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11112d528cdd1, Class:  0, CF:0.672084, Len: 13, Fitness_tra: 0
Rule 11: 5151122121288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 151d1c4971188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 8000000004007, Class:  2, CF:0.300888, Len:  3, Fitness_tra: 41
Rule 14: 14521d5188593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000c004000, Class:  0, CF:0.56597, Len:  2, Fitness_tra: 22
Rule 16: 5159817121c1c, Class:  0, CF:0.60506, Len: 13, Fitness_tra: 0
Rule 17: 20e0804040000, Class:  0, CF:0.993934, Len:  5, Fitness_tra: 1
Rule 18: 1155212111112, Class:  2, CF:0.125066, Len: 13, Fitness_tra: 0
Rule 19: 51552c2311218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 11311118d2131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 32d8915812135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 311121e111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 1251151212112, Class:  0, CF:0.534626, Len: 13, Fitness_tra: 0
Rule 24: 12151cc152152, Class:  0, CF:0.55852, Len: 13, Fitness_tra: 0
Rule 25: 8151115112812, Class:  0, CF:0.996122, Len: 13, Fitness_tra: 0
Rule 26: 115d227111111, Class:  2, CF:0.568642, Len: 13, Fitness_tra: 0
Rule 27: 81112581225e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 000000000000c, Class:  0, CF:0.410223, Len:  1, Fitness_tra: 2
Rule 29: 11131c7513842, Class:  1, CF:0.797023, Len: 13, Fitness_tra: 0
Rule 30: 2155451122111, Class:  2, CF:0.804058, Len: 13, Fitness_tra: 0
Rule 31: 1111c12111722, Class:  0, CF:0.808101, Len: 13, Fitness_tra: 0
Rule 32: 0000000004004, Class:  0, CF:0.0264816, Len:  2, Fitness_tra: 0
Rule 33: 181151c811112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 5811122211421, Class:  0, CF:0.904206, Len: 13, Fitness_tra: 0
Rule 35: 2251c5111c532, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 5158cc41c512c, Class:  2, CF:0.977767, Len: 13, Fitness_tra: 0
Rule 37: 5591211611111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 919521b589115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1135811183212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3c15815512511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0050c00000000, Class:  0, CF:0.0879223, Len:  2, Fitness_tra: -1
Rule 42: 1155112611111, Class:  2, CF:0.806048, Len: 13, Fitness_tra: 0
Rule 43: 00000cc084550, Class:  0, CF:0.318166, Len:  6, Fitness_tra: 0
Rule 44: 5291811288111, Class:  2, CF:0.441494, Len: 13, Fitness_tra: 0
Rule 45: 1111151111515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 11d1121121241, Class:  1, CF:0.203021, Len: 13, Fitness_tra: 0
Rule 47: 381c539251591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 3111115158111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1151115c52553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1252c11811119, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 1111128181852, Class:  0, CF:0.633617, Len: 13, Fitness_tra: 0
Rule 52: 31121111d2811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 1151c51182112, Class:  0, CF:0.96504, Len: 13, Fitness_tra: 0
Rule 54: 000fe60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1255212181151, Class:  1, CF:0.819255, Len: 13, Fitness_tra: 0
Rule 56: d199821115c28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 15e182111c181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11112115c1c12, Class:  1, CF:0.821938, Len: 13, Fitness_tra: 0
Rule 59: 3251195131111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 5131114c11471, Class:  1, CF:0.847803, Len: 13, Fitness_tra: 0
Rule 61: 2000000000004, Class:  0, CF:0.0996713, Len:  2, Fitness_tra: -6
Rule 62: 1251131111191, Class:  0, CF:0.150861, Len: 13, Fitness_tra: 0
Rule 63: 000000c000000, Class:  0, CF:0.257522, Len:  1, Fitness_tra: -32
Rule 64: 3351212511111, Class:  1, CF:0.99073, Len: 13, Fitness_tra: 0
Rule 65: 3c00d00008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 521111b121428, Class:  0, CF:0.998409, Len: 13, Fitness_tra: 0
Rule 67: 2720002004000, Class:  0, CF:0.668567, Len:  5, Fitness_tra: 0
Rule 68: 2191155112511, Class:  0, CF:0.685328, Len: 13, Fitness_tra: 0
Rule 69: 11e5212e4282c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1415218211111, Class:  1, CF:0.957014, Len: 13, Fitness_tra: 0
Rule 71: 31912271c9112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11111221c1471, Class:  1, CF:0.767875, Len: 13, Fitness_tra: 0
Rule 73: 121111d11c515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: d1d1121111112, Class:  0, CF:0.691205, Len: 13, Fitness_tra: 0
Rule 75: 123113911d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 18dc215221d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 5111112118cb2, Class:  0, CF:0.653431, Len: 13, Fitness_tra: 0
Rule 78: 3212112211511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 79: 1c5cc1d81811e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1281158281111, Class:  1, CF:0.115983, Len: 13, Fitness_tra: 0
Rule 81: 1115122521141, Class:  1, CF:0.954784, Len: 13, Fitness_tra: 0
Rule 82: 1111199152515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: 14151e1291135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 8000000000002, Class:  0, CF:0.37457, Len:  2, Fitness_tra: -1
Rule 85: 1591124111222, Class:  0, CF:0.860859, Len: 13, Fitness_tra: 0
Rule 86: 0000000400d50, Class:  0, CF:0.0247379, Len:  3, Fitness_tra: 0
Rule 87: 1c58513151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5131114111212, Class:  0, CF:0.284009, Len: 13, Fitness_tra: 0
Rule 89: 11181312588e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 3252569215511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2111412524131, Class:  2, CF:0.594359, Len: 13, Fitness_tra: 0
Rule 92: 2188111111158, Class:  0, CF:0.908996, Len: 13, Fitness_tra: 0
Rule 93: 0c00008004557, Class:  1, CF:0.928032, Len:  6, Fitness_tra: 0
Rule 94: 2125158122111, Class:  1, CF:0.0786927, Len: 13, Fitness_tra: 0
Rule 95: 185c131151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1155822125111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 1211c21181152, Class:  0, CF:0.941272, Len: 13, Fitness_tra: 0
Rule 98: 51995111c1421, Class:  0, CF:0.999965, Len: 13, Fitness_tra: 0
Rule 99: 12d1151111131, Class:  2, CF:0.512957, Len: 13, Fitness_tra: 0
Rule100: 121c591552519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.8772
------Result------
Miss_rate(tra)	:50.8772
Miss_rate(tst)	:47.2222
ARL				:11.0959

------Generation 0------
Rule  1: 8000000004007, Class:  2, CF:0.300888, Len:  3, Fitness_tra: 43
Rule  2: 000000c004000, Class:  0, CF:0.56597, Len:  2, Fitness_tra: -4
Rule  3: 00007080d0000, Class:  0, CF:0.785632, Len:  3, Fitness_tra: 5
Rule  4: 000000000000c, Class:  0, CF:0.410223, Len:  1, Fitness_tra: 3
Rule  5: 20e0804040000, Class:  0, CF:0.993934, Len:  5, Fitness_tra: 1
Rule  6: 2cd5222321112, Class:  2, CF:0.937587, Len: 13, Fitness_tra: 0
Rule  7: 11528d115c111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1211218381551, Class:  0, CF:0.388834, Len: 13, Fitness_tra: 0
Rule  9: 111259111513a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11112d528cdd1, Class:  0, CF:0.672084, Len: 13, Fitness_tra: 0
Rule 11: 5151122121288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 151d1c4971188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 241511c521151, Class:  1, CF:0.993588, Len: 13, Fitness_tra: 0
Rule 14: 14521d5188593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3c18231111111, Class:  2, CF:0.700052, Len: 13, Fitness_tra: 0
Rule 16: 5159817121c1c, Class:  0, CF:0.60506, Len: 13, Fitness_tra: 0
Rule 17: 1c91153515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1155212111112, Class:  2, CF:0.125066, Len: 13, Fitness_tra: 0
Rule 19: 51552c2311218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 11311118d2131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 32d8915812135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 311121e111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 1251151212112, Class:  0, CF:0.534626, Len: 13, Fitness_tra: 0
Rule 24: 12151cc152152, Class:  0, CF:0.55852, Len: 13, Fitness_tra: 0
Rule 25: 8151115112812, Class:  0, CF:0.996122, Len: 13, Fitness_tra: 0
Rule 26: 115d227111111, Class:  2, CF:0.568642, Len: 13, Fitness_tra: 0
Rule 27: 81112581225e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 3211133255211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11131c7513842, Class:  1, CF:0.797023, Len: 13, Fitness_tra: 0
Rule 30: 2155451122111, Class:  2, CF:0.804058, Len: 13, Fitness_tra: 0
Rule 31: 1111c12111722, Class:  0, CF:0.808101, Len: 13, Fitness_tra: 0
Rule 32: 0000000004004, Class:  0, CF:0.0264816, Len:  2, Fitness_tra: 0
Rule 33: 181151c811112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 5811122211421, Class:  0, CF:0.904206, Len: 13, Fitness_tra: 0
Rule 35: 2251c5111c532, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 5158cc41c512c, Class:  2, CF:0.977767, Len: 13, Fitness_tra: 0
Rule 37: 5591211611111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 919521b589115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1135811183212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3c15815512511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 121c591552519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1155112611111, Class:  2, CF:0.806048, Len: 13, Fitness_tra: 0
Rule 43: 00000cc084550, Class:  0, CF:0.318166, Len:  6, Fitness_tra: 0
Rule 44: 5291811288111, Class:  2, CF:0.441494, Len: 13, Fitness_tra: 0
Rule 45: 1111151111515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 11d1121121241, Class:  1, CF:0.203021, Len: 13, Fitness_tra: 0
Rule 47: 381c539251591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 3111115158111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1151115c52553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1252c11811119, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 1111128181852, Class:  0, CF:0.633617, Len: 13, Fitness_tra: 0
Rule 52: 31121111d2811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 1151c51182112, Class:  0, CF:0.96504, Len: 13, Fitness_tra: 0
Rule 54: 000fe60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1255212181151, Class:  1, CF:0.819255, Len: 13, Fitness_tra: 0
Rule 56: d199821115c28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 15e182111c181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11112115c1c12, Class:  1, CF:0.821938, Len: 13, Fitness_tra: 0
Rule 59: 3251195131111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 5131114c11471, Class:  1, CF:0.847803, Len: 13, Fitness_tra: 0
Rule 61: 1251131111191, Class:  0, CF:0.150861, Len: 13, Fitness_tra: 0
Rule 62: 3351212511111, Class:  1, CF:0.99073, Len: 13, Fitness_tra: 0
Rule 63: 3c00d00008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 521111b121428, Class:  0, CF:0.998409, Len: 13, Fitness_tra: 0
Rule 65: 2720002004000, Class:  0, CF:0.668567, Len:  5, Fitness_tra: 0
Rule 66: 2191155112511, Class:  0, CF:0.685328, Len: 13, Fitness_tra: 0
Rule 67: 11e5212e4282c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1415218211111, Class:  1, CF:0.957014, Len: 13, Fitness_tra: 0
Rule 69: 31912271c9112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11111221c1471, Class:  1, CF:0.767875, Len: 13, Fitness_tra: 0
Rule 71: 121111d11c515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: d1d1121111112, Class:  0, CF:0.691205, Len: 13, Fitness_tra: 0
Rule 73: 123113911d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 18dc215221d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5111112118cb2, Class:  0, CF:0.653431, Len: 13, Fitness_tra: 0
Rule 76: 3212112211511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 1c5cc1d81811e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1281158281111, Class:  1, CF:0.115983, Len: 13, Fitness_tra: 0
Rule 79: 1115122521141, Class:  1, CF:0.954784, Len: 13, Fitness_tra: 0
Rule 80: 1111199152515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 1255411112532, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 8000000004004, Class:  0, CF:0.167647, Len:  3, Fitness_tra: 0
Rule 83: 5131141c11172, Class:  1, CF:0.416071, Len: 13, Fitness_tra: 0
Rule 84: 2000000000004, Class:  0, CF:0.0996713, Len:  2, Fitness_tra: -11
Rule 85: 1151115111111, Class:  0, CF:0.617423, Len: 13, Fitness_tra: 0
Rule 86: 1153111111211, Class:  1, CF:0.0736498, Len: 13, Fitness_tra: 0
Rule 87: 1111215112311, Class:  0, CF:0.814886, Len: 13, Fitness_tra: 0
Rule 88: 11d111411122c, Class:  0, CF:0.939961, Len: 13, Fitness_tra: 0
Rule 89: 2111418111112, Class:  0, CF:0.946636, Len: 13, Fitness_tra: 0
Rule 90: 1531811111121, Class:  2, CF:0.978041, Len: 13, Fitness_tra: 0
Rule 91: 2191415622511, Class:  0, CF:0.245731, Len: 13, Fitness_tra: 0
Rule 92: 1455504521151, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 93: 11d1a51322241, Class:  1, CF:0.879406, Len: 13, Fitness_tra: 0
Rule 94: 4156222311478, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: 6109821215e08, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e1b521b189115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 5659222111c28, Class:  1, CF:0.765139, Len: 13, Fitness_tra: 0
Rule 98: 3452133185291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1251111181191, Class:  0, CF:0.823319, Len: 13, Fitness_tra: 0
Rule100: 12d112a111851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.1228
------Result------
Miss_rate(tra)	:49.1228
Miss_rate(tst)	:47.2222
ARL				:11.68

------Generation 1------
Rule  1: 8000000004007, Class:  2, CF:0.300888, Len:  3, Fitness_tra: 34
Rule  2: 00007080d0000, Class:  0, CF:0.785632, Len:  3, Fitness_tra: 4
Rule  3: 000000000000c, Class:  0, CF:0.410223, Len:  1, Fitness_tra: 15
Rule  4: 20e0804040000, Class:  0, CF:0.993934, Len:  5, Fitness_tra: 1
Rule  5: 12d112a111851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 2cd5222321112, Class:  2, CF:0.937587, Len: 13, Fitness_tra: 0
Rule  7: 11528d115c111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1211218381551, Class:  0, CF:0.388834, Len: 13, Fitness_tra: 0
Rule  9: 111259111513a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11112d528cdd1, Class:  0, CF:0.672084, Len: 13, Fitness_tra: 0
Rule 11: 5151122121288, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 151d1c4971188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 241511c521151, Class:  1, CF:0.993588, Len: 13, Fitness_tra: 0
Rule 14: 14521d5188593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3c18231111111, Class:  2, CF:0.700052, Len: 13, Fitness_tra: -1
Rule 16: 5159817121c1c, Class:  0, CF:0.60506, Len: 13, Fitness_tra: 0
Rule 17: 1c91153515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1155212111112, Class:  2, CF:0.125066, Len: 13, Fitness_tra: 0
Rule 19: 51552c2311218, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 11311118d2131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 32d8915812135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 311121e111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 1251151212112, Class:  0, CF:0.534626, Len: 13, Fitness_tra: 0
Rule 24: 12151cc152152, Class:  0, CF:0.55852, Len: 13, Fitness_tra: 0
Rule 25: 8151115112812, Class:  0, CF:0.996122, Len: 13, Fitness_tra: 0
Rule 26: 115d227111111, Class:  2, CF:0.568642, Len: 13, Fitness_tra: 0
Rule 27: 81112581225e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 3211133255211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11131c7513842, Class:  1, CF:0.797023, Len: 13, Fitness_tra: 0
Rule 30: 2155451122111, Class:  2, CF:0.804058, Len: 13, Fitness_tra: 0
Rule 31: 1111c12111722, Class:  0, CF:0.808101, Len: 13, Fitness_tra: 0
