------Generation 0------
Rule  1: 1115111111b2c, Class:  1, CF:0.00873402, Len: 13, Fitness_tra: 0
Rule  2: 2111188112511, Class:  0, CF:0.222896, Len: 13, Fitness_tra: 0
Rule  3: 1811118117214, Class:  0, CF:0.919303, Len: 13, Fitness_tra: 0
Rule  4: 1811191c1c511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 8000000007007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1818215811113, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 5131511181515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1d5d824125112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 5113115581212, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 51311412c9b1c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1511257915212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0080000000002, Class:  0, CF:0.268786, Len:  2, Fitness_tra: -58
Rule 13: 1211533212131, Class:  2, CF:0.99499, Len: 13, Fitness_tra: 0
Rule 14: 3832131815133, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 1c1115511216d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 9218511558555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 221d811112112, Class:  2, CF:0.993024, Len: 13, Fitness_tra: 0
Rule 18: 1251c11c18511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 00cc70800405b, Class:  1, CF:0.0650934, Len:  7, Fitness_tra: 0
Rule 20: 1151811111113, Class:  1, CF:0.170592, Len: 13, Fitness_tra: 0
Rule 21: 1151141318112, Class:  2, CF:0.0761808, Len: 13, Fitness_tra: 0
Rule 22: 81152d5c81511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 000c00c0b0000, Class:  0, CF:0.0925969, Len:  3, Fitness_tra: -1
Rule 24: 1211215154131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1151115114591, Class:  0, CF:0.850081, Len: 13, Fitness_tra: 0
Rule 27: 2000000200002, Class:  0, CF:0.0950391, Len:  3, Fitness_tra: -4
Rule 28: d1d1127111178, Class:  0, CF:0.998112, Len: 13, Fitness_tra: 0
Rule 29: 8228111151512, Class:  0, CF:0.997312, Len: 13, Fitness_tra: 0
Rule 30: 1415218111111, Class:  1, CF:0.936083, Len: 13, Fitness_tra: 0
Rule 31: 2413418121112, Class:  0, CF:0.978356, Len: 13, Fitness_tra: 0
Rule 32: 115213d112811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
