------Generation 0------
Rule  1: 111122111311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 3251113211553, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 300800d005005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: ecd19391d1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 3111511681121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 21112d1d12214, Class:  1, CF:0.112936, Len: 13, Fitness_tra: 0
Rule  7: 0c00008004554, Class:  0, CF:0.235634, Len:  6, Fitness_tra: 0
Rule  8: 1115111511111, Class:  2, CF:0.312626, Len: 13, Fitness_tra: 0
Rule  9: 111d211211131, Class:  2, CF:0.890645, Len: 13, Fitness_tra: 0
Rule 10: 35118271191c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 19511213c1422, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 3252511151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 311122b111212, Class:  1, CF:0.938354, Len: 13, Fitness_tra: 0
Rule 14: 1112155111512, Class:  0, CF:0.602034, Len: 13, Fitness_tra: 0
Rule 15: 5513814d11111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 11512d1d12197, Class:  0, CF:0.95095, Len: 13, Fitness_tra: 0
Rule 17: 3c551d1c82d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c111222552151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 3c321d1121111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 9111881315222, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 11558111c1441, Class:  1, CF:0.229807, Len: 13, Fitness_tra: 0
Rule 22: 0000400000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c12195551511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e211115195511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1151111123241, Class:  1, CF:0.624441, Len: 13, Fitness_tra: 0
Rule 26: 2151215111151, Class:  0, CF:0.959274, Len: 13, Fitness_tra: 0
Rule 27: 9111555282515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 1255255212112, Class:  0, CF:0.323834, Len: 13, Fitness_tra: 0
Rule 29: 1c188132d5511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5c18115281111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 141c1d5212139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3115147911111, Class:  1, CF:0.764289, Len: 13, Fitness_tra: 0
Rule 33: 1d51812321c12, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 200000c000057, Class:  0, CF:0.648072, Len:  4, Fitness_tra: -3
Rule 35: 1111118114592, Class:  0, CF:0.883421, Len: 13, Fitness_tra: 0
Rule 36: 1c522e9155131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1111111111111, Class:  1, CF:0.320191, Len: 13, Fitness_tra: 1
Rule 38: 0000090004000, Class:  0, CF:0.820487, Len:  2, Fitness_tra: 2
Rule 39: 11512c41c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 11d1151211d19, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
