------Generation 0------
Rule  1: 5151184123441, Class:  0, CF:0.587012, Len: 13, Fitness_tra: 0
Rule  2: e811593211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1111215111511, Class:  0, CF:0.165902, Len: 13, Fitness_tra: 0
Rule  4: 0000c00054500, Class:  0, CF:0.846174, Len:  4, Fitness_tra: 0
Rule  5: 2050c00007004, Class:  0, CF:0.700553, Len:  5, Fitness_tra: 2
Rule  6: 1191581141211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1515cc1111445, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000045c0, Class:  0, CF:0.255767, Len:  3, Fitness_tra: -1
Rule  9: 000070c050000, Class:  1, CF:0.0997415, Len:  3, Fitness_tra: 2
Rule 10: 1155111511c11, Class:  2, CF:0.343765, Len: 13, Fitness_tra: 0
Rule 11: 11d5121321112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 31dc151188515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0080000000002, Class:  0, CF:0.233631, Len:  2, Fitness_tra: -23
Rule 14: d191121211111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3000000000800, Class:  1, CF:0.994361, Len:  2, Fitness_tra: 28
Rule 16: 1111217153241, Class:  1, CF:0.994297, Len: 13, Fitness_tra: 0
Rule 17: 14111d1c11515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 1355c21345121, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 51d181b112422, Class:  0, CF:0.907809, Len: 13, Fitness_tra: 0
Rule 20: 2b00000030002, Class:  0, CF:0.34525, Len:  4, Fitness_tra: 1
Rule 21: 3111111111d11, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 22: 923511d25c191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 32111612d1131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 111111111d111, Class:  2, CF:0.998035, Len: 13, Fitness_tra: 0
Rule 25: 2155111251152, Class:  0, CF:0.901137, Len: 13, Fitness_tra: 0
Rule 26: 321d51d151135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 14152151121e2, Class:  1, CF:0.878094, Len: 13, Fitness_tra: 0
Rule 28: 2c51155121231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 15d1812121c12, Class:  0, CF:0.841826, Len: 13, Fitness_tra: 0
Rule 30: 1115148121142, Class:  1, CF:0.093898, Len: 13, Fitness_tra: 0
Rule 31: 3195124189111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 5151821941111, Class:  0, CF:0.380814, Len: 13, Fitness_tra: 0
Rule 33: 551121b111141, Class:  2, CF:0.947094, Len: 13, Fitness_tra: 0
Rule 34: 151182194212c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9c31115185359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 9115818811155, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: e21819511111d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 125189581811d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 111c1111d5115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 14d2111251535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 8111112211111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11111c2325448, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 1211111111211, Class:  1, CF:0.0646986, Len: 13, Fitness_tra: 1
Rule 44: 0000804040000, Class:  0, CF:0.569397, Len:  3, Fitness_tra: 8
Rule 45: 1c1585d82111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5555217345212, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: ec15151111d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1551212111111, Class:  2, CF:0.48554, Len: 13, Fitness_tra: 0
Rule 49: 1219211151512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 51111c2581242, Class:  0, CF:0.9975, Len: 13, Fitness_tra: 0
Rule 51: 141112c811512, Class:  1, CF:0.389633, Len: 13, Fitness_tra: 0
Rule 52: 1315c1411111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1111212112112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1191144118421, Class:  0, CF:0.851416, Len: 13, Fitness_tra: 0
Rule 55: 3191151158151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3215113155231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
