------Generation 0------
Rule  1: 91118c4519411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000000d50, Class:  1, CF:0.224117, Len:  2, Fitness_tra: 1
Rule  3: 2251111111814, Class:  0, CF:0.549604, Len: 13, Fitness_tra: 0
Rule  4: 3111511111131, Class:  1, CF:0.495068, Len: 13, Fitness_tra: 0
Rule  5: d1d51c1129441, Class:  2, CF:  1, Len: 13, Fitness_tra: 1
Rule  6: 121511518111b, Class:  1, CF:0.99002, Len: 13, Fitness_tra: 0
Rule  7: 1c111518211d1, Class:  1, CF:0.959668, Len: 13, Fitness_tra: 0
Rule  8: 2259212521512, Class:  0, CF:0.986505, Len: 13, Fitness_tra: 0
Rule  9: 319111b1c1111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 12511911d5135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3c55191122d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1211d33115553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3151551c15133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 51111c7513211, Class:  1, CF:0.801128, Len: 13, Fitness_tra: 0
Rule 15: 211122c182112, Class:  0, CF:0.946719, Len: 13, Fitness_tra: 0
Rule 16: 1115522125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 22112512121e1, Class:  0, CF:0.983781, Len: 13, Fitness_tra: 0
Rule 18: 1531217322188, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 121c131251111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: c191418921152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 5111c18111551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 22: 81111d5d12811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 5551521125422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1212295c181e1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 11d112112122c, Class:  0, CF:0.827747, Len: 13, Fitness_tra: 0
Rule 26: 1111c8451124c, Class:  1, CF:0.158982, Len: 13, Fitness_tra: 0
Rule 27: 1111151111d39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 51515c1119212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 5951c21985412, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: 515111712511c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 1111142921242, Class:  1, CF:0.734694, Len: 13, Fitness_tra: 0
