------Generation 0------
Rule  1: dc444, Class:  0, CF:0.898652, Len:  5, Fitness_tra: 0
Rule  2: 53841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 12711, Class:  1, CF:0.405627, Len:  5, Fitness_tra: -2
Rule  4: 113b1, Class:  2, CF:0.542751, Len:  5, Fitness_tra: 0
Rule  5: 19821, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: 1914b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: 147c8, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 11
Rule  9: 17212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 13372, Class:  2, CF:0.971025, Len:  5, Fitness_tra: 0
Rule 11: 32121, Class:  1, CF:0.792311, Len:  5, Fitness_tra: 0
Rule 12: 32bc2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 32241, Class:  1, CF:0.974841, Len:  5, Fitness_tra: 0
Rule 14: 9111e, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 05000, Class:  1, CF:0.982182, Len:  1, Fitness_tra: 55
Rule 16: 11142, Class:  2, CF:0.950774, Len:  5, Fitness_tra: 0
Rule 17: d5242, Class:  1, CF:0.915856, Len:  5, Fitness_tra: 0
Rule 18: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11428, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 32714, Class:  1, CF:0.554522, Len:  5, Fitness_tra: 0
Rule 21: 9817b, Class:  1, CF:0.219004, Len:  5, Fitness_tra: 0
Rule 22: 11117, Class:  2, CF:0.318395, Len:  5, Fitness_tra: 0
Rule 23: 94112, Class:  2, CF:0.572455, Len:  5, Fitness_tra: 0
Rule 24: e0000, Class:  2, CF:0.195996, Len:  1, Fitness_tra: -1
Rule 25: 13e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 03000, Class:  2, CF:0.435539, Len:  1, Fitness_tra: 0
Rule 27: 14451, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: dc7b2, Class:  0, CF:0.913329, Len:  5, Fitness_tra: 0
Rule 30: e1411, Class:  1, CF:0.0840912, Len:  5, Fitness_tra: 0
Rule 31: 23141, Class:  2, CF:0.926124, Len:  5, Fitness_tra: 3
Rule 32: 5d547, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 1d1b4, Class:  1, CF:0.86576, Len:  5, Fitness_tra: 0
Rule 34: dc127, Class:  0, CF:0.95262, Len:  5, Fitness_tra: 0
Rule 35: 55144, Class:  1, CF:0.842796, Len:  5, Fitness_tra: 0
Rule 36: 2131b, Class:  2, CF:0.530142, Len:  5, Fitness_tra: 0
Rule 37: 31844, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: e2b12, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 14bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 81317, Class:  2, CF:0.578143, Len:  5, Fitness_tra: -4
Rule 41: 3c1b2, Class:  1, CF:0.119843, Len:  5, Fitness_tra: 0
Rule 42: 1911b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 43: 85544, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: d1127, Class:  2, CF:0.980359, Len:  5, Fitness_tra: 2
Rule 45: 81277, Class:  2, CF:0.876707, Len:  5, Fitness_tra: 0
Rule 46: d2212, Class:  2, CF:0.0958326, Len:  5, Fitness_tra: 0
Rule 47: 61521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 32111, Class:  1, CF:0.836546, Len:  5, Fitness_tra: 6
Rule 49: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 85144, Class:  1, CF:0.596111, Len:  5, Fitness_tra: 0
Rule 51: 927c5, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 52: 11344, Class:  2, CF:0.945025, Len:  5, Fitness_tra: 0
Rule 53: 15872, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 00c00, Class:  1, CF:0.978809, Len:  1, Fitness_tra: 43
Rule 55: d0700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 29122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 13227, Class:  2, CF:0.926442, Len:  5, Fitness_tra: 0
Rule 58: e1171, Class:  2, CF:0.962222, Len:  5, Fitness_tra: 0
Rule 59: 51222, Class:  2, CF:0.971373, Len:  5, Fitness_tra: 0
Rule 60: 51417, Class:  2, CF:0.49739, Len:  5, Fitness_tra: 0
Rule 61: 1c448, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 51c7b, Class:  1, CF:0.354971, Len:  5, Fitness_tra: 0
Rule 63: 54111, Class:  0, CF:0.0611237, Len:  5, Fitness_tra: 0
Rule 64: 4314b, Class:  2, CF:0.935622, Len:  5, Fitness_tra: 0
Rule 65: 12119, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 66: d5271, Class:  1, CF:0.96573, Len:  5, Fitness_tra: 0
Rule 67: 11221, Class:  2, CF:0.185879, Len:  5, Fitness_tra: 0
Rule 68: d3244, Class:  2, CF:0.979521, Len:  5, Fitness_tra: 0
Rule 69: c614b, Class:  2, CF:0.920912, Len:  5, Fitness_tra: 0
Rule 70: d81b1, Class:  0, CF:0.203934, Len:  5, Fitness_tra: 0
