------Generation 0------
Rule  1: 19c2b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 94714, Class:  2, CF:0.270666, Len:  5, Fitness_tra: 0
Rule  3: 92174, Class:  2, CF:0.942976, Len:  5, Fitness_tra: 0
Rule  4: 55224, Class:  1, CF:0.911299, Len:  5, Fitness_tra: 0
Rule  5: 1771c, Class:  2, CF:0.996067, Len:  5, Fitness_tra: 0
Rule  6: 13114, Class:  2, CF:0.676881, Len:  5, Fitness_tra: 3
Rule  7: 255b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 97113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 37121, Class:  0, CF:0.302686, Len:  5, Fitness_tra: 0
Rule 10: 81d11, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 13147, Class:  2, CF:0.950635, Len:  5, Fitness_tra: 5
Rule 12: 9c213, Class:  1, CF:0.208281, Len:  5, Fitness_tra: 0
Rule 13: 09000, Class:  1, CF:  1, Len:  1, Fitness_tra: 30
Rule 14: 19141, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 91174, Class:  2, CF:0.991445, Len:  5, Fitness_tra: 3
Rule 16: 1a122, Class:  2, CF:0.998669, Len:  5, Fitness_tra: 0
Rule 17: e11c1, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: 32b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 5c227, Class:  0, CF:0.830805, Len:  5, Fitness_tra: 0
Rule 20: 9471a, Class:  1, CF:0.308889, Len:  5, Fitness_tra: 1
Rule 21: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 32122, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1272c, Class:  2, CF:0.999501, Len:  5, Fitness_tra: 0
Rule 24: 57281, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 235b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 31241, Class:  1, CF:0.710951, Len:  5, Fitness_tra: 0
Rule 27: 11712, Class:  2, CF:0.502886, Len:  5, Fitness_tra: 0
Rule 28: 38144, Class:  1, CF:0.915892, Len:  5, Fitness_tra: 0
Rule 29: 18411, Class:  1, CF:0.887268, Len:  5, Fitness_tra: 22
Rule 30: 571d2, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 21b41, Class:  2, CF:0.579541, Len:  5, Fitness_tra: 1
Rule 32: e1474, Class:  2, CF:0.979941, Len:  5, Fitness_tra: 0
Rule 33: c91b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 119b2, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: 12144, Class:  2, CF:0.762256, Len:  5, Fitness_tra: 0
Rule 36: 53121, Class:  2, CF:0.963114, Len:  5, Fitness_tra: 4
Rule 37: 62412, Class:  1, CF:0.9949, Len:  5, Fitness_tra: 0
Rule 38: e248c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1b714, Class:  2, CF:0.236319, Len:  5, Fitness_tra: 0
Rule 40: 1517b, Class:  1, CF:0.885129, Len:  5, Fitness_tra: 0
Rule 41: 952bb, Class:  1, CF:0.997452, Len:  5, Fitness_tra: 0
Rule 42: d2cbb, Class:  1, CF:0.698248, Len:  5, Fitness_tra: 0
Rule 43: 3e814, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 18271, Class:  1, CF:0.86066, Len:  5, Fitness_tra: 0
Rule 46: 32429, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
