------Generation 0------
Rule  1: 314b7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 133b2, Class:  2, CF:0.957591, Len:  5, Fitness_tra: 2
Rule  3: 912b2, Class:  2, CF:0.963102, Len:  5, Fitness_tra: 0
Rule  4: 314c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 38444, Class:  1, CF:0.982706, Len:  5, Fitness_tra: 0
Rule  6: e211b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: d8121, Class:  1, CF:0.062166, Len:  5, Fitness_tra: 0
Rule  8: e4748, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: e2412, Class:  1, CF:0.303958, Len:  5, Fitness_tra: 0
Rule 10: 15177, Class:  1, CF:0.899661, Len:  5, Fitness_tra: 0
Rule 11: 91874, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 81c24, Class:  1, CF:0.235658, Len:  5, Fitness_tra: 0
Rule 13: 5c4b7, Class:  0, CF:0.761538, Len:  5, Fitness_tra: 0
Rule 14: 12421, Class:  1, CF:0.34696, Len:  5, Fitness_tra: 0
Rule 15: 00700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e1211, Class:  1, CF:0.18751, Len:  5, Fitness_tra: 0
Rule 17: 511b4, Class:  2, CF:0.973834, Len:  5, Fitness_tra: 2
Rule 18: 11224, Class:  2, CF:0.877564, Len:  5, Fitness_tra: 0
Rule 19: ce114, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: e2414, Class:  1, CF:0.303958, Len:  5, Fitness_tra: 0
Rule 21: 18142, Class:  0, CF:0.0851853, Len:  5, Fitness_tra: 0
Rule 22: 5c722, Class:  0, CF:0.809634, Len:  5, Fitness_tra: 0
Rule 23: 8c472, Class:  0, CF:0.753875, Len:  5, Fitness_tra: 0
Rule 24: 14414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 12112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: d8414, Class:  0, CF:0.0460633, Len:  5, Fitness_tra: 0
Rule 27: 51114, Class:  2, CF:0.786092, Len:  5, Fitness_tra: 16
Rule 28: 51cb4, Class:  1, CF:0.439982, Len:  5, Fitness_tra: 0
Rule 29: 141c4, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 94171, Class:  2, CF:0.669063, Len:  5, Fitness_tra: 0
Rule 31: 55821, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 914b1, Class:  2, CF:0.789759, Len:  5, Fitness_tra: 0
