------Generation 0------
Rule  1: 3111b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 21c14, Class:  1, CF:0.666502, Len:  5, Fitness_tra: 0
Rule  3: 61417, Class:  1, CF:0.945582, Len:  5, Fitness_tra: 0
Rule  4: 88811, Class:  1, CF:  1, Len:  5, Fitness_tra: 9
Rule  5: 64b24, Class:  1, CF:0.518156, Len:  5, Fitness_tra: 0
Rule  6: 11158, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: d3822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: d8417, Class:  0, CF:0.329532, Len:  5, Fitness_tra: 0
Rule  9: 17412, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 18142, Class:  0, CF:0.0556173, Len:  5, Fitness_tra: 0
Rule 11: 15c71, Class:  1, CF:  1, Len:  5, Fitness_tra: 5
Rule 12: 23174, Class:  2, CF:0.977834, Len:  5, Fitness_tra: 5
Rule 13: e52b1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 14: 34b17, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5522b, Class:  1, CF:0.926621, Len:  5, Fitness_tra: 0
Rule 16: 21114, Class:  2, CF:0.673299, Len:  5, Fitness_tra: 5
Rule 17: ced21, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: dc22b, Class:  0, CF:0.889827, Len:  5, Fitness_tra: 0
Rule 19: c6577, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 37281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 23121, Class:  2, CF:0.929059, Len:  5, Fitness_tra: 0
Rule 23: 11ab4, Class:  2, CF:0.936525, Len:  5, Fitness_tra: 0
Rule 24: 55c12, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 3c111, Class:  1, CF:0.731728, Len:  5, Fitness_tra: 30
Rule 26: 5112b, Class:  2, CF:0.975536, Len:  5, Fitness_tra: 0
Rule 27: 34128, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: c554b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 29: 2d5b2, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 52422, Class:  2, CF:0.870492, Len:  5, Fitness_tra: 0
Rule 31: 11128, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: d182b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 33: 14144, Class:  2, CF:0.762118, Len:  5, Fitness_tra: 0
Rule 34: 2617b, Class:  2, CF:0.987152, Len:  5, Fitness_tra: 0
Rule 35: 521b2, Class:  2, CF:0.910435, Len:  5, Fitness_tra: 0
Rule 36: 121b2, Class:  2, CF:0.712388, Len:  5, Fitness_tra: 0
Rule 37: 59227, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 11118, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
