------Generation 0------
Rule  1: 551222112311d41212, Class:  2, CF:0.183263, Len: 18, Fitness_tra: 0
Rule  2: 155114851581582712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 600000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 181b112911811c4214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 135112c1c1441c7181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 005000000000000030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2114121d21112111c2, Class:  0, CF:0.471258, Len: 18, Fitness_tra: 15
Rule  9: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 558111417814c48119, Class:  3, CF:0.213284, Len: 18, Fitness_tra: 0
Rule 11: 18114411714b5422d5, Class:  2, CF:0.490922, Len: 18, Fitness_tra: 0
Rule 12: 000008000a00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000c00000200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1582421511145c2114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000070004000000006, Class:  2, CF:0.625, Len:  3, Fitness_tra: 43
Rule 16: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d00080e00300000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000009, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c004007e707b000000, Class:  0, CF:0.794466, Len:  7, Fitness_tra: 0
Rule 26: e1351431e111112154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000d00000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000e03000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000003, Class:  2, CF:0.00578799, Len:  1, Fitness_tra: -29
Rule 32: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 52d5c2c1c42c212113, Class:  2, CF:0.461873, Len: 18, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000000000008c, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 255c17298521d11211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 402080000000000000, Class:  0, CF:0.618917, Len:  3, Fitness_tra: 2
Rule 40: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 03000c004040000000, Class:  2, CF:0.272791, Len:  4, Fitness_tra: 0
Rule 42: 00908b082000080092, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 12888215c18c1c1519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 188441431812121122, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00000c000000080000, Class:  2, CF:  1, Len:  2, Fitness_tra: 0
Rule 47: 02000c0040400c0000, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1212248581c84771e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
