------Generation 0------
Rule  1: 219c21c1c1c15c1215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1d928c2119c822188d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 9961213131d5919259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 00e000000000080502, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule  7: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 54542219211b111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1881121588115c221b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1d1114cd25cc581122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 181112292812211133, Class:  0, CF:  1, Len: 18, Fitness_tra: 3
Rule 12: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 366111643916151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000800000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1361223b9311122282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000080000, Class:  0, CF:0.0222985, Len:  1, Fitness_tra: -25
Rule 19: 000000000000000d00, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000c002020000009, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 22: 1111c225228c1112e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1158c7811151141139, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 8852c71d2c81811255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1852442142c418222b, Class:  0, CF:0.954155, Len: 18, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000c00000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000d000c0038, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 30: 00a000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 11121285c12181c2c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1991148155281211c2, Class:  3, CF:0.505313, Len: 18, Fitness_tra: 6
Rule 33: 9111111765163521c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000700000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
