------Generation 0------
Rule  1: c28bb12121c2211124, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000c500d000c00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 288122c12814548485, Class:  1, CF:0.449001, Len: 18, Fitness_tra: -1
Rule  5: c004007eb07b000000, Class:  0, CF:0.97315, Len:  7, Fitness_tra: 0
Rule  6: 00000000020000000d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00900b0000000000dc, Class:  3, CF:0.458867, Len:  4, Fitness_tra: 7
Rule  8: 000000000000000003, Class:  2, CF:0.0178045, Len:  1, Fitness_tra: -39
Rule  9: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1181221978248111c4, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 12: 56652c145111111289, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d89111814211142411, Class:  1, CF:0.0943704, Len: 18, Fitness_tra: 6
Rule 14: 11151b31339311c1c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000005000c0020, Class:  2, CF:0.702847, Len:  3, Fitness_tra: 0
Rule 16: 0000c0000000000400, Class:  2, CF:0.233167, Len:  2, Fitness_tra: 30
Rule 17: 0000000000000c0000, Class:  2, CF:0.182597, Len:  1, Fitness_tra: -1
Rule 18: 111114c34121828811, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 003000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 211887c1821c12b811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 85214415212421c152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
