------Generation 0------
Rule  1: fafd9185551ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000de0000d0d, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule  3: 49a8128185511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 66a519192c881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: bb42311819151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 61fd51dd58155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1c461431a9141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2123d312c5515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b211811111558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 186151515915c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 16a2118515881, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 12: 7168995151d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4811511118c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2161413932219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: a511c13519121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1111211d85112, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 17: 4c1158e2d115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 6971111111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a662352816551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 41a11111811d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 72118121c5135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2831191129115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 194456181551f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a121511225132, Class:  0, CF:0.997093, Len: 13, Fitness_tra: 0
Rule 25: 2d32951113349, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f511512585381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 39bd11115115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7835398125321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1631e1119e158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3513d11555511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 611325195151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000c000009000, Class:  0, CF:0.991329, Len:  2, Fitness_tra: 33
Rule 33: 3113d29111158, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 34: 4146182d315d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b724191115153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4411151811115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0003090000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 98
Rule 38: 1411181591351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3112919911113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000e0902000c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 3175391181191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1241d1512d2d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7b2151855511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b1fce54125221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b1a1165911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 16f2381131122, Class:  0, CF:0.948559, Len: 13, Fitness_tra: 28
Rule 47: f947151119111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f165e8c511d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f1b1281512555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 181915c55e521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3661d53981211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: f579111115115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1bb29e1115d99, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000d0000d000, Class:  0, CF:0.995454, Len:  2, Fitness_tra: 244
Rule 55: 45ac111c11331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 63b1283de1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 31155195c8819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1138511111145, Class:  0, CF:  1, Len: 13, Fitness_tra: 12
