------Generation 0------
Rule  1: 13f11c11312c5, Class:  0, CF:0.991289, Len: 13, Fitness_tra: 0
Rule  2: 0200900000040, Class:  0, CF:  1, Len:  3, Fitness_tra: 26
Rule  3: b5a1c133188ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000080d0d53, Class:  0, CF:0.160031, Len:  5, Fitness_tra: 0
Rule  5: a3b211d159151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3e21151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 6668136118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 21738c9de1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3315511515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 14
Rule 11: f3f1182553151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000c0002, Class:  0, CF:0.792813, Len:  2, Fitness_tra: 204
Rule 13: 3122861dd8113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3fa111131d88e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: a912125113118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: a615988c9581e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 39489155d9111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 333211395d841, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f1a5551122213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 2773115291198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 6179d5818d192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 23: a978e88513511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6d71211122113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1fa5d133558c3, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: b71c1d3215311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 61bde15519831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f145111911128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f17552585d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000d000000000, Class:  0, CF:0.89834, Len:  1, Fitness_tra: 249
Rule 31: 1c111d2121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b8a2e1118e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000ec400000cd, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 2221955155131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3f151c5135881, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 13b1813da1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6115515913d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b83c91c21535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11f1511141811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
