------Generation 0------
Rule  1: b431, Class:  0, CF:0.779817, Len:  4, Fitness_tra: 1
Rule  2: 5522, Class:  0, CF:0.361404, Len:  4, Fitness_tra: 0
Rule  3: 0050, Class:  2, CF:0.343023, Len:  1, Fitness_tra: 18
Rule  4: 4505, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1521, Class:  0, CF:0.177513, Len:  4, Fitness_tra: 0
Rule  6: 0050, Class:  2, CF:0.343023, Len:  1, Fitness_tra: 0
Rule  7: 1521, Class:  0, CF:0.177513, Len:  4, Fitness_tra: 0
Rule  8: 1151, Class:  2, CF:0.680175, Len:  4, Fitness_tra: 2
Rule  9: 5456, Class:  0, CF:0.918605, Len:  4, Fitness_tra: 3
Rule 10: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 3261, Class:  0, CF:0.657588, Len:  4, Fitness_tra: 0
Rule 13: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0005, Class:  2, CF:0.337209, Len:  1, Fitness_tra: 15
Rule 15: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1e31, Class:  0, CF:0.9, Len:  4, Fitness_tra: 3
Rule 17: 0053, Class:  0, CF:0.0731707, Len:  2, Fitness_tra: 0
Rule 18: 4174, Class:  2, CF:0.151261, Len:  4, Fitness_tra: 0
Rule 19: 1341, Class:  2, CF:0.624254, Len:  4, Fitness_tra: 3
Rule 20: 1114, Class:  2, CF:0.275552, Len:  4, Fitness_tra: 0
Rule 21: 9124, Class:  2, CF:0.241706, Len:  4, Fitness_tra: 0
Rule 22: b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 500b, Class:  0, CF:0.569231, Len:  2, Fitness_tra: 11
Rule 24: 6131, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2131, Class:  0, CF:0.72856, Len:  4, Fitness_tra: 0
Rule 26: 5004, Class:  0, CF:0.352518, Len:  2, Fitness_tra: 0
Rule 27: 5911, Class:  0, CF:0.998506, Len:  4, Fitness_tra: 3
Rule 28: 1411, Class:  0, CF:0.275795, Len:  4, Fitness_tra: 0
Rule 29: e111, Class:  0, CF:0.75089, Len:  4, Fitness_tra: 3
Rule 30: 9318, Class:  0, CF:0.136508, Len:  4, Fitness_tra: 0
Rule 31: 5004, Class:  0, CF:0.352518, Len:  2, Fitness_tra: 0
Rule 32: 5231, Class:  0, CF:0.997522, Len:  4, Fitness_tra: 1
Rule 33: 1161, Class:  0, CF:0.143797, Len:  4, Fitness_tra: -1
Rule 34: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5045, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1169, Class:  2, CF:0.443803, Len:  4, Fitness_tra: 0
Rule 37: 4113, Class:  0, CF:0.581874, Len:  4, Fitness_tra: -1
Rule 38: 7060, Class:  0, CF:0.470693, Len:  2, Fitness_tra: 2
Rule 39: 5362, Class:  0, CF:0.162679, Len:  4, Fitness_tra: 0
Rule 40: 2131, Class:  0, CF:0.72856, Len:  4, Fitness_tra: 0
Rule 41: 0430, Class:  0, CF:0.594096, Len:  2, Fitness_tra: 7
Rule 42: 1112, Class:  2, CF:0.500944, Len:  4, Fitness_tra: 0
Rule 43: 0035, Class:  0, CF:0.115385, Len:  2, Fitness_tra: 0
Rule 44: 6055, Class:  2, CF:  1, Len:  3, Fitness_tra: 5
Rule 45: 5466, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 46: 2060, Class:  0, CF:0.747106, Len:  2, Fitness_tra: 33
Rule 47: 0055, Class:  2, CF:0.812207, Len:  2, Fitness_tra: 31
Rule 48: 4435, Class:  0, CF:0.6, Len:  4, Fitness_tra: 1
Rule 49: 0655, Class:  2, CF:  1, Len:  3, Fitness_tra: 10
Rule 50: 4113, Class:  0, CF:0.581874, Len:  4, Fitness_tra: 0
Rule 51: 1216, Class:  0, CF:0.790281, Len:  4, Fitness_tra: 4
Rule 52: 4036, Class:  0, CF:0.952569, Len:  3, Fitness_tra: 9
Rule 53: 2122, Class:  2, CF:0.659158, Len:  4, Fitness_tra: 4
Rule 54: 0044, Class:  2, CF:0.0529248, Len:  2, Fitness_tra: 0
Rule 55: 0556, Class:  0, CF:0.703704, Len:  3, Fitness_tra: 6
Rule 56: 1313, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 6035, Class:  2, CF:0.431472, Len:  3, Fitness_tra: 2
Rule 58: 1312, Class:  2, CF:0.738586, Len:  4, Fitness_tra: 10
Rule 59: 4121, Class:  2, CF:0.187518, Len:  4, Fitness_tra: 0
