------Generation 0------
Rule  1: 000440000d00007000, Class:  0, CF:0.859686, Len:  4, Fitness_tra: 0
Rule  2: 11147721c58c58c142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 5e312111d5d1111221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1332211261e13c8827, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1131121131139c1812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 002070000000000000, Class:  0, CF:0.664774, Len:  2, Fitness_tra: 0
Rule  7: 111827329113121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 009000000000000020, Class:  0, CF:0.989203, Len:  2, Fitness_tra: 2
Rule  9: 3135145c5151141255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9368111213116c1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2121c7151112141113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: 4522121118141c4181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 131141182111541251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 1331123b9933112184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3311221b6336652112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 818b221d1211514141, Class:  1, CF:0.999934, Len: 18, Fitness_tra: 0
Rule 17: c15711858511822221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 421114251221111512, Class:  0, CF:0.0121774, Len: 18, Fitness_tra: 0
Rule 19: 02000ccd4044800000, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: d8151155c882142199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 113117221582111459, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5d58211523cc5c2215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c187218585118c4124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 31a11ce29319511189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000007e007b000400, Class:  1, CF:0.089754, Len:  5, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:0.529566, Len:  0, Fitness_tra: 370
