------Generation 0------
Rule  1: 1211b49c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 3118b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 21811113, Class:  0, CF:0.988087, Len:  8, Fitness_tra: 0
Rule  4: 255cb231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 52112411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: c1512212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 5815271c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 51c47451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1881bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 811c7218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1882bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 58122235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d92127e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8d11245c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1d517b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 152141e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d15121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 18: 11811495, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1884245c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 5d51b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: d211b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 88527131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 8cc2771c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 58212b5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: d58d7238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c1271258, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 27: 192c2be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 14187b52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 15d1b158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 115c721d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 55122138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2524bb15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 221c1498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 2d147711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1211b138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c8221112, Class:  0, CF:0.987877, Len:  8, Fitness_tra: 0
Rule 37: 12821138, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 38: 91154b5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 54117298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 12181795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: d1154131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
