------Generation 0------
Rule  1: e512241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 51821132, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: 83117191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: dd81b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 91817712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 8551419c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: c8512232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1cd27bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 99124191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11524411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 15117231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e32811e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 5551b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 31592b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000000, Class:  0, CF:0.973054, Len:  0, Fitness_tra: 1298
Rule 16: e3224b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d588249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1151b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1111245c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 52d24711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 28dc2712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5d22b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1221711c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00080000, Class:  0, CF:0.978227, Len:  1, Fitness_tra: 0
Rule 25: c212b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 21512135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: d111711c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
