------Generation 0------
Rule  1: 15517b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: d8124131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 28117431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1d251238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 85817b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 152c443c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 154274e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 151c213c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c121b79c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11112a11, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:0.973034, Len:  0, Fitness_tra: 1299
Rule 12: 15d111e1, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 13: 251cb412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 9121b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3112a412, Class:  1, CF:0.523543, Len:  8, Fitness_tra: 0
Rule 16: 88d9449c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 522d273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 8552b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 28227118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1281bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 58551412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 15257232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2d21bb38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2112179c, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 25: 222cb411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 12111715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 22114712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 555227d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 82c22431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 88d41411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 9155b7e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 12cc725c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 511c4451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15827111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1154b7e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 85817111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 12151251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: d58d71e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1d117b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1584b192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 31c81b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: c2124298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 82217712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
