------Generation 0------
Rule  1: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: -18
Rule  2: 04700, Class:  0, CF:0.532753, Len:  2, Fitness_tra: 0
Rule  3: 98121, Class:  0, CF:0.203749, Len:  5, Fitness_tra: 0
Rule  4: 52411, Class:  0, CF:0.382431, Len:  5, Fitness_tra: 0
Rule  5: d54b7, Class:  0, CF:0.343226, Len:  5, Fitness_tra: 0
Rule  6: 58174, Class:  0, CF:0.90214, Len:  5, Fitness_tra: 0
Rule  7: 38414, Class:  1, CF:0.923346, Len:  5, Fitness_tra: 0
Rule  8: 111b7, Class:  2, CF:0.358311, Len:  5, Fitness_tra: 0
Rule  9: 0b000, Class:  0, CF:0.688525, Len:  1, Fitness_tra: 50
Rule 10: 11112, Class:  0, CF:0.0519169, Len:  5, Fitness_tra: 0
Rule 11: 51247, Class:  2, CF:0.715285, Len:  5, Fitness_tra: 0
Rule 12: 21122, Class:  2, CF:0.908509, Len:  5, Fitness_tra: 0
Rule 13: 8172b, Class:  2, CF:0.234277, Len:  5, Fitness_tra: 0
Rule 14: 9884b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 11111, Class:  0, CF:0.620887, Len:  5, Fitness_tra: 0
Rule 16: 31111, Class:  0, CF:0.123058, Len:  5, Fitness_tra: 0
Rule 17: 12cb4, Class:  1, CF:0.770362, Len:  5, Fitness_tra: 0
Rule 18: 91774, Class:  2, CF:0.918089, Len:  5, Fitness_tra: 0
Rule 19: 51172, Class:  2, CF:0.939165, Len:  5, Fitness_tra: 0
Rule 20: 952b1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 12121, Class:  0, CF:0.285755, Len:  5, Fitness_tra: 0
Rule 22: d2441, Class:  0, CF:0.566091, Len:  5, Fitness_tra: 0
Rule 23: 11221, Class:  0, CF:0.165374, Len:  5, Fitness_tra: 0
Rule 24: 32b22, Class:  0, CF:0.101709, Len:  5, Fitness_tra: 0
Rule 25: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 26: 911b1, Class:  2, CF:0.877517, Len:  5, Fitness_tra: 0
Rule 27: 342c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule 29: 51122, Class:  2, CF:0.952144, Len:  5, Fitness_tra: 0
Rule 30: 1212b, Class:  0, CF:0.139615, Len:  5, Fitness_tra: 0
Rule 31: 95c22, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 1111b, Class:  0, CF:0.473341, Len:  5, Fitness_tra: 0
Rule 33: 91211, Class:  0, CF:0.130278, Len:  5, Fitness_tra: 0
Rule 34: 12171, Class:  0, CF:0.35211, Len:  5, Fitness_tra: 0
Rule 35: 32277, Class:  1, CF:0.734627, Len:  5, Fitness_tra: 0
Rule 36: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 37: 55142, Class:  1, CF:0.602546, Len:  5, Fitness_tra: 0
Rule 38: 11417, Class:  0, CF:0.555458, Len:  5, Fitness_tra: 0
Rule 39: 19527, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 11211, Class:  0, CF:0.335078, Len:  5, Fitness_tra: 0
Rule 41: 91172, Class:  2, CF:0.980266, Len:  5, Fitness_tra: 0
Rule 42: 11174, Class:  2, CF:0.645432, Len:  5, Fitness_tra: 0
Rule 43: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 44: 18412, Class:  0, CF:0.215249, Len:  5, Fitness_tra: 0
Rule 45: 04000, Class:  0, CF:0.579122, Len:  1, Fitness_tra: 51
Rule 46: 52144, Class:  2, CF:0.612125, Len:  5, Fitness_tra: 0
Rule 47: dcc22, Class:  0, CF:0.773777, Len:  5, Fitness_tra: 0
Rule 48: 12b12, Class:  0, CF:0.519599, Len:  5, Fitness_tra: 0
Rule 49: 95212, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 921bb, Class:  2, CF:0.717564, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 52: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 53: 52cb4, Class:  1, CF:0.323764, Len:  5, Fitness_tra: 0
Rule 54: e7122, Class:  2, CF:0.950363, Len:  5, Fitness_tra: 0
Rule 55: 13344, Class:  2, CF:0.860511, Len:  5, Fitness_tra: 0
Rule 56: 18121, Class:  0, CF:0.148083, Len:  5, Fitness_tra: 0
Rule 57: 15172, Class:  1, CF:0.683756, Len:  5, Fitness_tra: 0
Rule 58: 91717, Class:  2, CF:0.213556, Len:  5, Fitness_tra: 0
Rule 59: 81174, Class:  2, CF:0.777282, Len:  5, Fitness_tra: 1
Rule 60: 9811b, Class:  0, CF:0.577821, Len:  5, Fitness_tra: 0
Rule 61: 35421, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 62: d2111, Class:  0, CF:0.830505, Len:  5, Fitness_tra: 0
Rule 63: 52212, Class:  0, CF:0.222559, Len:  5, Fitness_tra: 0
Rule 64: 21111, Class:  0, CF:0.566403, Len:  5, Fitness_tra: 0
Rule 65: 92211, Class:  1, CF:0.118829, Len:  5, Fitness_tra: 0
Rule 66: 18171, Class:  0, CF:0.148083, Len:  5, Fitness_tra: 0
Rule 67: dc214, Class:  0, CF:0.974877, Len:  5, Fitness_tra: 0
Rule 68: 5144b, Class:  2, CF:0.657212, Len:  5, Fitness_tra: 0
Rule 69: 3b214, Class:  0, CF:0.529515, Len:  5, Fitness_tra: 0
Rule 70: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule 71: 58114, Class:  0, CF:0.858329, Len:  5, Fitness_tra: 0
Rule 72: 11421, Class:  0, CF:0.238336, Len:  5, Fitness_tra: 0
Rule 73: 15422, Class:  1, CF:0.882011, Len:  5, Fitness_tra: 0
Rule 74: 1847b, Class:  0, CF:0.40568, Len:  5, Fitness_tra: 0
Rule 75: 98472, Class:  0, CF:0.332286, Len:  5, Fitness_tra: 0
Rule 76: 11244, Class:  2, CF:0.382242, Len:  5, Fitness_tra: 0
Rule 77: 9c2bb, Class:  0, CF:0.939417, Len:  5, Fitness_tra: 0
Rule 78: 51272, Class:  2, CF:0.877654, Len:  5, Fitness_tra: 0
Rule 79: e8214, Class:  1, CF:0.18638, Len:  5, Fitness_tra: 0
Rule 80: 37711, Class:  0, CF:0.167577, Len:  5, Fitness_tra: 0
Rule 81: 37712, Class:  0, CF:0.425408, Len:  5, Fitness_tra: 0
Rule 82: 95171, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 84: 1dc2b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: 51c72, Class:  0, CF:0.491133, Len:  5, Fitness_tra: 0
Rule 86: 117bb, Class:  0, CF:0.250931, Len:  5, Fitness_tra: 0
Rule 87: 921b2, Class:  2, CF:0.885423, Len:  5, Fitness_tra: 0
Rule 88: 131b4, Class:  2, CF:0.704994, Len:  5, Fitness_tra: 0
Rule 89: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 90: 0b000, Class:  0, CF:0.688525, Len:  1, Fitness_tra: 0
Rule 91: 111b7, Class:  2, CF:0.358311, Len:  5, Fitness_tra: 0
Rule 92: 55174, Class:  1, CF:0.602546, Len:  5, Fitness_tra: 0
Rule 93: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 94: d52b2, Class:  0, CF:0.343226, Len:  5, Fitness_tra: 0
Rule 95: 181b2, Class:  0, CF:0.702074, Len:  5, Fitness_tra: 0
Rule 96: d514b, Class:  0, CF:0.645887, Len:  5, Fitness_tra: 0
Rule 97: 51417, Class:  0, CF:0.24082, Len:  5, Fitness_tra: 0
Rule 98: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 99: 161b1, Class:  2, CF:0.573907, Len:  5, Fitness_tra: 0
Rule100: 00c00, Class:  1, CF:0.91195, Len:  1, Fitness_tra: 7
------Current------
Miss_rate(tra)	:21.5116
------Result------
Miss_rate(tra)	:21.5116
Miss_rate(tst)	:20.9302
ARL				:4.23232

------Generation 0------
Rule  1: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: -18
Rule  2: 04700, Class:  0, CF:0.532753, Len:  2, Fitness_tra: 0
Rule  3: 98121, Class:  0, CF:0.203749, Len:  5, Fitness_tra: 0
Rule  4: 52411, Class:  0, CF:0.382431, Len:  5, Fitness_tra: 0
Rule  5: d54b7, Class:  0, CF:0.343226, Len:  5, Fitness_tra: 0
Rule  6: 58174, Class:  0, CF:0.90214, Len:  5, Fitness_tra: 0
Rule  7: 38414, Class:  1, CF:0.923346, Len:  5, Fitness_tra: 0
Rule  8: 111b7, Class:  2, CF:0.358311, Len:  5, Fitness_tra: 0
Rule  9: 0b000, Class:  0, CF:0.688525, Len:  1, Fitness_tra: 50
Rule 10: 11112, Class:  0, CF:0.0519169, Len:  5, Fitness_tra: 0
Rule 11: 51247, Class:  2, CF:0.715285, Len:  5, Fitness_tra: 0
Rule 12: 21122, Class:  2, CF:0.908509, Len:  5, Fitness_tra: 0
Rule 13: 8172b, Class:  2, CF:0.234277, Len:  5, Fitness_tra: 0
Rule 14: 9884b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 11111, Class:  0, CF:0.620887, Len:  5, Fitness_tra: 0
Rule 16: 31111, Class:  0, CF:0.123058, Len:  5, Fitness_tra: 0
Rule 17: 12cb4, Class:  1, CF:0.770362, Len:  5, Fitness_tra: 0
Rule 18: 91774, Class:  2, CF:0.918089, Len:  5, Fitness_tra: 0
Rule 19: 51172, Class:  2, CF:0.939165, Len:  5, Fitness_tra: 0
Rule 20: 952b1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 12121, Class:  0, CF:0.285755, Len:  5, Fitness_tra: 0
Rule 22: d2441, Class:  0, CF:0.566091, Len:  5, Fitness_tra: 0
Rule 23: 11221, Class:  0, CF:0.165374, Len:  5, Fitness_tra: 0
Rule 24: 32b22, Class:  0, CF:0.101709, Len:  5, Fitness_tra: 0
Rule 25: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 26: 911b1, Class:  2, CF:0.877517, Len:  5, Fitness_tra: 0
Rule 27: 342c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule 29: 51122, Class:  2, CF:0.952144, Len:  5, Fitness_tra: 0
Rule 30: 1212b, Class:  0, CF:0.139615, Len:  5, Fitness_tra: 0
Rule 31: 95c22, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 1111b, Class:  0, CF:0.473341, Len:  5, Fitness_tra: 0
Rule 33: 91211, Class:  0, CF:0.130278, Len:  5, Fitness_tra: 0
Rule 34: 12171, Class:  0, CF:0.35211, Len:  5, Fitness_tra: 0
Rule 35: 32277, Class:  1, CF:0.734627, Len:  5, Fitness_tra: 0
Rule 36: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 37: 55142, Class:  1, CF:0.602546, Len:  5, Fitness_tra: 0
Rule 38: 11417, Class:  0, CF:0.555458, Len:  5, Fitness_tra: 0
Rule 39: 19527, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 11211, Class:  0, CF:0.335078, Len:  5, Fitness_tra: 0
Rule 41: 91172, Class:  2, CF:0.980266, Len:  5, Fitness_tra: 0
Rule 42: 11174, Class:  2, CF:0.645432, Len:  5, Fitness_tra: 0
Rule 43: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 44: 18412, Class:  0, CF:0.215249, Len:  5, Fitness_tra: 0
Rule 45: 04000, Class:  0, CF:0.579122, Len:  1, Fitness_tra: 51
Rule 46: 52144, Class:  2, CF:0.612125, Len:  5, Fitness_tra: 0
Rule 47: dcc22, Class:  0, CF:0.773777, Len:  5, Fitness_tra: 0
Rule 48: 12b12, Class:  0, CF:0.519599, Len:  5, Fitness_tra: 0
Rule 49: 95212, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 50: 921bb, Class:  2, CF:0.717564, Len:  5, Fitness_tra: 0
Rule 51: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 52: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 53: 52cb4, Class:  1, CF:0.323764, Len:  5, Fitness_tra: 0
Rule 54: e7122, Class:  2, CF:0.950363, Len:  5, Fitness_tra: 0
Rule 55: 13344, Class:  2, CF:0.860511, Len:  5, Fitness_tra: 0
Rule 56: 18121, Class:  0, CF:0.148083, Len:  5, Fitness_tra: 0
Rule 57: 15172, Class:  1, CF:0.683756, Len:  5, Fitness_tra: 0
Rule 58: 91717, Class:  2, CF:0.213556, Len:  5, Fitness_tra: 0
Rule 59: 81174, Class:  2, CF:0.777282, Len:  5, Fitness_tra: 1
Rule 60: 9811b, Class:  0, CF:0.577821, Len:  5, Fitness_tra: 0
Rule 61: 35421, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
