------Generation 0------
Rule  1: d2171, Class:  0, CF:0.338492, Len:  5, Fitness_tra: 0
Rule  2: d0000, Class:  0, CF:0.404916, Len:  1, Fitness_tra: 0
Rule  3: 3d217, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  4: 21124, Class:  2, CF:0.905213, Len:  5, Fitness_tra: 0
Rule  5: 21127, Class:  2, CF:0.877734, Len:  5, Fitness_tra: 1
Rule  6: 03000, Class:  0, CF:0.306667, Len:  1, Fitness_tra: 0
Rule  7: 514bb, Class:  2, CF:0.408621, Len:  5, Fitness_tra: 0
Rule  8: 17411, Class:  0, CF:0.767465, Len:  5, Fitness_tra: 0
Rule  9: d2417, Class:  0, CF:0.762982, Len:  5, Fitness_tra: 0
Rule 10: 912b7, Class:  2, CF:0.809351, Len:  5, Fitness_tra: 0
Rule 11: 91211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e5241, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 12221, Class:  1, CF:0.248222, Len:  5, Fitness_tra: 0
Rule 14: d847b, Class:  0, CF:0.887614, Len:  5, Fitness_tra: 0
Rule 15: dc471, Class:  0, CF:0.911127, Len:  5, Fitness_tra: 0
Rule 16: 12111, Class:  0, CF:0.369605, Len:  5, Fitness_tra: 0
Rule 17: 11422, Class:  2, CF:0.733741, Len:  5, Fitness_tra: 0
Rule 18: 21124, Class:  2, CF:0.905213, Len:  5, Fitness_tra: 0
Rule 19: 11422, Class:  2, CF:0.733741, Len:  5, Fitness_tra: 0
Rule 20: 1d477, Class:  1, CF:0.671797, Len:  5, Fitness_tra: 0
Rule 21: 117b4, Class:  2, CF:0.136812, Len:  5, Fitness_tra: 0
Rule 22: 551b7, Class:  1, CF:0.399812, Len:  5, Fitness_tra: 0
Rule 23: 11217, Class:  0, CF:0.582996, Len:  5, Fitness_tra: 0
Rule 24: e2c21, Class:  1, CF:0.965226, Len:  5, Fitness_tra: 0
Rule 25: 88244, Class:  0, CF:0.795245, Len:  5, Fitness_tra: 0
Rule 26: d27b2, Class:  2, CF:0.615142, Len:  5, Fitness_tra: 0
Rule 27: d5147, Class:  0, CF:0.586578, Len:  5, Fitness_tra: 0
Rule 28: e1121, Class:  2, CF:0.960333, Len:  5, Fitness_tra: 0
Rule 29: 91c21, Class:  1, CF:0.813161, Len:  5, Fitness_tra: 0
Rule 30: 11114, Class:  0, CF:0.280778, Len:  5, Fitness_tra: 0
Rule 31: 9d24b, Class:  1, CF:0.985055, Len:  5, Fitness_tra: 0
Rule 32: 22412, Class:  0, CF:0.398252, Len:  5, Fitness_tra: 0
Rule 33: 554b2, Class:  1, CF:0.724555, Len:  5, Fitness_tra: 0
Rule 34: d124b, Class:  2, CF:0.388682, Len:  5, Fitness_tra: 0
Rule 35: 32721, Class:  1, CF:0.660184, Len:  5, Fitness_tra: 0
Rule 36: 51242, Class:  2, CF:0.873293, Len:  5, Fitness_tra: 0
Rule 37: 511b4, Class:  2, CF:0.862913, Len:  5, Fitness_tra: 0
Rule 38: e214b, Class:  2, CF:0.773904, Len:  5, Fitness_tra: 0
Rule 39: 52171, Class:  0, CF:0.0623231, Len:  5, Fitness_tra: 0
Rule 40: 91212, Class:  2, CF:0.33397, Len:  5, Fitness_tra: 0
Rule 41: 58112, Class:  0, CF:0.764944, Len:  5, Fitness_tra: 0
Rule 42: d11b4, Class:  2, CF:0.830768, Len:  5, Fitness_tra: 0
Rule 43: 15221, Class:  1, CF:0.979619, Len:  5, Fitness_tra: 0
Rule 44: d8227, Class:  0, CF:0.887614, Len:  5, Fitness_tra: 0
Rule 45: 55172, Class:  1, CF:0.399812, Len:  5, Fitness_tra: 0
Rule 46: 1e247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 91124, Class:  2, CF:0.978757, Len:  5, Fitness_tra: 0
Rule 48: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 13
Rule 49: 8c4b7, Class:  0, CF:0.949648, Len:  5, Fitness_tra: 0
Rule 50: e0000, Class:  2, CF:0.038526, Len:  1, Fitness_tra: 0
Rule 51: 55212, Class:  1, CF:0.824329, Len:  5, Fitness_tra: 0
Rule 52: 00700, Class:  0, CF:0.439654, Len:  1, Fitness_tra: -4
Rule 53: 11247, Class:  2, CF:0.126179, Len:  5, Fitness_tra: 0
Rule 54: e814b, Class:  1, CF:0.318009, Len:  5, Fitness_tra: 0
Rule 55: 91c2b, Class:  1, CF:0.437858, Len:  5, Fitness_tra: 0
Rule 56: 51221, Class:  2, CF:0.289031, Len:  5, Fitness_tra: 0
Rule 57: 1c211, Class:  0, CF:0.263449, Len:  5, Fitness_tra: 0
Rule 58: 1c214, Class:  0, CF:0.729276, Len:  5, Fitness_tra: 0
Rule 59: 5511b, Class:  1, CF:0.533593, Len:  5, Fitness_tra: 0
Rule 60: 12c72, Class:  1, CF:0.966946, Len:  5, Fitness_tra: 0
Rule 61: 13147, Class:  2, CF:0.788982, Len:  5, Fitness_tra: 0
Rule 62: 112b2, Class:  2, CF:0.61833, Len:  5, Fitness_tra: 0
Rule 63: 04b08, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 64: 1c1b4, Class:  0, CF:0.929478, Len:  5, Fitness_tra: 0
Rule 65: 51174, Class:  2, CF:0.902684, Len:  5, Fitness_tra: 0
Rule 66: 32241, Class:  1, CF:0.931411, Len:  5, Fitness_tra: 0
Rule 67: 51274, Class:  2, CF:0.703584, Len:  5, Fitness_tra: 0
Rule 68: 138bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 111b2, Class:  2, CF:0.756081, Len:  5, Fitness_tra: 0
Rule 70: 58222, Class:  0, CF:0.61878, Len:  5, Fitness_tra: 0
Rule 71: d8cb2, Class:  1, CF:0.695393, Len:  5, Fitness_tra: 0
Rule 72: 51241, Class:  2, CF:0.204431, Len:  5, Fitness_tra: 0
Rule 73: 1111b, Class:  0, CF:0.516322, Len:  5, Fitness_tra: 0
Rule 74: d1172, Class:  2, CF:0.932698, Len:  5, Fitness_tra: 1
Rule 75: 1522b, Class:  1, CF:0.91035, Len:  5, Fitness_tra: 0
Rule 76: 31174, Class:  0, CF:0.111759, Len:  5, Fitness_tra: 0
Rule 77: 11c71, Class:  1, CF:0.896832, Len:  5, Fitness_tra: 0
Rule 78: 1811b, Class:  0, CF:0.53565, Len:  5, Fitness_tra: 0
Rule 79: e0000, Class:  2, CF:0.038526, Len:  1, Fitness_tra: 0
Rule 80: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule 81: 31411, Class:  1, CF:0.30433, Len:  5, Fitness_tra: 0
Rule 82: 1c724, Class:  0, CF:0.863657, Len:  5, Fitness_tra: 0
Rule 83: 38141, Class:  1, CF:0.827821, Len:  5, Fitness_tra: 0
Rule 84: 38427, Class:  1, CF:0.905003, Len:  5, Fitness_tra: 0
Rule 85: 98242, Class:  1, CF:0.111942, Len:  5, Fitness_tra: 0
Rule 86: 92412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 95212, Class:  1, CF:0.995398, Len:  5, Fitness_tra: 0
Rule 88: 152bb, Class:  1, CF:0.91035, Len:  5, Fitness_tra: 0
Rule 89: 151b7, Class:  1, CF:0.5118, Len:  5, Fitness_tra: 0
Rule 90: 07b00, Class:  0, CF:0.816983, Len:  2, Fitness_tra: 65
Rule 91: 04008, Class:  2, CF:  1, Len:  2, Fitness_tra: 0
Rule 92: 18717, Class:  0, CF:0.32404, Len:  5, Fitness_tra: 0
Rule 93: 31b44, Class:  0, CF:0.283814, Len:  5, Fitness_tra: 0
Rule 94: 37211, Class:  0, CF:0.217861, Len:  5, Fitness_tra: 0
Rule 95: 11414, Class:  0, CF:0.522169, Len:  5, Fitness_tra: 0
Rule 96: 98242, Class:  1, CF:0.111942, Len:  5, Fitness_tra: 0
Rule 97: 21571, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: e2714, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 18242, Class:  0, CF:0.0691454, Len:  5, Fitness_tra: 0
Rule100: d1412, Class:  2, CF:0.13349, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:26.7442
------Result------
Miss_rate(tra)	:26.7442
Miss_rate(tst)	:25.5814
ARL				:4.61458

------Generation 0------
Rule  1: 07b00, Class:  0, CF:0.816983, Len:  2, Fitness_tra: 65
Rule  2: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 11
Rule  3: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule  4: 21127, Class:  2, CF:0.877734, Len:  5, Fitness_tra: 1
Rule  5: d1172, Class:  2, CF:0.932698, Len:  5, Fitness_tra: 1
Rule  6: d2171, Class:  0, CF:0.338492, Len:  5, Fitness_tra: 0
Rule  7: 514bb, Class:  2, CF:0.408621, Len:  5, Fitness_tra: 0
Rule  8: 17411, Class:  0, CF:0.767465, Len:  5, Fitness_tra: 0
Rule  9: d2417, Class:  0, CF:0.762982, Len:  5, Fitness_tra: 0
Rule 10: 912b7, Class:  2, CF:0.809351, Len:  5, Fitness_tra: 0
Rule 11: 91211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e5241, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 12221, Class:  1, CF:0.248222, Len:  5, Fitness_tra: 0
Rule 14: d847b, Class:  0, CF:0.887614, Len:  5, Fitness_tra: 0
Rule 15: dc471, Class:  0, CF:0.911127, Len:  5, Fitness_tra: 0
Rule 16: 12111, Class:  0, CF:0.369605, Len:  5, Fitness_tra: 0
Rule 17: 11422, Class:  2, CF:0.733741, Len:  5, Fitness_tra: 0
Rule 18: 21124, Class:  2, CF:0.905213, Len:  5, Fitness_tra: 0
Rule 19: 11422, Class:  2, CF:0.733741, Len:  5, Fitness_tra: 0
Rule 20: 1d477, Class:  1, CF:0.671797, Len:  5, Fitness_tra: 0
Rule 21: 117b4, Class:  2, CF:0.136812, Len:  5, Fitness_tra: 0
Rule 22: 551b7, Class:  1, CF:0.399812, Len:  5, Fitness_tra: 0
Rule 23: 11217, Class:  0, CF:0.582996, Len:  5, Fitness_tra: 0
Rule 24: e2c21, Class:  1, CF:0.965226, Len:  5, Fitness_tra: 0
Rule 25: 88244, Class:  0, CF:0.795245, Len:  5, Fitness_tra: 0
Rule 26: d27b2, Class:  2, CF:0.615142, Len:  5, Fitness_tra: 0
Rule 27: d5147, Class:  0, CF:0.586578, Len:  5, Fitness_tra: 0
Rule 28: e1121, Class:  2, CF:0.960333, Len:  5, Fitness_tra: 0
Rule 29: 91c21, Class:  1, CF:0.813161, Len:  5, Fitness_tra: 0
Rule 30: 11114, Class:  0, CF:0.280778, Len:  5, Fitness_tra: 0
Rule 31: 9d24b, Class:  1, CF:0.985055, Len:  5, Fitness_tra: 0
Rule 32: 22412, Class:  0, CF:0.398252, Len:  5, Fitness_tra: 0
Rule 33: 554b2, Class:  1, CF:0.724555, Len:  5, Fitness_tra: 0
Rule 34: d124b, Class:  2, CF:0.388682, Len:  5, Fitness_tra: 0
Rule 35: 32721, Class:  1, CF:0.660184, Len:  5, Fitness_tra: 0
Rule 36: 51242, Class:  2, CF:0.873293, Len:  5, Fitness_tra: 0
Rule 37: 511b4, Class:  2, CF:0.862913, Len:  5, Fitness_tra: 0
Rule 38: e214b, Class:  2, CF:0.773904, Len:  5, Fitness_tra: 0
Rule 39: 52171, Class:  0, CF:0.0623231, Len:  5, Fitness_tra: 0
Rule 40: 91212, Class:  2, CF:0.33397, Len:  5, Fitness_tra: 0
Rule 41: 58112, Class:  0, CF:0.764944, Len:  5, Fitness_tra: 0
Rule 42: d11b4, Class:  2, CF:0.830768, Len:  5, Fitness_tra: 0
Rule 43: 15221, Class:  1, CF:0.979619, Len:  5, Fitness_tra: 0
Rule 44: d8227, Class:  0, CF:0.887614, Len:  5, Fitness_tra: 0
Rule 45: 55172, Class:  1, CF:0.399812, Len:  5, Fitness_tra: 0
Rule 46: 1e247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 47: 91124, Class:  2, CF:0.978757, Len:  5, Fitness_tra: 0
Rule 48: 3d217, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 8c4b7, Class:  0, CF:0.949648, Len:  5, Fitness_tra: 0
Rule 50: e0000, Class:  2, CF:0.038526, Len:  1, Fitness_tra: 0
Rule 51: 55212, Class:  1, CF:0.824329, Len:  5, Fitness_tra: 0
Rule 52: d1412, Class:  2, CF:0.13349, Len:  5, Fitness_tra: 0
Rule 53: 11247, Class:  2, CF:0.126179, Len:  5, Fitness_tra: 0
Rule 54: e814b, Class:  1, CF:0.318009, Len:  5, Fitness_tra: 0
Rule 55: 91c2b, Class:  1, CF:0.437858, Len:  5, Fitness_tra: 0
Rule 56: 51221, Class:  2, CF:0.289031, Len:  5, Fitness_tra: 0
Rule 57: 1c211, Class:  0, CF:0.263449, Len:  5, Fitness_tra: 0
Rule 58: 1c214, Class:  0, CF:0.729276, Len:  5, Fitness_tra: 0
Rule 59: 5511b, Class:  1, CF:0.533593, Len:  5, Fitness_tra: 0
Rule 60: 12c72, Class:  1, CF:0.966946, Len:  5, Fitness_tra: 0
Rule 61: 13147, Class:  2, CF:0.788982, Len:  5, Fitness_tra: 0
Rule 62: 112b2, Class:  2, CF:0.61833, Len:  5, Fitness_tra: 0
