------Generation 0------
Rule  1: e8414, Class:  0, CF:0.193444, Len:  5, Fitness_tra: 0
Rule  2: 58247, Class:  0, CF:0.852687, Len:  5, Fitness_tra: 0
Rule  3: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 76
Rule  4: d8277, Class:  0, CF:0.937858, Len:  5, Fitness_tra: 0
Rule  5: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule  6: 11272, Class:  2, CF:0.642883, Len:  5, Fitness_tra: 0
Rule  7: 51172, Class:  2, CF:0.932964, Len:  5, Fitness_tra: 0
Rule  8: 55212, Class:  1, CF:0.306261, Len:  5, Fitness_tra: 0
Rule  9: 95414, Class:  1, CF:0.955026, Len:  5, Fitness_tra: 0
Rule 10: 5d112, Class:  0, CF:0.240218, Len:  5, Fitness_tra: 0
Rule 11: 21111, Class:  0, CF:0.563808, Len:  5, Fitness_tra: 0
Rule 12: 98122, Class:  0, CF:0.784953, Len:  5, Fitness_tra: 0
Rule 13: 04708, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 14: d12b1, Class:  0, CF:0.192378, Len:  5, Fitness_tra: 0
Rule 15: 2114b, Class:  2, CF:0.700385, Len:  5, Fitness_tra: 0
Rule 16: 3c7b1, Class:  1, CF:0.285585, Len:  5, Fitness_tra: 0
Rule 17: 111bb, Class:  2, CF:0.068634, Len:  5, Fitness_tra: 0
Rule 18: 5c244, Class:  0, CF:0.916189, Len:  5, Fitness_tra: 0
Rule 19: 51117, Class:  2, CF:0.126495, Len:  5, Fitness_tra: 0
Rule 20: d2117, Class:  0, CF:0.691203, Len:  5, Fitness_tra: 0
Rule 21: 11722, Class:  2, CF:0.732595, Len:  5, Fitness_tra: 0
Rule 22: 17b22, Class:  2, CF:0.474185, Len:  5, Fitness_tra: 0
Rule 23: 52444, Class:  2, CF:0.406422, Len:  5, Fitness_tra: 0
Rule 24: 31241, Class:  1, CF:0.38099, Len:  5, Fitness_tra: 0
Rule 25: 9c141, Class:  0, CF:0.7852, Len:  5, Fitness_tra: 0
Rule 26: 1e242, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 582b1, Class:  0, CF:0.37503, Len:  5, Fitness_tra: 0
Rule 28: 21172, Class:  2, CF:0.868536, Len:  5, Fitness_tra: 0
Rule 29: 51121, Class:  2, CF:0.762579, Len:  5, Fitness_tra: 0
Rule 30: d0000, Class:  0, CF:0.471841, Len:  1, Fitness_tra: 4
Rule 31: 15141, Class:  1, CF:0.872863, Len:  5, Fitness_tra: 0
Rule 32: 18cb7, Class:  1, CF:0.855399, Len:  5, Fitness_tra: 0
Rule 33: 37411, Class:  0, CF:0.189515, Len:  5, Fitness_tra: 0
Rule 34: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 35: 38111, Class:  1, CF:0.87503, Len:  5, Fitness_tra: 0
Rule 36: 21521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 2151b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 38: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 39: 23171, Class:  2, CF:0.549747, Len:  5, Fitness_tra: 0
Rule 40: 58724, Class:  0, CF:0.872603, Len:  5, Fitness_tra: 0
Rule 41: ed000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
