------Generation 0------
Rule  1: 13c2b, Class:  0, CF:0.99122, Len:  5, Fitness_tra: 0
Rule  2: 9c414, Class:  0, CF:0.802198, Len:  5, Fitness_tra: 0
Rule  3: d0000, Class:  0, CF:0.423631, Len:  1, Fitness_tra: -2
Rule  4: 31447, Class:  0, CF:0.281863, Len:  5, Fitness_tra: 0
Rule  5: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 31
Rule  6: 52241, Class:  0, CF:0.0346821, Len:  5, Fitness_tra: 0
Rule  7: 231b2, Class:  2, CF:0.917663, Len:  5, Fitness_tra: 0
Rule  8: 11142, Class:  2, CF:0.815086, Len:  5, Fitness_tra: 0
Rule  9: 35c77, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: d1142, Class:  2, CF:0.939038, Len:  5, Fitness_tra: 0
Rule 11: d1227, Class:  2, CF:0.576844, Len:  5, Fitness_tra: 0
Rule 12: 18112, Class:  0, CF:0.526615, Len:  5, Fitness_tra: 0
Rule 13: 51274, Class:  2, CF:0.765738, Len:  5, Fitness_tra: 0
Rule 14: d2144, Class:  2, CF:0.539404, Len:  5, Fitness_tra: 0
Rule 15: 1c141, Class:  0, CF:0.751021, Len:  5, Fitness_tra: 0
Rule 16: 52174, Class:  2, CF:0.579213, Len:  5, Fitness_tra: 0
Rule 17: 1c122, Class:  0, CF:0.890395, Len:  5, Fitness_tra: 0
Rule 18: e11b1, Class:  2, CF:0.905814, Len:  5, Fitness_tra: 0
Rule 19: 09500, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 20: d224b, Class:  0, CF:0.295632, Len:  5, Fitness_tra: 0
Rule 21: 11577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 22: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 23: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 4
Rule 24: 62411, Class:  1, CF:0.996426, Len:  5, Fitness_tra: 1
Rule 25: 04700, Class:  0, CF:0.525944, Len:  2, Fitness_tra: 0
Rule 26: 35c4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 5c241, Class:  0, CF:0.757872, Len:  5, Fitness_tra: 0
Rule 28: 322b4, Class:  1, CF:0.466393, Len:  5, Fitness_tra: 0
Rule 29: 51242, Class:  2, CF:0.8882, Len:  5, Fitness_tra: 0
Rule 30: 11412, Class:  0, CF:0.184772, Len:  5, Fitness_tra: 0
Rule 31: 18144, Class:  0, CF:0.67016, Len:  5, Fitness_tra: 0
Rule 32: 18411, Class:  1, CF:0.536452, Len:  5, Fitness_tra: 0
Rule 33: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 34: 581b4, Class:  0, CF:0.823626, Len:  5, Fitness_tra: 0
Rule 35: 31441, Class:  1, CF:0.0337892, Len:  5, Fitness_tra: 0
Rule 36: d1477, Class:  2, CF:0.4789, Len:  5, Fitness_tra: 0
Rule 37: dd1b4, Class:  0, CF:0.602542, Len:  5, Fitness_tra: 0
Rule 38: 04700, Class:  0, CF:0.525944, Len:  2, Fitness_tra: 0
Rule 39: dc112, Class:  0, CF:0.969914, Len:  5, Fitness_tra: 0
Rule 40: 12442, Class:  2, CF:0.297142, Len:  5, Fitness_tra: 0
Rule 41: 12174, Class:  2, CF:0.0448989, Len:  5, Fitness_tra: 0
Rule 42: 31222, Class:  0, CF:0.22828, Len:  5, Fitness_tra: 0
Rule 43: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 44: 91c71, Class:  1, CF:0.784106, Len:  5, Fitness_tra: 0
Rule 45: 51217, Class:  0, CF:0.23153, Len:  5, Fitness_tra: 0
Rule 46: 34412, Class:  0, CF:0.0354851, Len:  5, Fitness_tra: 0
Rule 47: 892bb, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 92cb1, Class:  1, CF:0.940257, Len:  5, Fitness_tra: 0
Rule 49: 51447, Class:  2, CF:0.693537, Len:  5, Fitness_tra: 0
Rule 50: 127b4, Class:  0, CF:0.113404, Len:  5, Fitness_tra: 0
Rule 51: 51214, Class:  0, CF:0.066448, Len:  5, Fitness_tra: 0
Rule 52: 11124, Class:  2, CF:0.760917, Len:  5, Fitness_tra: 0
Rule 53: 1c422, Class:  0, CF:0.812306, Len:  5, Fitness_tra: 0
Rule 54: 91422, Class:  2, CF:0.935797, Len:  5, Fitness_tra: 0
Rule 55: 98c24, Class:  1, CF:0.880406, Len:  5, Fitness_tra: 0
Rule 56: dc417, Class:  0, CF:0.967956, Len:  5, Fitness_tra: 0
Rule 57: d5c42, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 58: d2241, Class:  0, CF:0.467239, Len:  5, Fitness_tra: 0
Rule 59: 00000, Class:  0, CF:0.395349, Len:  0, Fitness_tra: 0
Rule 60: e5122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 61: 91cb7, Class:  1, CF:0.331047, Len:  5, Fitness_tra: 0
