------Generation 0------
Rule  1: 1211b4ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5118b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 82811114, Class:  0, CF:0.412292, Len:  8, Fitness_tra: 1
Rule  4: 588cb351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 52212411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d2512214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 8814261c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  8: 51857451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2881b432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 81187218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d82bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 58182334, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: dd5127ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d811249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 15524192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d18121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 20: 115213e8, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1d8c243c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 8d81b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c511b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 51
Rule 27: 5554141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: dd857298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 8511baec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2588229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15812251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0c000000, Class:  1, CF:0.113766, Len:  1, Fitness_tra: 277
Rule 34: 282cba18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 188c4614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c1814f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24512752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 12214838, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
