------Generation 0------
Rule  1: d8dc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 281d7452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: c0000000, Class:  1, CF:0.076647, Len:  1, Fitness_tra: 259
Rule  4: 28542292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: d5211498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 8181b6ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: d1cd4451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 185c4a12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 18882795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 81821f58, Class:  0, CF:0.993154, Len:  8, Fitness_tra: 0
Rule 13: 15517734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12122f51, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 5d541b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11d22331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 88817414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1514b195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1552159c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 28d84714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8dd4111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 23: 155c1252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1114b591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 15182798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15157411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: d1551c1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000d0, Class:  1, CF:0.0290291, Len:  1, Fitness_tra: -193
Rule 29: 1111411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: d85124e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15dc4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 58287311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21127158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 221174e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 88514191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2111b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2d211712, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 1d527c3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 212c135c, Class:  0, CF:0.966174, Len:  8, Fitness_tra: 1
Rule 45: 13c17458, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8181463c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 8121b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 85122391, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 51: 15822354, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 52: 58821231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 15d84e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 5cd2411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 128c7735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 28524755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11811711, Class:  1, CF:0.999363, Len:  8, Fitness_tra: 0
Rule 58: 1dd1be34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 12412792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 52121132, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 62: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5152141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 282113e4, Class:  0, CF:0.993107, Len:  8, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 911117e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1251b492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 12d4b81c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1d211818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000d0, Class:  1, CF:0.0290291, Len:  1, Fitness_tra: 0
Rule 71: 5c121b1c, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 72: 51127191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5121715c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 12212112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 75: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d0030000, Class:  0, CF:0.169216, Len:  2, Fitness_tra: 61
Rule 77: d8112238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
