------Generation 0------
Rule  1: 12c12be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 218c7292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 8291b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 18d8bb92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 04000000, Class:  0, CF:0.0207133, Len:  1, Fitness_tra: 0
Rule  9: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1115421c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 18c1411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 131841e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00080000, Class:  0, CF:0.955763, Len:  1, Fitness_tra: 64
Rule 15: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15544712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c117b412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 188cbbec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11d12212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 511c1411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00770000, Class:  1, CF:0.00231407, Len:  2, Fitness_tra: 0
Rule 24: 9882b21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 8c8d141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11112be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 36
Rule 28: d81122e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 111142e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 8d551412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: c11111e5, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 34: 515c77e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 52182738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5252b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 15524151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 888c71e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: d0000050, Class:  1, CF:0.430592, Len:  2, Fitness_tra: -3
Rule 42: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
