------Generation 0------
Rule  1: cc88473c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3112b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 56d114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11dc4b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 48514752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: e1827232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 12222be5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 582c1712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 20000000, Class:  1, CF:0.0502417, Len:  1, Fitness_tra: 0
Rule 14: 8811143c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8251b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 5922726c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 31281111, Class:  0, CF:0.963146, Len:  8, Fitness_tra: 2
Rule 18: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 93512751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 5c21219c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: 82d5bb3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 18112238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 15d4471c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00040000, Class:  0, CF:0.100424, Len:  1, Fitness_tra: 224
Rule 26: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 112232e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 51827451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
