------Generation 0------
Rule  1: 86132535f5313512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 53131d15a1313214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 02eb0b09800f00c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 16491d57414313f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111fe1581412d4a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1e11131311619414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: c311112544211464, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 131152824421161f, Class:  1, CF:  1, Len: 16, Fitness_tra: 2
Rule 10: 7a13333d34122811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3163313915e18411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 332145145b311812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 006030530d084707, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 66168342121b1118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2331121b11111a13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 13ef1395f817db47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1315811233168175, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 215116f1e1581484, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 516aa61115375242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 13133695a16182b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1a53112214a11172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3313111663315117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 131ade11b41b32f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1ac62db4db329212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
