------Generation 0------
Rule  1: f3118e5515e117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7323e11114575211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 21113117281e51f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 5143711711115641, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1a91211151651254, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 837d213b61f3d61e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 631f131111115124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 158e136af9613132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0509000000000850, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4111336a193d1417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3e1146113361121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 331a211512445df3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 233f1f1e516d3412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00090f0603080000, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule 15: f090000000980700, Class:  5, CF:  1, Len:  5, Fitness_tra: 2
Rule 16: 3116431111442133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7113e131141121a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 33d32d2114ac1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1e1517e1a1112f79, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 16531366151112b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5a13154588181c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4f13311117221231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c349115bf1111371, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11192437a1ae1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 5349b21c61659832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5000000a00000000, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2115c29411a11111, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule 28: 0000e0300000d000, Class:  9, CF:0.374422, Len:  3, Fitness_tra: -12
Rule 29: b32a11f139152117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 212f191211221ca8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 13e139184411523b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 9f86254254f23113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 6f56114112a1d142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1913131517121161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11211b34311f2f45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1321117417671111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
