------Generation 0------
Rule  1: 7113118d12a11171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: a1131113f1151147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: f613112111121472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 050e000008072000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d6131311183781b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 211a311812422161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 61d1211114146111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 118a3199d15234f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a1d1111135311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3611491841146c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1623111131a21177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000000005d73, Class:  8, CF:  1, Len:  4, Fitness_tra: 1
Rule 14: 134118121c492663, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 26251511111d113f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0500060050000000, Class:  0, CF:0.958826, Len:  3, Fitness_tra: 66
Rule 17: 61d12328125b3c4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 212ae115242252f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4111116af1111832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 43161f3663e2541b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3613313135115417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0005000008000300, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 665313251d1282b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b18133ff93d32814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1619312323151242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 111f1931144251a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1315142118111f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3116297252341127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31965311311112bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 31232d4211113825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000f0000000c9740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 215a119511123128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 161e7c5431613316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 11165211121d1326, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1315215412395623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1175c73715338121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 41239191581b22a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 119a5e1313321442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 231a13151121d43b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: af5a8111e1111221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000000c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1a25d127b21e5133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 6a932572183d1154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1a16411147121c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21115b31f9161141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 562141c4311d315a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3313131a1138d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 412551316e15d214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
