------Generation 0------
Rule  1: 0d0ee00004000000, Class:  3, CF:0.237725, Len:  4, Fitness_tra: -7
Rule  2: 239af91152111811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2511111115381134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1a11751112311217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000c0b00f000030c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1356331152611211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a11a1115a312d411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 411a363151411714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 112311811114521b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11b287e161131113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 711f6e11942112f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: c12d22d16c631321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 86112212151edf13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 418a161d11149b67, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f313197842119c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 211aa63331128bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 41531191371451a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 115f331931115271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3193111111241169, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1393a6333511127b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1123193117121313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 711ad62d41111431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0a00002f003e00b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c17d145ba2aed123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5371182b14a5362a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2121823211115371, Class:  9, CF:  1, Len: 16, Fitness_tra: 0
Rule 28: 11c69651112131a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 15121ba1a153c611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 132e181141391111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 21161f2519a114b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4113131365f11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1323521742556611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 16c11118f5633131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1636131113115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 113f1111511b4211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1a43213511515114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 31134399a1111b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000000030500, Class:  8, CF:0.126812, Len:  2, Fitness_tra: 3
Rule 40: 132175121515386b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b116935854141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1f11112251341521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: fa13214541171414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3f53111181311811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 111114a1699116b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11111271c51e1f51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 060f0000500c0740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 13111e1cbb44d262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1171211b18a11123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000050d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 76161a3351841111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 9621152412186331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 51163e1511325421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000e00000e000000, Class:  9, CF:0.541432, Len:  2, Fitness_tra: -2
Rule 55: 133a631111b21431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0009f08a00003020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1a23b17114321824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 050e000000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 600000000d204000, Class:  1, CF:0.164625, Len:  4, Fitness_tra: -22
Rule 60: 000e900009080000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2e1f535325415ba7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 6191531113951227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1366111355121724, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 64: 0000000305000707, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 65: 2d29116661193c57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 00000000008000d8, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 111d121412115a13, Class:  9, CF:  1, Len: 16, Fitness_tra: 2
Rule 68: 81411214b115111f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0509000a0e050c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: ba1136e112571115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 6f912e111114812b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 21d1331315f15217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 139663e591125b42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 00000f40d0000000, Class:  0, CF:0.909543, Len:  3, Fitness_tra: 8
Rule 75: 0000000000000c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 61561d2211645822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: ba50000000000008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 113f131533189142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a3d3211224113c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 265fee1132625172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1181111428116111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000006e0d0000, Class:  9, CF:  1, Len:  3, Fitness_tra: 3
