------Generation 0------
Rule  1: b600090000000208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 1113311962315244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 21263135125b1162, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 71513112511411f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 212113116a191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 291a311111e121b3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1113115861351117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 167155541141811f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 21151224b513566f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 13561331311152b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1121b51111381117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13461511241d3311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1329b28b31f53626, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 4a1f61e81b1155f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2391335935321241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 212f111531815561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1313311331a8171b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 191a732133151112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3613252211613111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 16131a231e151422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2161164e13f59171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 23da555114181838, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f35645b124616112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000000000009, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b11316a1e9521124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e11121b28136311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 43481232a5131a1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11221164359323b5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1126153221516113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11161a15241425b6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0d90000000d40000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1141411b1111c121, Class:  8, CF:0.967284, Len: 16, Fitness_tra: 2
Rule 33: 1111112118319552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 2113335121411217, Class:  0, CF:  1, Len: 16, Fitness_tra: 8
Rule 35: 2a51331a1e113711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 26533e21156192b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1311a3111221211b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 13157254f16e5121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3321251c5b125214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2613633931121427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
