------Generation 0------
Rule  1: bb745a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22b11344b1, Class:  4, CF:0.957171, Len: 10, Fitness_tra: -1
Rule  3: 14b211b74b, Class:  4, CF:0.400708, Len: 10, Fitness_tra: 0
Rule  4: 24bb814744, Class:  2, CF:0.981571, Len: 10, Fitness_tra: 0
Rule  5: 71b4412212, Class:  2, CF:0.710769, Len: 10, Fitness_tra: 0
Rule  6: 252bc5442b, Class:  0, CF:0.12188, Len: 10, Fitness_tra: 0
Rule  7: 14222f4111, Class:  4, CF:0.611793, Len: 10, Fitness_tra: -2
Rule  8: 42b7262b12, Class:  4, CF:0.99723, Len: 10, Fitness_tra: 0
Rule  9: 44721a27b7, Class:  4, CF:0.998429, Len: 10, Fitness_tra: 0
Rule 10: 14b1111774, Class:  4, CF:0.259421, Len: 10, Fitness_tra: -2095
Rule 11: 227416b222, Class:  4, CF:0.999206, Len: 10, Fitness_tra: 0
Rule 12: 17b74fbbb2, Class:  4, CF:0.999006, Len: 10, Fitness_tra: 0
Rule 13: b141132241, Class:  4, CF:0.64889, Len: 10, Fitness_tra: -2
Rule 14: 4b7481b2b4, Class:  2, CF:0.998714, Len: 10, Fitness_tra: 0
Rule 15: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 7622537112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7442d31b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 71b1817bb1, Class:  2, CF:0.968531, Len: 10, Fitness_tra: -25
Rule 21: 7141c3b1b2, Class:  2, CF:0.959661, Len: 10, Fitness_tra: 0
Rule 22: 1b11d97744, Class:  2, CF:0.99761, Len: 10, Fitness_tra: -78
Rule 23: 72228e2477, Class:  2, CF:0.750408, Len: 10, Fitness_tra: 0
Rule 24: b241291721, Class:  2, CF:0.958163, Len: 10, Fitness_tra: -513
Rule 25: 421116b414, Class:  4, CF:0.990117, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 4227892774, Class:  2, CF:0.465061, Len: 10, Fitness_tra: 0
Rule 28: 417b814142, Class:  2, CF:0.990022, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b12216427b, Class:  4, CF:0.999406, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2171514227, Class:  2, CF:0.999816, Len: 10, Fitness_tra: 0
Rule 33: 17171ab474, Class:  4, CF:0.973765, Len: 10, Fitness_tra: 0
Rule 34: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1b7b5a1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 414b16217b, Class:  4, CF:0.994441, Len: 10, Fitness_tra: 0
Rule 37: 747111421b, Class:  2, CF:0.171162, Len: 10, Fitness_tra: 0
Rule 38: 48447e24bb, Class:  0, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 39: b1b21324b7, Class:  4, CF:0.933062, Len: 10, Fitness_tra: 0
Rule 40: 7175f671b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: bb14252241, Class:  2, CF:0.997007, Len: 10, Fitness_tra: -2
Rule 42: 214b59111b, Class:  2, CF:0.847667, Len: 10, Fitness_tra: -43
Rule 43: b4145a1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b417214bb1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 117255bb22, Class:  1, CF:0.0592611, Len: 10, Fitness_tra: 0
Rule 46: bb71c9241b, Class:  0, CF:0.943155, Len: 10, Fitness_tra: 0
Rule 47: b47bc6bbb7, Class:  2, CF:0.762693, Len: 10, Fitness_tra: 0
Rule 48: 17725a7b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 411b26211b, Class:  4, CF:0.680422, Len: 10, Fitness_tra: -3
