------Generation 0------
Rule  1: b5bb81b444, Class:  2, CF:0.913558, Len: 10, Fitness_tra: 0
Rule  2: 1c74597474, Class:  1, CF:0.182512, Len: 10, Fitness_tra: 0
Rule  3: 72472f7421, Class:  4, CF:0.999885, Len: 10, Fitness_tra: 0
Rule  4: 44771a1b4b, Class:  4, CF:0.999433, Len: 10, Fitness_tra: 0
Rule  5: bb2bc54411, Class:  2, CF:0.991909, Len: 10, Fitness_tra: 0
Rule  6: b3b24141bc, Class:  2, CF:0.997113, Len: 10, Fitness_tra: 0
Rule  7: 4277861741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b472261772, Class:  4, CF:0.999252, Len: 10, Fitness_tra: 0
Rule 10: 412123b417, Class:  4, CF:0.934262, Len: 10, Fitness_tra: 0
Rule 11: b241da712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2244197b17, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4141514b17, Class:  2, CF:0.992491, Len: 10, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 7177214772, Class:  2, CF:0.661982, Len: 10, Fitness_tra: 0
Rule 16: 777481477b, Class:  2, CF:0.995407, Len: 10, Fitness_tra: 0
Rule 17: 71418144b1, Class:  2, CF:0.995868, Len: 10, Fitness_tra: 0
Rule 18: 4542117b4b, Class:  4, CF:0.984155, Len: 10, Fitness_tra: 0
Rule 19: 0000200000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 151b297447, Class:  1, CF:0.894439, Len: 10, Fitness_tra: 1
Rule 21: 257413b144, Class:  4, CF:0.377903, Len: 10, Fitness_tra: 0
Rule 22: 171b111114, Class:  0, CF:0.545496, Len: 10, Fitness_tra: 3275
Rule 23: 11bb43224b, Class:  4, CF:0.9693, Len: 10, Fitness_tra: 0
Rule 24: 114bc3b117, Class:  2, CF:0.344476, Len: 10, Fitness_tra: 0
Rule 25: b477111211, Class:  4, CF:0.237618, Len: 10, Fitness_tra: -118
Rule 26: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2517894244, Class:  1, CF:0.898635, Len: 10, Fitness_tra: 0
Rule 28: 4b27891417, Class:  2, CF:0.997453, Len: 10, Fitness_tra: -2
Rule 29: 12111f1272, Class:  4, CF:0.999416, Len: 10, Fitness_tra: -1
Rule 30: 72118141b4, Class:  2, CF:0.969041, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 42b24322b1, Class:  4, CF:0.982984, Len: 10, Fitness_tra: 0
Rule 33: 24b12a1744, Class:  4, CF:0.99738, Len: 10, Fitness_tra: 0
Rule 34: 78172642b7, Class:  4, CF:0.999919, Len: 10, Fitness_tra: 0
Rule 35: 121b132771, Class:  4, CF:0.678177, Len: 10, Fitness_tra: 0
Rule 36: 222b137722, Class:  4, CF:0.999925, Len: 10, Fitness_tra: 0
Rule 37: 24448f4124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 127b56b127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: bd2211b127, Class:  4, CF:0.242058, Len: 10, Fitness_tra: 0
Rule 40: b77283b744, Class:  0, CF:0.504578, Len: 10, Fitness_tra: 0
Rule 41: 7441162171, Class:  4, CF:0.990851, Len: 10, Fitness_tra: 1
Rule 42: 0000080000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1cb1ce2412, Class:  2, CF:0.976243, Len: 10, Fitness_tra: 0
Rule 44: 7127857224, Class:  2, CF:0.997092, Len: 10, Fitness_tra: 0
Rule 45: 1122817414, Class:  2, CF:0.942497, Len: 10, Fitness_tra: 0
Rule 46: 2c472112b4, Class:  4, CF:0.787117, Len: 10, Fitness_tra: 0
Rule 47: 712116b411, Class:  4, CF:0.946846, Len: 10, Fitness_tra: -6
Rule 48: 41b48324b7, Class:  0, CF:0.0983589, Len: 10, Fitness_tra: 0
Rule 49: bb2b1f2117, Class:  4, CF:0.953072, Len: 10, Fitness_tra: 0
Rule 50: 1774c121b1, Class:  2, CF:0.746553, Len: 10, Fitness_tra: -3
Rule 51: b211261714, Class:  4, CF:0.997083, Len: 10, Fitness_tra: -3
Rule 52: 1217157124, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 12115a1bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1244881722, Class:  2, CF:0.777517, Len: 10, Fitness_tra: -2
Rule 55: 744b11b24b, Class:  2, CF:0.194725, Len: 10, Fitness_tra: 0
Rule 56: 21241f1412, Class:  4, CF:0.999755, Len: 10, Fitness_tra: 1
Rule 57: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b2b44d2242, Class:  2, CF:0.786402, Len: 10, Fitness_tra: 0
Rule 59: 4544137717, Class:  4, CF:0.999222, Len: 10, Fitness_tra: 0
Rule 60: b877127241, Class:  2, CF:0.506136, Len: 10, Fitness_tra: 0
Rule 61: b1711c7711, Class:  2, CF:0.889225, Len: 10, Fitness_tra: -61
Rule 62: 12118e44b1, Class:  1, CF:0.0172715, Len: 10, Fitness_tra: 6
Rule 63: 1121a37b4b, Class:  4, CF:0.999691, Len: 10, Fitness_tra: 0
Rule 64: 18222e114b, Class:  1, CF:0.201206, Len: 10, Fitness_tra: -9
Rule 65: 147b8fb217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 17b1c14b14, Class:  2, CF:0.958301, Len: 10, Fitness_tra: 0
Rule 67: 12b42171b1, Class:  1, CF:0.596761, Len: 10, Fitness_tra: 33
Rule 68: 4bb7c54227, Class:  2, CF:0.999448, Len: 10, Fitness_tra: 0
Rule 69: 41b786b121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 2c47c14121, Class:  2, CF:0.909284, Len: 10, Fitness_tra: 0
Rule 71: 41281cb77b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 22274db274, Class:  2, CF:0.669451, Len: 10, Fitness_tra: 0
Rule 74: 477251b214, Class:  2, CF:0.996894, Len: 10, Fitness_tra: 0
Rule 75: 7244734b7b, Class:  4, CF:0.995816, Len: 10, Fitness_tra: 0
Rule 76: b121131144, Class:  4, CF:0.984498, Len: 10, Fitness_tra: -3
Rule 77: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c2b7e1711, Class:  0, CF:0.562948, Len: 10, Fitness_tra: 8
Rule 79: 2771131217, Class:  4, CF:0.966954, Len: 10, Fitness_tra: -1
Rule 80: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7114c3214b, Class:  2, CF:0.858334, Len: 10, Fitness_tra: 0
Rule 82: 76b2251721, Class:  2, CF:0.998241, Len: 10, Fitness_tra: -134
Rule 83: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b11b912442, Class:  2, CF:0.981001, Len: 10, Fitness_tra: 0
Rule 85: 2b27c121b4, Class:  2, CF:0.993446, Len: 10, Fitness_tra: 0
Rule 86: b14b16122b, Class:  4, CF:0.99916, Len: 10, Fitness_tra: 0
Rule 87: 214b557bb1, Class:  1, CF:0.271706, Len: 10, Fitness_tra: 0
Rule 88: 111b86b777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b227c11421, Class:  2, CF:0.985631, Len: 10, Fitness_tra: 2
Rule 90: 12728612b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 7442c32274, Class:  0, CF:0.476354, Len: 10, Fitness_tra: 0
Rule 92: 4512412b72, Class:  4, CF:0.699358, Len: 10, Fitness_tra: 0
Rule 93: b24421174b, Class:  4, CF:0.0568611, Len: 10, Fitness_tra: 0
Rule 94: b471594117, Class:  2, CF:0.969513, Len: 10, Fitness_tra: -14
Rule 95: 2271537224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1227c14b12, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 4b2b114bb4, Class:  2, CF:0.592239, Len: 10, Fitness_tra: 0
Rule 98: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 77b41f4b44, Class:  4, CF:0.999782, Len: 10, Fitness_tra: 0
Rule100: 7127c14747, Class:  2, CF:0.974862, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:17.889
------Result------
Miss_rate(tra)	:17.889
Miss_rate(tst)	:17.3516
ARL				:10

------Generation 0------
Rule  1: 171b111114, Class:  0, CF:0.545496, Len: 10, Fitness_tra: 3260
Rule  2: 12b42171b1, Class:  1, CF:0.596761, Len: 10, Fitness_tra: 33
Rule  3: 1c2b7e1711, Class:  0, CF:0.562948, Len: 10, Fitness_tra: 8
Rule  4: 12118e44b1, Class:  1, CF:0.0172715, Len: 10, Fitness_tra: -62
Rule  5: b227c11421, Class:  2, CF:0.985631, Len: 10, Fitness_tra: 1
Rule  6: 151b297447, Class:  1, CF:0.894439, Len: 10, Fitness_tra: 1
Rule  7: 7441162171, Class:  4, CF:0.990851, Len: 10, Fitness_tra: -3
Rule  8: 21241f1412, Class:  4, CF:0.999755, Len: 10, Fitness_tra: 2
Rule  9: b5bb81b444, Class:  2, CF:0.913558, Len: 10, Fitness_tra: 0
Rule 10: 412123b417, Class:  4, CF:0.934262, Len: 10, Fitness_tra: 0
Rule 11: b241da712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2244197b17, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4141514b17, Class:  2, CF:0.992491, Len: 10, Fitness_tra: 0
Rule 14: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 7177214772, Class:  2, CF:0.661982, Len: 10, Fitness_tra: 0
Rule 16: 777481477b, Class:  2, CF:0.995407, Len: 10, Fitness_tra: 0
Rule 17: 71418144b1, Class:  2, CF:0.995868, Len: 10, Fitness_tra: -6
Rule 18: 4542117b4b, Class:  4, CF:0.984155, Len: 10, Fitness_tra: 0
Rule 19: 0000200000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1c74597474, Class:  1, CF:0.182512, Len: 10, Fitness_tra: 0
Rule 21: 257413b144, Class:  4, CF:0.377903, Len: 10, Fitness_tra: 0
Rule 22: 72472f7421, Class:  4, CF:0.999885, Len: 10, Fitness_tra: 0
Rule 23: 11bb43224b, Class:  4, CF:0.9693, Len: 10, Fitness_tra: 0
Rule 24: 114bc3b117, Class:  2, CF:0.344476, Len: 10, Fitness_tra: 0
Rule 25: 7127c14747, Class:  2, CF:0.974862, Len: 10, Fitness_tra: 0
Rule 26: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2517894244, Class:  1, CF:0.898635, Len: 10, Fitness_tra: 0
Rule 28: 77b41f4b44, Class:  4, CF:0.999782, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 72118141b4, Class:  2, CF:0.969041, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 42b24322b1, Class:  4, CF:0.982984, Len: 10, Fitness_tra: 0
Rule 33: 24b12a1744, Class:  4, CF:0.99738, Len: 10, Fitness_tra: -1
Rule 34: 78172642b7, Class:  4, CF:0.999919, Len: 10, Fitness_tra: 0
Rule 35: 121b132771, Class:  4, CF:0.678177, Len: 10, Fitness_tra: -1
Rule 36: 222b137722, Class:  4, CF:0.999925, Len: 10, Fitness_tra: 0
Rule 37: 24448f4124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 127b56b127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: bd2211b127, Class:  4, CF:0.242058, Len: 10, Fitness_tra: 0
Rule 40: b77283b744, Class:  0, CF:0.504578, Len: 10, Fitness_tra: 0
Rule 41: 44771a1b4b, Class:  4, CF:0.999433, Len: 10, Fitness_tra: 2
Rule 42: 0000080000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1cb1ce2412, Class:  2, CF:0.976243, Len: 10, Fitness_tra: 0
Rule 44: 7127857224, Class:  2, CF:0.997092, Len: 10, Fitness_tra: 0
Rule 45: 1122817414, Class:  2, CF:0.942497, Len: 10, Fitness_tra: 0
Rule 46: 2c472112b4, Class:  4, CF:0.787117, Len: 10, Fitness_tra: 0
Rule 47: 41b48324b7, Class:  0, CF:0.0983589, Len: 10, Fitness_tra: 0
Rule 48: bb2b1f2117, Class:  4, CF:0.953072, Len: 10, Fitness_tra: 0
Rule 49: 1217157124, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 12115a1bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 744b11b24b, Class:  2, CF:0.194725, Len: 10, Fitness_tra: 0
Rule 52: bb2bc54411, Class:  2, CF:0.991909, Len: 10, Fitness_tra: -14
Rule 53: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
