------Generation 0------
Rule  1: 7471c91472, Class:  2, CF:0.998633, Len: 10, Fitness_tra: -36
Rule  2: 27218a4414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 277b864142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c22267117, Class:  4, CF:0.967872, Len: 10, Fitness_tra: 0
Rule  5: 4b428311b2, Class:  2, CF:0.971388, Len: 10, Fitness_tra: 0
Rule  6: b571131b12, Class:  4, CF:0.999439, Len: 10, Fitness_tra: -30
Rule  7: 77bb1d1717, Class:  2, CF:0.342688, Len: 10, Fitness_tra: -1875
Rule  8: 122bc311b1, Class:  1, CF:0.452106, Len: 10, Fitness_tra: 20
Rule  9: 4d72784141, Class:  2, CF:0.4269, Len: 10, Fitness_tra: 0
Rule 10: 71b113b7b7, Class:  4, CF:0.973165, Len: 10, Fitness_tra: 1
Rule 11: b1bb1142b7, Class:  4, CF:0.0613781, Len: 10, Fitness_tra: 0
Rule 12: b271492b2b, Class:  1, CF:0.226279, Len: 10, Fitness_tra: 0
Rule 13: b241217211, Class:  2, CF:0.677372, Len: 10, Fitness_tra: -58
Rule 14: bbb4861724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 7b71d61427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b2b721b714, Class:  2, CF:0.322899, Len: 10, Fitness_tra: 0
Rule 18: b4b129bbb2, Class:  1, CF:0.244078, Len: 10, Fitness_tra: 0
Rule 19: 44bbc97bb7, Class:  0, CF:0.996228, Len: 10, Fitness_tra: 0
Rule 20: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4542114172, Class:  4, CF:0.687194, Len: 10, Fitness_tra: 0
Rule 23: b447212211, Class:  2, CF:0.366861, Len: 10, Fitness_tra: 0
