------Generation 0------
Rule  1: b5bbc14221, Class:  2, CF:0.979394, Len: 10, Fitness_tra: 0
Rule  2: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7441112417, Class:  2, CF:0.0665873, Len: 10, Fitness_tra: 0
Rule  4: 1b148e242b, Class:  2, CF:0.989545, Len: 10, Fitness_tra: 0
Rule  5: 28b18a7bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b111ce2b24, Class:  2, CF:0.99835, Len: 10, Fitness_tra: 0
Rule  7: 22125f21b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 22278e7742, Class:  2, CF:0.779452, Len: 10, Fitness_tra: 0
Rule  9: 42bb49bb7b, Class:  1, CF:0.453985, Len: 10, Fitness_tra: 0
Rule 10: 1242114144, Class:  2, CF:0.565809, Len: 10, Fitness_tra: 0
Rule 11: 77bb811171, Class:  2, CF:0.982405, Len: 10, Fitness_tra: -1
Rule 12: b21126bb21, Class:  4, CF:0.961283, Len: 10, Fitness_tra: 0
Rule 13: 221b2e2144, Class:  2, CF:0.541515, Len: 10, Fitness_tra: 0
Rule 14: 751285b421, Class:  1, CF:0.933061, Len: 10, Fitness_tra: 0
Rule 15: 4227111214, Class:  2, CF:0.488008, Len: 10, Fitness_tra: -42
Rule 16: b24223747b, Class:  4, CF:0.993162, Len: 10, Fitness_tra: 0
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1212251b77, Class:  1, CF:0.0992305, Len: 10, Fitness_tra: -273
Rule 19: b1741927bb, Class:  2, CF:0.516297, Len: 10, Fitness_tra: 0
Rule 20: 1174217414, Class:  2, CF:0.686775, Len: 10, Fitness_tra: 0
Rule 21: 412721b1b4, Class:  2, CF:0.21059, Len: 10, Fitness_tra: 0
Rule 22: 4c2b4141b2, Class:  4, CF:0.788758, Len: 10, Fitness_tra: 0
Rule 23: 221429bb2b, Class:  1, CF:0.737794, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7e7213b7b1, Class:  1, CF:0.659424, Len: 10, Fitness_tra: 0
Rule 27: 717451b2bb, Class:  2, CF:0.983748, Len: 10, Fitness_tra: 0
Rule 28: 772b214141, Class:  2, CF:0.351838, Len: 10, Fitness_tra: 0
Rule 29: 417b561717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b22181b141, Class:  2, CF:0.987379, Len: 10, Fitness_tra: 0
Rule 31: 44775621b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b171d1117b, Class:  2, CF:0.999266, Len: 10, Fitness_tra: -40
Rule 33: 1bb28a1b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 45b7c1b442, Class:  2, CF:0.986495, Len: 10, Fitness_tra: 0
Rule 35: 217751747b, Class:  2, CF:0.993242, Len: 10, Fitness_tra: 0
Rule 36: 2b111f424b, Class:  3, CF:0.186479, Len: 10, Fitness_tra: 0
Rule 37: 1b71211741, Class:  2, CF:0.834888, Len: 10, Fitness_tra: -3281
Rule 38: b2748fb77b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 774436747b, Class:  4, CF:0.999831, Len: 10, Fitness_tra: 0
Rule 40: b1b11d2444, Class:  2, CF:0.958953, Len: 10, Fitness_tra: 0
Rule 41: 2b12164427, Class:  4, CF:0.993402, Len: 10, Fitness_tra: 0
Rule 42: 15b115b444, Class:  2, CF:0.353953, Len: 10, Fitness_tra: 0
Rule 43: b174114771, Class:  4, CF:0.494796, Len: 10, Fitness_tra: 0
Rule 44: 712b13bb41, Class:  4, CF:0.979674, Len: 10, Fitness_tra: 0
Rule 45: 2114c9b44b, Class:  0, CF:0.993709, Len: 10, Fitness_tra: 0
Rule 46: 487811bbb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 217b1a11b2, Class:  4, CF:0.969172, Len: 10, Fitness_tra: 0
Rule 48: 717251211c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 7142834177, Class:  0, CF:0.204129, Len: 10, Fitness_tra: 0
Rule 50: 127bc61b71, Class:  1, CF:0.100155, Len: 10, Fitness_tra: 1
Rule 51: 2b41137b7b, Class:  4, CF:0.99417, Len: 10, Fitness_tra: -1
Rule 52: 772416b7b2, Class:  4, CF:0.999769, Len: 10, Fitness_tra: 0
Rule 53: 4417811127, Class:  2, CF:0.946261, Len: 10, Fitness_tra: 0
Rule 54: 244111b477, Class:  2, CF:0.124846, Len: 10, Fitness_tra: 0
Rule 55: b41b814b22, Class:  2, CF:0.918528, Len: 10, Fitness_tra: 0
Rule 56: 1417c31474, Class:  0, CF:0.314062, Len: 10, Fitness_tra: -4
Rule 57: b2141ab714, Class:  4, CF:0.986375, Len: 10, Fitness_tra: 0
Rule 58: 2712c52174, Class:  2, CF:0.95343, Len: 10, Fitness_tra: 0
Rule 59: 4271264472, Class:  4, CF:0.999874, Len: 10, Fitness_tra: 0
Rule 60: 4c27812147, Class:  2, CF:0.959967, Len: 10, Fitness_tra: 0
Rule 61: 272b81b212, Class:  2, CF:0.994934, Len: 10, Fitness_tra: 0
Rule 62: 4174dab144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2214834447, Class:  2, CF:0.873587, Len: 10, Fitness_tra: 0
Rule 64: 4b44534171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
