------Generation 0------
Rule  1: 14418e7bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2441214b11, Class:  4, CF:0.446933, Len: 10, Fitness_tra: 0
Rule  3: 74411e4412, Class:  2, CF:0.998412, Len: 10, Fitness_tra: 0
Rule  4: 44b7417b74, Class:  4, CF:0.334598, Len: 10, Fitness_tra: 0
Rule  5: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 154b554b17, Class:  1, CF:0.923115, Len: 10, Fitness_tra: 1
Rule  7: 7774d1141b, Class:  2, CF:0.996911, Len: 10, Fitness_tra: 0
Rule  8: 214bc121b7, Class:  2, CF:0.916325, Len: 10, Fitness_tra: 0
Rule  9: 7c74212711, Class:  4, CF:0.681337, Len: 10, Fitness_tra: 0
Rule 10: 24b211b124, Class:  2, CF:0.212651, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1cb4137142, Class:  4, CF:0.974431, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b721897b74, Class:  2, CF:0.996271, Len: 10, Fitness_tra: 0
Rule 15: 17bbc944bb, Class:  0, CF:0.999688, Len: 10, Fitness_tra: -7
Rule 16: 422b192777, Class:  2, CF:0.301344, Len: 10, Fitness_tra: 0
Rule 17: 74b7512742, Class:  2, CF:0.973157, Len: 10, Fitness_tra: 0
Rule 18: 71171371bb, Class:  4, CF:0.956532, Len: 10, Fitness_tra: 0
Rule 19: bb7bc91422, Class:  2, CF:0.999887, Len: 10, Fitness_tra: 2
Rule 20: 174753444b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21bb152112, Class:  2, CF:0.760989, Len: 10, Fitness_tra: 0
Rule 22: 147b212bb4, Class:  4, CF:0.510283, Len: 10, Fitness_tra: 0
Rule 23: 111413171b, Class:  4, CF:0.823661, Len: 10, Fitness_tra: -82
Rule 24: 2841861744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 7827b874b7, Class:  4, CF:0.974772, Len: 10, Fitness_tra: 0
Rule 26: 24215eb712, Class:  2, CF:0.976725, Len: 10, Fitness_tra: 0
Rule 27: 114156b7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 27bb937b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2b445114b2, Class:  2, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 31: 71111147b4, Class:  2, CF:0.0422615, Len: 10, Fitness_tra: 0
Rule 32: b474817111, Class:  2, CF:0.464156, Len: 10, Fitness_tra: -4
Rule 33: 144b13b2b4, Class:  4, CF:0.99552, Len: 10, Fitness_tra: 0
Rule 34: bc71d62b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7c4416bbb1, Class:  4, CF:0.999046, Len: 10, Fitness_tra: 0
