------Generation 0------
Rule  1: 12b13e7141, Class:  2, CF:0.72487, Len: 10, Fitness_tra: -1515
Rule  2: 777253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2221c9bbb7, Class:  2, CF:0.303096, Len: 10, Fitness_tra: 0
Rule  5: 42271e421b, Class:  2, CF:0.725537, Len: 10, Fitness_tra: 0
Rule  6: 1772212b24, Class:  2, CF:0.0570215, Len: 10, Fitness_tra: 0
Rule  7: 1741c12174, Class:  2, CF:0.985882, Len: 10, Fitness_tra: -1
Rule  8: 44721f127b, Class:  4, CF:0.999858, Len: 10, Fitness_tra: 0
Rule  9: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4121c9bbbb, Class:  0, CF:0.994026, Len: 10, Fitness_tra: 0
Rule 11: b117132124, Class:  4, CF:0.586241, Len: 10, Fitness_tra: 0
Rule 12: 12b1411247, Class:  2, CF:0.634953, Len: 10, Fitness_tra: -1693
Rule 13: 7c4b21b7b7, Class:  4, CF:0.730323, Len: 10, Fitness_tra: 0
Rule 14: b141812222, Class:  2, CF:0.999587, Len: 10, Fitness_tra: 1
Rule 15: b71bda1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b7111141b7, Class:  2, CF:0.0488419, Len: 10, Fitness_tra: -127
Rule 17: bb741622b1, Class:  4, CF:0.97335, Len: 10, Fitness_tra: 0
Rule 18: 1211da714b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 77b4491b27, Class:  2, CF:0.980863, Len: 10, Fitness_tra: -1
Rule 20: 444253b722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2242514477, Class:  2, CF:0.852114, Len: 10, Fitness_tra: 0
Rule 22: bb71d17774, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2142517277, Class:  2, CF:0.995475, Len: 10, Fitness_tra: 0
Rule 25: 41148e21bb, Class:  2, CF:0.297729, Len: 10, Fitness_tra: 0
Rule 26: 41727174b7, Class:  4, CF:0.241247, Len: 10, Fitness_tra: 0
Rule 27: 2c42117777, Class:  4, CF:0.699415, Len: 10, Fitness_tra: 0
Rule 28: bbb7514412, Class:  2, CF:0.999746, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 4b71512147, Class:  2, CF:0.999959, Len: 10, Fitness_tra: 0
Rule 31: 2341c97b22, Class:  2, CF:0.999922, Len: 10, Fitness_tra: 1
Rule 32: 2477c5b71b, Class:  2, CF:0.885736, Len: 10, Fitness_tra: 0
Rule 33: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1f441e4114, Class:  2, CF:0.437799, Len: 10, Fitness_tra: -180
