------Generation 0------
Rule  1: 227711147b, Class:  4, CF:0.418455, Len: 10, Fitness_tra: -81
Rule  2: 41b48e7772, Class:  2, CF:0.974196, Len: 10, Fitness_tra: 0
Rule  3: 7547414221, Class:  2, CF:0.994622, Len: 10, Fitness_tra: 2
Rule  4: b7b1111241, Class:  2, CF:0.362818, Len: 10, Fitness_tra: -1240
Rule  5: 2477212272, Class:  2, CF:0.679516, Len: 10, Fitness_tra: 0
Rule  6: b2bb8a4b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 4112114114, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bb471e7441, Class:  2, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 11: 282b25b114, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 221b267241, Class:  4, CF:0.979191, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2527264471, Class:  4, CF:0.999395, Len: 10, Fitness_tra: 0
Rule 15: 2b17d5b7b7, Class:  2, CF:0.979452, Len: 10, Fitness_tra: 0
Rule 16: 21221312bb, Class:  4, CF:0.977089, Len: 10, Fitness_tra: 0
Rule 17: 4b422141b7, Class:  2, CF:0.762859, Len: 10, Fitness_tra: 0
Rule 18: 2411162714, Class:  4, CF:0.977537, Len: 10, Fitness_tra: -1
Rule 19: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2477491421, Class:  2, CF:0.973604, Len: 10, Fitness_tra: -1
Rule 21: 17173f7271, Class:  4, CF:0.91232, Len: 10, Fitness_tra: -2
Rule 22: 2211c11721, Class:  2, CF:0.956837, Len: 10, Fitness_tra: -2172
Rule 23: 1174167127, Class:  4, CF:0.986267, Len: 10, Fitness_tra: 0
Rule 24: 44144d7b24, Class:  2, CF:0.11805, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 12b25a7712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 722bf627b4, Class:  4, CF:0.999945, Len: 10, Fitness_tra: 0
Rule 29: bb1441bb44, Class:  2, CF:0.833911, Len: 10, Fitness_tra: 0
Rule 30: 0000e00000, Class:  3, CF:0.369712, Len:  1, Fitness_tra: -117
Rule 31: b121161b2b, Class:  4, CF:0.996949, Len: 10, Fitness_tra: 1
Rule 32: 2c17c11747, Class:  2, CF:0.714705, Len: 10, Fitness_tra: 0
Rule 33: 721b297217, Class:  2, CF:0.302595, Len: 10, Fitness_tra: 0
Rule 34: 4111234124, Class:  4, CF:0.318926, Len: 10, Fitness_tra: 1
Rule 35: 1111934111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7171da7144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 144b8e21b7, Class:  1, CF:0.0394052, Len: 10, Fitness_tra: 0
Rule 38: 29711521b4, Class:  1, CF:0.263078, Len: 10, Fitness_tra: 0
Rule 39: 21771317b4, Class:  4, CF:0.978445, Len: 10, Fitness_tra: 0
Rule 40: b4b4832244, Class:  2, CF:0.228793, Len: 10, Fitness_tra: 0
Rule 41: 4bb4ce4147, Class:  2, CF:0.996643, Len: 10, Fitness_tra: 0
Rule 42: 2c72164771, Class:  4, CF:0.999217, Len: 10, Fitness_tra: 0
Rule 43: 27bb267417, Class:  4, CF:0.996953, Len: 10, Fitness_tra: 0
Rule 44: 11bb2d71b4, Class:  2, CF:0.17371, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 21278f722b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 21b2c54414, Class:  2, CF:0.985421, Len: 10, Fitness_tra: 0
Rule 48: b8441d4b44, Class:  4, CF:0.967447, Len: 10, Fitness_tra: 0
Rule 49: b22b1e2b41, Class:  1, CF:0.820186, Len: 10, Fitness_tra: 0
Rule 50: 4b41817174, Class:  2, CF:0.999712, Len: 10, Fitness_tra: 0
Rule 51: b1174eb421, Class:  2, CF:0.968078, Len: 10, Fitness_tra: -6
Rule 52: 142b13441b, Class:  4, CF:0.95118, Len: 10, Fitness_tra: 0
Rule 53: 424741124b, Class:  2, CF:0.856633, Len: 10, Fitness_tra: 1
Rule 54: 2247212441, Class:  2, CF:0.360101, Len: 10, Fitness_tra: 0
Rule 55: 242245bbb2, Class:  4, CF:0.0300654, Len: 10, Fitness_tra: 0
Rule 56: 1414157217, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b2142fbb21, Class:  4, CF:0.997775, Len: 10, Fitness_tra: 0
Rule 59: 12221a4412, Class:  4, CF:0.997983, Len: 10, Fitness_tra: 1
Rule 60: 21b1192717, Class:  2, CF:0.994062, Len: 10, Fitness_tra: 0
Rule 61: 211115474c, Class:  2, CF:0.980661, Len: 10, Fitness_tra: 0
Rule 62: 7111237442, Class:  4, CF:0.519337, Len: 10, Fitness_tra: 0
Rule 63: 7c47867424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 412b817b1b, Class:  2, CF:0.94246, Len: 10, Fitness_tra: 0
Rule 65: 1b771f271b, Class:  4, CF:0.83044, Len: 10, Fitness_tra: 0
Rule 66: 78422341b2, Class:  4, CF:0.994122, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b42411b7b4, Class:  4, CF:0.776859, Len: 10, Fitness_tra: 0
Rule 69: 2444132bb2, Class:  4, CF:0.989383, Len: 10, Fitness_tra: 0
Rule 70: 17b781b744, Class:  2, CF:0.98647, Len: 10, Fitness_tra: 0
Rule 71: 1171224142, Class:  2, CF:0.946381, Len: 10, Fitness_tra: -528
Rule 72: 11b121b744, Class:  2, CF:0.78502, Len: 10, Fitness_tra: -1
Rule 73: 2c14c172b1, Class:  2, CF:0.661978, Len: 10, Fitness_tra: 0
Rule 74: 4242c17117, Class:  2, CF:0.860089, Len: 10, Fitness_tra: 0
Rule 75: 45b7194441, Class:  1, CF:0.843581, Len: 10, Fitness_tra: 0
Rule 76: 444453b724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 137115b722, Class:  2, CF:0.999783, Len: 10, Fitness_tra: 0
Rule 78: 417b214112, Class:  2, CF:0.507881, Len: 10, Fitness_tra: 0
Rule 79: 11728f2722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 211229b2bc, Class:  2, CF:0.997746, Len: 10, Fitness_tra: 0
Rule 81: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 727451712b, Class:  2, CF:0.760835, Len: 10, Fitness_tra: 0
Rule 83: 741726427b, Class:  4, CF:0.998728, Len: 10, Fitness_tra: 0
Rule 84: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: b2b12fb714, Class:  4, CF:0.99983, Len: 10, Fitness_tra: 0
Rule 86: b1b78e4144, Class:  2, CF:0.990818, Len: 10, Fitness_tra: 0
Rule 87: 2724234b1b, Class:  4, CF:0.843158, Len: 10, Fitness_tra: 0
Rule 88: 7727552142, Class:  2, CF:0.994788, Len: 10, Fitness_tra: 0
Rule 89: 2bb21f1274, Class:  4, CF:0.939973, Len: 10, Fitness_tra: 0
Rule 90: b222862b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 75121db474, Class:  4, CF:0.0216591, Len: 10, Fitness_tra: 0
Rule 92: 7277891122, Class:  2, CF:0.927583, Len: 10, Fitness_tra: -1
Rule 93: 7127c3bbb2, Class:  2, CF:0.836908, Len: 10, Fitness_tra: 0
Rule 94: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: b2218e4447, Class:  2, CF:0.99456, Len: 10, Fitness_tra: 0
Rule 96: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: b241812441, Class:  2, CF:0.970067, Len: 10, Fitness_tra: 0
Rule 98: 14b21e7474, Class:  2, CF:0.819859, Len: 10, Fitness_tra: 0
Rule 99: 411b5f2242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4211261712, Class:  4, CF:0.996387, Len: 10, Fitness_tra: -22
------Current------
Miss_rate(tra)	:97.9666
------Result------
Miss_rate(tra)	:97.9666
Miss_rate(tst)	:98.1735
ARL				:9.87838

------Generation 0------
Rule  1: 7547414221, Class:  2, CF:0.994622, Len: 10, Fitness_tra: 2
Rule  2: 12221a4412, Class:  4, CF:0.997983, Len: 10, Fitness_tra: 2
Rule  3: b121161b2b, Class:  4, CF:0.996949, Len: 10, Fitness_tra: 8
Rule  4: 4111234124, Class:  4, CF:0.318926, Len: 10, Fitness_tra: 0
Rule  5: 424741124b, Class:  2, CF:0.856633, Len: 10, Fitness_tra: -68
Rule  6: 411b5f2242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: bb471e7441, Class:  2, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 10: 282b25b114, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 221b267241, Class:  4, CF:0.979191, Len: 10, Fitness_tra: 0
Rule 12: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2527264471, Class:  4, CF:0.999395, Len: 10, Fitness_tra: 0
Rule 14: 2b17d5b7b7, Class:  2, CF:0.979452, Len: 10, Fitness_tra: 0
Rule 15: 21221312bb, Class:  4, CF:0.977089, Len: 10, Fitness_tra: 0
Rule 16: 4b422141b7, Class:  2, CF:0.762859, Len: 10, Fitness_tra: 0
Rule 17: 14b21e7474, Class:  2, CF:0.819859, Len: 10, Fitness_tra: -6
Rule 18: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1174167127, Class:  4, CF:0.986267, Len: 10, Fitness_tra: 0
Rule 20: 44144d7b24, Class:  2, CF:0.11805, Len: 10, Fitness_tra: 0
Rule 21: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 12b25a7712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 722bf627b4, Class:  4, CF:0.999945, Len: 10, Fitness_tra: 1
Rule 25: bb1441bb44, Class:  2, CF:0.833911, Len: 10, Fitness_tra: 0
Rule 26: 41b48e7772, Class:  2, CF:0.974196, Len: 10, Fitness_tra: 0
Rule 27: 2c17c11747, Class:  2, CF:0.714705, Len: 10, Fitness_tra: -19
Rule 28: 721b297217, Class:  2, CF:0.302595, Len: 10, Fitness_tra: -5
Rule 29: 2477212272, Class:  2, CF:0.679516, Len: 10, Fitness_tra: 0
Rule 30: 1111934111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 7171da7144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 144b8e21b7, Class:  1, CF:0.0394052, Len: 10, Fitness_tra: 38
Rule 33: 29711521b4, Class:  1, CF:0.263078, Len: 10, Fitness_tra: 0
Rule 34: 21771317b4, Class:  4, CF:0.978445, Len: 10, Fitness_tra: -1
Rule 35: b4b4832244, Class:  2, CF:0.228793, Len: 10, Fitness_tra: 0
Rule 36: 4bb4ce4147, Class:  2, CF:0.996643, Len: 10, Fitness_tra: 0
Rule 37: 2c72164771, Class:  4, CF:0.999217, Len: 10, Fitness_tra: 0
Rule 38: 27bb267417, Class:  4, CF:0.996953, Len: 10, Fitness_tra: 0
Rule 39: 11bb2d71b4, Class:  2, CF:0.17371, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 21278f722b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21b2c54414, Class:  2, CF:0.985421, Len: 10, Fitness_tra: 0
Rule 43: b8441d4b44, Class:  4, CF:0.967447, Len: 10, Fitness_tra: 0
Rule 44: b22b1e2b41, Class:  1, CF:0.820186, Len: 10, Fitness_tra: 0
Rule 45: 4b41817174, Class:  2, CF:0.999712, Len: 10, Fitness_tra: 0
Rule 46: 142b13441b, Class:  4, CF:0.95118, Len: 10, Fitness_tra: 0
Rule 47: b2bb8a4b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 2247212441, Class:  2, CF:0.360101, Len: 10, Fitness_tra: -1
Rule 49: 242245bbb2, Class:  4, CF:0.0300654, Len: 10, Fitness_tra: 0
Rule 50: 1414157217, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b2142fbb21, Class:  4, CF:0.997775, Len: 10, Fitness_tra: 0
Rule 53: 4112114114, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 21b1192717, Class:  2, CF:0.994062, Len: 10, Fitness_tra: -57
Rule 55: 211115474c, Class:  2, CF:0.980661, Len: 10, Fitness_tra: 0
Rule 56: 7111237442, Class:  4, CF:0.519337, Len: 10, Fitness_tra: 0
Rule 57: 7c47867424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 412b817b1b, Class:  2, CF:0.94246, Len: 10, Fitness_tra: 0
Rule 59: 1b771f271b, Class:  4, CF:0.83044, Len: 10, Fitness_tra: 0
Rule 60: 78422341b2, Class:  4, CF:0.994122, Len: 10, Fitness_tra: 0
Rule 61: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b42411b7b4, Class:  4, CF:0.776859, Len: 10, Fitness_tra: 0
Rule 63: 2444132bb2, Class:  4, CF:0.989383, Len: 10, Fitness_tra: 0
Rule 64: 17b781b744, Class:  2, CF:0.98647, Len: 10, Fitness_tra: 0
Rule 65: 2c14c172b1, Class:  2, CF:0.661978, Len: 10, Fitness_tra: 0
Rule 66: 4242c17117, Class:  2, CF:0.860089, Len: 10, Fitness_tra: 0
Rule 67: 45b7194441, Class:  1, CF:0.843581, Len: 10, Fitness_tra: 0
Rule 68: 444453b724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 137115b722, Class:  2, CF:0.999783, Len: 10, Fitness_tra: 0
Rule 70: 417b214112, Class:  2, CF:0.507881, Len: 10, Fitness_tra: -1
Rule 71: 11728f2722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 211229b2bc, Class:  2, CF:0.997746, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 727451712b, Class:  2, CF:0.760835, Len: 10, Fitness_tra: 0
Rule 75: 741726427b, Class:  4, CF:0.998728, Len: 10, Fitness_tra: 0
Rule 76: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b2b12fb714, Class:  4, CF:0.99983, Len: 10, Fitness_tra: 0
Rule 78: b1b78e4144, Class:  2, CF:0.990818, Len: 10, Fitness_tra: 0
Rule 79: 2724234b1b, Class:  4, CF:0.843158, Len: 10, Fitness_tra: 0
Rule 80: 7727552142, Class:  2, CF:0.994788, Len: 10, Fitness_tra: 0
Rule 81: 722b45b177, Class:  2, CF:0.221491, Len: 10, Fitness_tra: 0
Rule 82: 742181442b, Class:  2, CF:0.998436, Len: 10, Fitness_tra: 0
Rule 83: 7bb7817112, Class:  2, CF:0.997141, Len: 10, Fitness_tra: 0
Rule 84: 72418f2b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 47145eb274, Class:  2, CF:0.991346, Len: 10, Fitness_tra: 0
Rule 86: 782155117b, Class:  1, CF:0.0473151, Len: 10, Fitness_tra: -2
Rule 87: 1bb4c171b2, Class:  2, CF:0.983896, Len: 10, Fitness_tra: 0
Rule 88: 4172937b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1124412777, Class:  2, CF:0.25248, Len: 10, Fitness_tra: 0
Rule 90: 2447c17222, Class:  2, CF:0.997871, Len: 10, Fitness_tra: 0
Rule 91: 01a0627710, Class:  2, CF:0.117355, Len:  7, Fitness_tra: -2544
Rule 92: 21328e414b, Class:  2, CF:0.887195, Len: 10, Fitness_tra: -83
Rule 93: 100081a004, Class:  2, CF:0.886934, Len:  5, Fitness_tra: -1216
Rule 94: 7b771f712b, Class:  4, CF:0.949349, Len: 10, Fitness_tra: 0
Rule 95: 20bb0d7017, Class:  2, CF:0.426863, Len:  7, Fitness_tra: -4
Rule 96: 0000005000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
