------Generation 0------
Rule  1: 1412c6bb42, Class:  2, CF:0.716836, Len: 10, Fitness_tra: 0
Rule  2: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 19b7197271, Class:  1, CF:0.918561, Len: 10, Fitness_tra: 0
Rule  4: 1114297bb2, Class:  1, CF:0.266112, Len: 10, Fitness_tra: 3
Rule  5: 0000040000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 152223412b, Class:  2, CF:0.579473, Len: 10, Fitness_tra: 0
Rule  8: 2512114771, Class:  4, CF:0.431418, Len: 10, Fitness_tra: -6
Rule  9: 4271862bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 45124d1b72, Class:  4, CF:0.458587, Len: 10, Fitness_tra: -66
Rule 11: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4b11c62171, Class:  2, CF:0.997976, Len: 10, Fitness_tra: -2
Rule 13: bb4bc17471, Class:  2, CF:0.991868, Len: 10, Fitness_tra: 0
Rule 14: 72245fb412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4cbbc11244, Class:  2, CF:0.976302, Len: 10, Fitness_tra: 1
Rule 20: b1b71eb121, Class:  2, CF:0.954584, Len: 10, Fitness_tra: 0
Rule 21: 42241e7b17, Class:  1, CF:0.0199137, Len: 10, Fitness_tra: 0
Rule 22: 221b511721, Class:  2, CF:0.0670928, Len: 10, Fitness_tra: 0
Rule 23: 2d41ceb242, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 24: b4b71e1777, Class:  2, CF:0.885549, Len: 10, Fitness_tra: 0
Rule 25: 211b5f2474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 44141ebb77, Class:  2, CF:0.0496809, Len: 10, Fitness_tra: 0
Rule 27: 71b78612b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: bc4bb8227b, Class:  4, CF:0.449729, Len: 10, Fitness_tra: 0
Rule 29: 22b12342b2, Class:  4, CF:0.9373, Len: 10, Fitness_tra: 0
Rule 30: b1bb417177, Class:  2, CF:0.441063, Len: 10, Fitness_tra: -3
Rule 31: b2415f2b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b114c62277, Class:  2, CF:0.958467, Len: 10, Fitness_tra: 0
Rule 33: 414216b474, Class:  4, CF:0.999732, Len: 10, Fitness_tra: 0
Rule 34: bbb22322b1, Class:  2, CF:0.730833, Len: 10, Fitness_tra: 0
