------Generation 0------
Rule  1: 27b28a7b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 72174e4224, Class:  2, CF:0.879082, Len: 10, Fitness_tra: 0
Rule  3: 1571812114, Class:  1, CF:0.668495, Len: 10, Fitness_tra: 22
Rule  4: 227b8ab124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2714291b11, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 282449b214, Class:  1, CF:0.389927, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 42b2417227, Class:  2, CF:0.0395079, Len: 10, Fitness_tra: 0
Rule  9: 41b223b21b, Class:  4, CF:0.234391, Len: 10, Fitness_tra: 0
Rule 10: 172b2a4b42, Class:  4, CF:0.998951, Len: 10, Fitness_tra: 0
Rule 11: 777b1e4441, Class:  2, CF:0.991362, Len: 10, Fitness_tra: 0
Rule 12: 442783b4b4, Class:  2, CF:0.283824, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 42224f7224, Class:  4, CF:0.99999, Len: 10, Fitness_tra: 2
Rule 15: 4212c142b2, Class:  2, CF:0.579962, Len: 10, Fitness_tra: 0
Rule 16: 44278117b1, Class:  2, CF:0.807982, Len: 10, Fitness_tra: -6
Rule 17: b241c62b17, Class:  2, CF:0.942945, Len: 10, Fitness_tra: 0
Rule 18: 75b71e7217, Class:  1, CF:0.750014, Len: 10, Fitness_tra: 0
Rule 19: 00c0000000, Class:  2, CF:0.83843, Len:  1, Fitness_tra: 2
Rule 20: 2121534212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 144413b477, Class:  4, CF:0.965911, Len: 10, Fitness_tra: -9
Rule 22: b1b7192227, Class:  2, CF:0.99028, Len: 10, Fitness_tra: 0
Rule 23: b744cfb4bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b2bb152747, Class:  4, CF:0.097224, Len: 10, Fitness_tra: 0
Rule 25: 12bb492212, Class:  2, CF:0.155794, Len: 10, Fitness_tra: 0
Rule 26: 111451b424, Class:  2, CF:0.712628, Len: 10, Fitness_tra: 0
Rule 27: b17219bb27, Class:  2, CF:0.915021, Len: 10, Fitness_tra: 0
Rule 28: b7718a4b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
