------Generation 0------
Rule  1: 212b131171, Class:  4, CF:0.928571, Len: 10, Fitness_tra: -137
Rule  2: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b7741314bb, Class:  4, CF:0.958135, Len: 10, Fitness_tra: 2
Rule  4: 1277232711, Class:  4, CF:0.178325, Len: 10, Fitness_tra: -7
Rule  5: 11bb1d2742, Class:  2, CF:0.0107198, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7112c174b7, Class:  2, CF:0.953462, Len: 10, Fitness_tra: 0
Rule  8: 12bbd141b7, Class:  1, CF:0.442218, Len: 10, Fitness_tra: 0
Rule  9: 1c71114772, Class:  4, CF:0.332, Len: 10, Fitness_tra: 3
Rule 10: 214111b4b2, Class:  2, CF:0.146783, Len: 10, Fitness_tra: 0
Rule 11: 72bbff4727, Class:  4, CF:0.998149, Len: 10, Fitness_tra: 0
Rule 12: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4112211421, Class:  2, CF:0.759463, Len: 10, Fitness_tra: -2246
Rule 14: 72b2534714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 12b1df7b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1714897b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b24723411b, Class:  4, CF:0.54465, Len: 10, Fitness_tra: 0
Rule 18: 72b4217477, Class:  2, CF:0.59036, Len: 10, Fitness_tra: 0
Rule 19: 4b14167b14, Class:  4, CF:0.931229, Len: 10, Fitness_tra: 0
Rule 20: bbb1214712, Class:  2, CF:0.812146, Len: 10, Fitness_tra: 0
Rule 21: 4177c31b72, Class:  2, CF:0.920619, Len: 10, Fitness_tra: 0
Rule 22: 1a7b7dbbb4, Class:  2, CF:0.953644, Len: 10, Fitness_tra: 0
Rule 23: b71113b277, Class:  4, CF:0.923898, Len: 10, Fitness_tra: 0
Rule 24: 1242c11b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 712b151474, Class:  2, CF:0.321606, Len: 10, Fitness_tra: -37
Rule 26: 1224c31471, Class:  2, CF:0.195637, Len: 10, Fitness_tra: -3
Rule 27: 44b45f21b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 447126b127, Class:  4, CF:0.997881, Len: 10, Fitness_tra: 0
Rule 29: 0000cd0330, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 727451b427, Class:  2, CF:0.885411, Len: 10, Fitness_tra: 0
Rule 31: 2341837712, Class:  2, CF:0.945914, Len: 10, Fitness_tra: 0
Rule 32: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 21125322b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 4b7713b7bb, Class:  4, CF:0.920158, Len: 10, Fitness_tra: 0
Rule 35: 7214514b1b, Class:  1, CF:0.443301, Len: 10, Fitness_tra: 0
Rule 36: bb77c14247, Class:  2, CF:0.998335, Len: 10, Fitness_tra: 0
Rule 37: 1e471d4744, Class:  1, CF:0.75863, Len: 10, Fitness_tra: 0
Rule 38: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 72118517b1, Class:  2, CF:0.78565, Len: 10, Fitness_tra: -1445
Rule 40: 4bbb1a1147, Class:  4, CF:0.99982, Len: 10, Fitness_tra: 0
Rule 41: 114b23b272, Class:  4, CF:0.844591, Len: 10, Fitness_tra: 0
Rule 42: b2121d7171, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 22b2294b24, Class:  1, CF:0.68346, Len: 10, Fitness_tra: 0
Rule 44: 4724114427, Class:  2, CF:0.446888, Len: 10, Fitness_tra: 0
Rule 45: 7112ce27b4, Class:  2, CF:0.688682, Len: 10, Fitness_tra: 0
Rule 46: 4271254b12, Class:  2, CF:0.362107, Len: 10, Fitness_tra: 0
Rule 47: 21412e4221, Class:  2, CF:0.99973, Len: 10, Fitness_tra: -15
Rule 48: 1e4221bb22, Class:  1, CF:0.311494, Len: 10, Fitness_tra: 0
Rule 49: 2472d62b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1417c577b2, Class:  2, CF:0.0162037, Len: 10, Fitness_tra: -17
Rule 51: 48115a2b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7bbb8f1bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b114217744, Class:  2, CF:0.712059, Len: 10, Fitness_tra: 0
Rule 54: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b27251b771, Class:  2, CF:0.525094, Len: 10, Fitness_tra: 0
Rule 56: 7342214b2c, Class:  2, CF:0.997353, Len: 10, Fitness_tra: 0
Rule 57: b224217221, Class:  2, CF:0.988493, Len: 10, Fitness_tra: 3
Rule 58: 11bcf3b417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 417116b112, Class:  4, CF:0.972223, Len: 10, Fitness_tra: 5
Rule 60: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 7b27817424, Class:  2, CF:0.999243, Len: 10, Fitness_tra: 0
Rule 62: 22b78a4422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 21bbc3b7b2, Class:  2, CF:0.805974, Len: 10, Fitness_tra: 0
Rule 64: 42b4d31242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 247283724b, Class:  2, CF:0.345774, Len: 10, Fitness_tra: 0
Rule 66: 2721212142, Class:  2, CF:0.747467, Len: 10, Fitness_tra: 0
Rule 67: 217215247b, Class:  2, CF:0.792397, Len: 10, Fitness_tra: 0
Rule 68: 27418f277b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4c2711b144, Class:  2, CF:0.246759, Len: 10, Fitness_tra: 0
Rule 70: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 142bc1b247, Class:  2, CF:0.966841, Len: 10, Fitness_tra: 0
Rule 73: 127b1f4b47, Class:  4, CF:0.997893, Len: 10, Fitness_tra: 0
Rule 74: 71272517b4, Class:  2, CF:0.54235, Len: 10, Fitness_tra: -13
Rule 75: 427756b174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b44b51b721, Class:  2, CF:0.929305, Len: 10, Fitness_tra: 0
Rule 77: 227183242b, Class:  2, CF:0.935408, Len: 10, Fitness_tra: 0
Rule 78: 0000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 247b9e17b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b22486144b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 712b11771b, Class:  4, CF:0.142741, Len: 10, Fitness_tra: 0
Rule 82: 744bd1bb44, Class:  2, CF:0.937852, Len: 10, Fitness_tra: 0
Rule 83: 27718111b4, Class:  2, CF:0.997048, Len: 10, Fitness_tra: -3
