------Generation 0------
Rule  1: 427b81b2b2, Class:  2, CF:0.961904, Len: 10, Fitness_tra: 0
Rule  2: 714b2527b4, Class:  2, CF:0.677544, Len: 10, Fitness_tra: 0
Rule  3: 27b429411b, Class:  2, CF:0.86559, Len: 10, Fitness_tra: 0
Rule  4: b742194777, Class:  2, CF:0.963602, Len: 10, Fitness_tra: 0
Rule  5: 7171214274, Class:  2, CF:0.799343, Len: 10, Fitness_tra: 1
Rule  6: b2b7492b24, Class:  2, CF:0.882773, Len: 10, Fitness_tra: 0
Rule  7: 7b7b832741, Class:  2, CF:0.843648, Len: 10, Fitness_tra: 0
Rule  8: 2c1211421b, Class:  4, CF:0.800911, Len: 10, Fitness_tra: 0
Rule  9: 7114157b11, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4e44191b14, Class:  0, CF:0.994439, Len: 10, Fitness_tra: 9
Rule 11: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 28b726bb77, Class:  4, CF:0.999964, Len: 10, Fitness_tra: 0
Rule 13: 21441f1214, Class:  4, CF:0.996525, Len: 10, Fitness_tra: 0
Rule 14: 474b167121, Class:  4, CF:0.984562, Len: 10, Fitness_tra: -2
Rule 15: 441bd6241b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 7872c14472, Class:  4, CF:0.516542, Len: 10, Fitness_tra: 0
Rule 17: 181481724b, Class:  1, CF:0.579002, Len: 10, Fitness_tra: 0
Rule 18: 74122a4774, Class:  4, CF:0.999937, Len: 10, Fitness_tra: 0
Rule 19: b1441e1212, Class:  2, CF:0.990847, Len: 10, Fitness_tra: -8
Rule 20: b2445abb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1bbb114bb7, Class:  2, CF:0.191814, Len: 10, Fitness_tra: 0
Rule 22: b114511721, Class:  2, CF:0.922006, Len: 10, Fitness_tra: -2
Rule 23: 2cb463b717, Class:  4, CF:0.999128, Len: 10, Fitness_tra: 0
Rule 24: 2c41814b74, Class:  2, CF:0.950969, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2b725a2272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b71b234bb2, Class:  4, CF:0.716377, Len: 10, Fitness_tra: 0
Rule 28: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 41721121b1, Class:  4, CF:0.566476, Len: 10, Fitness_tra: -14
Rule 30: 474b16171b, Class:  4, CF:0.994929, Len: 10, Fitness_tra: 1
Rule 31: 4842c62277, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 147283411b, Class:  2, CF:0.398482, Len: 10, Fitness_tra: 0
Rule 33: 4b1251227b, Class:  2, CF:0.999027, Len: 10, Fitness_tra: 0
Rule 34: 71b44ebb42, Class:  2, CF:0.98825, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1e21457b22, Class:  0, CF:0.620598, Len: 10, Fitness_tra: 0
Rule 37: 24b4812271, Class:  2, CF:0.966935, Len: 10, Fitness_tra: -1
Rule 38: 2727cfb1b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 112173bb42, Class:  4, CF:0.905696, Len: 10, Fitness_tra: 0
