------Generation 0------
Rule  1: b221df471b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: b127c67742, Class:  0, CF:0.999993, Len: 10, Fitness_tra: 0
Rule  3: b2211f7774, Class:  4, CF:0.999996, Len: 10, Fitness_tra: 0
Rule  4: 1271812117, Class:  2, CF:0.907287, Len: 10, Fitness_tra: -2
Rule  5: 0000000880, Class:  2, CF:  1, Len:  2, Fitness_tra: 9
Rule  6: 1b71c172b7, Class:  2, CF:0.997434, Len: 10, Fitness_tra: 0
Rule  7: b447231474, Class:  4, CF:0.982211, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b324b1b211, Class:  4, CF:0.379851, Len: 10, Fitness_tra: 0
Rule 10: b1b413b477, Class:  4, CF:0.970049, Len: 10, Fitness_tra: 0
Rule 11: 7b415a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 741b231b4b, Class:  4, CF:0.870609, Len: 10, Fitness_tra: 0
Rule 14: 211213b144, Class:  4, CF:0.77609, Len: 10, Fitness_tra: 0
Rule 15: 147b2647b7, Class:  4, CF:0.999886, Len: 10, Fitness_tra: 0
Rule 16: b171c34b42, Class:  2, CF:0.902181, Len: 10, Fitness_tra: 0
Rule 17: 4212834727, Class:  2, CF:0.466944, Len: 10, Fitness_tra: 0
Rule 18: 47441e2b71, Class:  2, CF:0.49913, Len: 10, Fitness_tra: 0
Rule 19: 7742557427, Class:  2, CF:0.998485, Len: 10, Fitness_tra: 0
Rule 20: 1bb416b227, Class:  4, CF:0.999576, Len: 10, Fitness_tra: 0
Rule 21: 124b5fb742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2b2b1eb44b, Class:  2, CF:0.99961, Len: 10, Fitness_tra: 0
Rule 23: b521157424, Class:  2, CF:0.981552, Len: 10, Fitness_tra: 0
Rule 24: 744251b4b7, Class:  2, CF:0.980913, Len: 10, Fitness_tra: 0
Rule 25: 4172864427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7142814244, Class:  2, CF:0.997252, Len: 10, Fitness_tra: 0
Rule 27: 214183b2b4, Class:  2, CF:0.748209, Len: 10, Fitness_tra: 0
Rule 28: 0000030000, Class:  4, CF:0.467762, Len:  1, Fitness_tra: -199
Rule 29: b8124a7221, Class:  4, CF:0.998895, Len: 10, Fitness_tra: 0
Rule 30: b172817b17, Class:  2, CF:0.945617, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1214dab247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2174437211, Class:  4, CF:0.793154, Len: 10, Fitness_tra: 0
