------Generation 0------
Rule  1: 12b12f7141, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 7b7253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2221e7bbb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  4: 722283b421, Class:  0, CF:0.704663, Len: 10, Fitness_tra: 0
Rule  5: b1772612b2, Class:  0, CF:0.999981, Len: 10, Fitness_tra: 0
Rule  6: 41741f1217, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 424411b127, Class:  0, CF:0.0211618, Len: 10, Fitness_tra: 0
Rule  8: b412197bbb, Class:  0, CF:0.999998, Len: 10, Fitness_tra: 0
Rule  9: bb11c12212, Class:  1, CF:0.749563, Len: 10, Fitness_tra: -192
Rule 10: 412b161124, Class:  0, CF:0.999997, Len: 10, Fitness_tra: 1
Rule 11: 74b4c31b7b, Class:  0, CF:0.843935, Len: 10, Fitness_tra: 0
Rule 12: 7414161111, Class:  0, CF:0.998749, Len: 10, Fitness_tra: 93
Rule 13: 27b1cf7112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2c7111121b, Class:  0, CF:0.844689, Len: 10, Fitness_tra: 510
Rule 15: 77b721422b, Class:  1, CF:0.173796, Len: 10, Fitness_tra: 0
Rule 16: 11411f7717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b87b4571b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 72742a7b72, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 2124231447, Class:  0, CF:0.753499, Len: 10, Fitness_tra: 0
Rule 20: 7cb71e1774, Class:  0, CF:0.960835, Len: 10, Fitness_tra: 1
Rule 21: 4214252727, Class:  0, CF:0.9181, Len: 10, Fitness_tra: 0
Rule 22: 721156b21b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b517da4747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 72b4212777, Class:  0, CF:0.705178, Len: 10, Fitness_tra: 0
Rule 25: 7bbb862441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 24b7132214, Class:  0, CF:0.994251, Len: 10, Fitness_tra: 0
Rule 27: 72241f77b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 42777d4b71, Class:  0, CF:0.94311, Len: 10, Fitness_tra: 1
Rule 29: b1b453b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 41bbd34417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 744b167222, Class:  0, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 32: b47159b174, Class:  1, CF:0.650538, Len: 10, Fitness_tra: 2
Rule 33: 427b8d12bb, Class:  0, CF:0.792985, Len: 10, Fitness_tra: 0
Rule 34: 17111e4241, Class:  1, CF:0.3546, Len: 10, Fitness_tra: -162
Rule 35: 112bb94744, Class:  0, CF:0.754257, Len: 10, Fitness_tra: 0
Rule 36: 27b756b74b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b222297447, Class:  0, CF:0.228301, Len: 10, Fitness_tra: 0
Rule 38: 71422e141b, Class:  0, CF:0.424716, Len: 10, Fitness_tra: 2
Rule 39: 412789212b, Class:  1, CF:0.111088, Len: 10, Fitness_tra: 0
Rule 40: 2d14ce2271, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 4217517712, Class:  0, CF:0.872557, Len: 10, Fitness_tra: 0
Rule 42: b74b83b71b, Class:  0, CF:0.920443, Len: 10, Fitness_tra: 0
Rule 43: 417b8a11b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 414471b442, Class:  1, CF:0.204548, Len: 10, Fitness_tra: 0
Rule 45: 1c1213b221, Class:  0, CF:0.998261, Len: 10, Fitness_tra: 4
Rule 46: 1b12517b74, Class:  0, CF:0.598986, Len: 10, Fitness_tra: 0
Rule 47: 7db11112b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 147
Rule 48: b11481bbb7, Class:  0, CF:0.684678, Len: 10, Fitness_tra: 0
Rule 49: b472831142, Class:  0, CF:0.882084, Len: 10, Fitness_tra: 0
Rule 50: 79b2ce71bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b1b1214214, Class:  1, CF:0.355486, Len: 10, Fitness_tra: -37
Rule 52: b7b2164177, Class:  0, CF:0.999752, Len: 10, Fitness_tra: 0
Rule 53: b4271ebb47, Class:  0, CF:0.996686, Len: 10, Fitness_tra: 0
Rule 54: 26bb4d4174, Class:  1, CF:0.899777, Len: 10, Fitness_tra: 0
Rule 55: 77b7111772, Class:  0, CF:0.699823, Len: 10, Fitness_tra: 277
Rule 56: bc7b1ab217, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 111149bb77, Class:  0, CF:0.951852, Len: 10, Fitness_tra: 2992
Rule 58: 2427132772, Class:  0, CF:0.999586, Len: 10, Fitness_tra: 0
Rule 59: bb72267b14, Class:  0, CF:0.9962, Len: 10, Fitness_tra: 0
Rule 60: b741261241, Class:  0, CF:0.99963, Len: 10, Fitness_tra: 1
Rule 61: 28171347b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule 62: b7122ab2b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 421722b777, Class:  0, CF:0.921336, Len: 10, Fitness_tra: 24
Rule 64: 18b4262214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: b1b11374bb, Class:  0, CF:0.994041, Len: 10, Fitness_tra: 8
Rule 66: 4271c5b771, Class:  1, CF:0.082238, Len: 10, Fitness_tra: 0
Rule 67: 7b72161244, Class:  0, CF:0.999978, Len: 10, Fitness_tra: 0
Rule 68: b27b834227, Class:  1, CF:0.437222, Len: 10, Fitness_tra: 0
